APN,Registered Date,Property Type,Property Location,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Contact Phone
2004002010,07/09/2014,Single Family,"8356 N FALLBROOK AVE
Los Angeles, CA 93063
(34.22129197700008, -118.623471113)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2004011022,11/25/2014,Single Family,"8400 N SALE AVE
Los Angeles, CA 93063
(34.22302049000007, -118.61918683599998)",,12,NationStar,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2004012024,02/03/2014,Single Family,"8514 N FAUST AVE
Los Angeles, CA 93063
(34.22516916300003, -118.62031567199995)",,12,NSP LA TRUST,Laura Maier,310-535-9293,HMC Assets,Laura Maier,889   N Douglas ST 100 El Segundo CA 90245 ,310-535-9293
2004017021,01/23/2014,Single Family,"22438 W MICHALE ST
Los Angeles, CA 93063
(34.22572948000004, -118.61594301399998)",,12,Caliber Home Loans,Arthur Ferrari,866-248-2679,Bron Inc,Eric Moore,16808   Armstrong AVE 215 Irvine CA 92606 ,951-970-3899
2004018009,01/13/2014,Single Family,"8412 N SHOUP AVE
Los Angeles, CA 91304
(34.22328099900005, -118.61470569)",,12,US BANK NATIONAL ASSOCIATION,JOEL DANIELS,714-848-7920,Law Offices of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606 ,714-848-7920
2004021021,12/10/2014,Single Family,"22254 W PARTHENIA ST
Los Angeles, CA 91304
(34.229003231000036, -118.61268919699995)",,12,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2004021027,12/09/2014,Single Family,"8611 N RUDNICK AVE
Los Angeles, CA 93063
(34.22719071900008, -118.61238168599999)",,12,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2004022003,10/21/2014,Single Family,"8739 N FARRALONE AVE
Los Angeles, CA 93063
(34.229667619000054, -118.61108758499995)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2005008006,12/12/2014,Single Family,"8423 N DENISE LANE
Los Angeles, CA 93063
(34.222956313000054, -118.63229315799998)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
2005012017,10/30/2014,Single Family,"8435 N NATALIE LANE
Los Angeles, CA 93063
(34.22291258300004, -118.63373574299999)",,12,SolutionStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2005017004,07/15/2014,Single Family,"23338 W SCHOENBORN ST
Los Angeles, CA 93063
(34.22023291200003, -118.63591088499999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010006025,06/09/2014,Single Family,"22046 W BAHAMA ST
Los Angeles, CA 93063
(34.23192954600006, -118.607658131)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010006028,12/01/2014,Single Family,"22024 W BAHAMA ST
Los Angeles, CA 93063
(34.231892714000026, -118.60690072699998)",,12,BofA successor to Merrill Lynch Credit Corporation,heloc foreclosure,856-750-2518,foreclosure trustee,vicki hilton,920  S village oaks DR  covina CA 91724 ,626-967-4302
2010006041,03/21/2014,Single Family,"22042 W RAYEN ST
Los Angeles, CA 91304
(34.231162607000044, -118.60737948199994)",,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2010007006,10/20/2014,Single Family,"8754 N FARRALONE AVE
Los Angeles, CA 93063
(34.229830357000026, -118.61086637199998)",,12,BAC HOME LOANS SERVICING,ROEL RODRIGUEZ,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2010009016,06/27/2014,Single Family,"8829 N TOPANGA CANYON BLVD
Los Angeles, CA 93063
(34.23104086500007, -118.60286705299995)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010009021,05/16/2014,Single Family,"8731 N TOPANGA CANYON BLVD
Los Angeles, CA 91304
(34.229336240000066, -118.60311719199996)",,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2010012024,09/04/2014,Single Family,"8620 N SANTA SUSANNA PL
Los Angeles, CA 91304
(34.22785210100005, -118.60597600299997)",,12,Capital One,Levitia Costner,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405 ,909-289-1453
2010014005,07/17/2014,Single Family,"8544 N NEVADA AVE
Los Angeles, CA 93063
(34.22546296200005, -118.60898133099994)",,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405 ,909-289-1453
2010014010,07/07/2014,Single Family,"22161 W NAPA ST
Los Angeles, CA 93063
(34.224945655000056, -118.60811753599995)",,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405 ,909-289-1453
2010016009,08/20/2014,Single Family,"8595 N NEVADA AVE
Los Angeles, CA 91304
(34.22666755600005, -118.60900189499995)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010017013,12/12/2014,Single Family,"8520 N FARRALONE AVE
Los Angeles, CA 91304
(34.22551066500006, -118.61103567199996)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
