Date,Holiday
"Thursday, January 1, 2015",New Year's Day
"Monday, January 19, 2015","Martin Luther King, Jr's Birthday"
"Monday, February 16, 2015",President's Day
"Monday, March 30, 2015",César E. Chávez' Birthday
"Monday, May 25, 2015",Memorial Day
"Friday, July 3, 2015",Independence Day Observed
"Monday, September 7, 2015",Labor Day
"Monday, October 12, 2015",Columbus Day
"Wednesday, November 11, 2015",Veteran's Day
"Thursday, November 26, 2015",Thanksgiving Day
"Friday, November 27, 2015",The Friday After Thanksgiving Day
"Friday, December 25, 2015",Christmas Day
