Date Value,Month-Year,Quarter-FY,Annual-FY,# of Meals Given to Seniors (Annually FY),PROJECTED: # of Meals Given to Seniors (Annually FY),# of Home Delivered Meals - Cumulative FYTD (Monthly),TARGET: Number of Home Delivered Meals - Cumulative FYTD (Monthly),Number of Congregate Meals - Cumulative FYTD (Monthly),TARGET: Number of Congregate Meals - Cumulative FYTD (Monthly),Total number of Meals - Cumulative FYTD (Monthly),TARGET: Total number of Meals - Cumulative FYTD (Monthly),"Percentage of seniors who say they ""always"" like the meals provided at congregate meal centers (Annually FY)","TARGET: Percentage of Seniors who say they ""always"" like the meals provided at the congregated meal centers (Annually FY)","Percentage of seniors who say they ""sometimes"" like the meal provided at congregate meals centers (Annually FY)","TARGET: Percentage of seniors who say they ""sometimes"" like the meal provided at congregated meals centers (Annually FY)","Percentage of seniors who say they ""never"" like the meal provided at congregate meals centers (Annually FY)","TARGET: Percentage of seniors who say they ""never"" like the meal provided at congregated meals centers (Annually FY)",# of Participants in the Older Workers Program (Annually FY),PROJECTED: # of Participants in the Older Workers Program (Annually FY),# of Participants in Caregiver Information Sessions (Annually FY),PROJECTED: # of Participants in Caregiver Information Sessions (Annually FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,1310000,,,,,,,,,,,,,,213,,13412,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,1621000,,,,,,,,,,,,,,230,,13026,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,1570000,,,,,,1399876,,34.36%,,56.77%,,1.14%,,170,,14623,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,1517000,,,,,,1527254,,32.63%,,58.18%,,1.24%,,114,,7788,
07/31/2013 12:00:00 AM,Jul-13,,,,,67833,,64182,,132015,,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,136396,,129389,,265785,,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,196315,,186006,,382321,,,,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,264944,,251332,,516276,,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,324489,,304413,,628902,,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,388831,,362067,,750898,,,,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,452692,,418589,,871281,,,,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,509551,,474685,,984236,,,,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,570882,,534330,,1105212,,,,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,627221,,589620,,1216841,,,,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,689421,,649554,,,,,,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,,1442,748740,,707701,,,1500000,,70%,,70%,,70%,,150,,7200
07/31/2014 12:00:00 AM,Jul-14,,,,,,,,,,,,,,,,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,,,,,,,,,,,,,,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,,,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,1652,,,,,,,,,,,,,,150,,7200
