Year,Total CO2 Emissions from Owned & Purchased Generation (metric tons),Total CO2 Emissions from Owned & Purchased Generation minus Wholesale Power Sales (metric tons),Total Owned & Purchased Generation (MWh),LADWP System CO2 Intensity Metric (lbs CO2/MWh)
1990 (Baseline),17925410,17764874,25481532,1551
2000,18464480,16992238,28806750,1413
2001,18086034,16663305,28032375,1422
2002,16873841,16237832,26808569,1388
2003,17274623,16710232,27337694,1393
2004,17609759,16604943,28138391,1380
2005,16928681,15854278,28301700,1319
2006,16838147,15885136,29029883,1279
2007,16461774,15523035,29141703,1245
2008,16232608,15650115,29394809,1217
2009,14646410,13829395,28041998,1151
2010,13771186,12844288,27490878,1101
2011,14169324,13631178,27025925,1156
2012,13968172,13329797,28145679,1094
