Date Value,Month-Year,Quarter-FY,Annual-FY,# of Animal Licenses Sold  (Monthly),# of Animal Licenses Sold  (Annual-FY),PROJECTED: # of Animal Licenses Sold (Annual- FY),Animal Live/Save Rate (Monthly),Animal Live/Save Rate (Annual-FY),PROJECTED: Animal Live/Save Rate (Annual-FY),Range of # of Days to Receive New License - Low (Monthly),Range of # of Days to Recieve New License - Low (Annually FY),PROJECTED: Range of # of Days to Recieve New License - Low (Annually FY),Range of # of Days to Receive New License - High (Monthly),Range of # of Days to Recieve New License - High (Annually FY),PROJECTED: Range of # of Days to Recieve New License - High (Annually FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,121817,,,57.06%,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,123060,,,57.8%,,,,,,,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,,126234,,,63.53%,,,,,,,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,,123008,131540,,70.27%,73%,,1,15,,1,45
07/31/2014 12:00:00 AM,Jul-14,,,10442,,,61.79%,,,1,,,1,,
08/31/2014 12:00:00 AM,Aug-14,,,8712,,,69.83%,,,1,,,1,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,,137000,,,75%,,,1,,,8
07/30/2015 12:00:00 AM,Jul-15,,,,,,,,,,,,,,
08/30/2015 12:00:00 AM,Aug-15,,,,,,,,,,,,,,
09/29/2015 12:00:00 AM,Sep-15,,,,,,,,,,,,,,
10/29/2015 12:00:00 AM,Oct-15,,,,,,,,,,,,,,
11/29/2015 12:00:00 AM,Nov-15,,,,,,,,,,,,,,
12/29/2015 12:00:00 AM,Dec-15,,,,,,,,,,,,,,
01/28/2016 12:00:00 AM,Jan-16,,,,,,,,,,,,,,
02/28/2016 12:00:00 AM,Feb-16,,,,,,,,,,,,,,
03/29/2016 12:00:00 AM,Mar-16,,,,,,,,,,,,,,
04/28/2016 12:00:00 AM,Apr-16,,,,,,,,,,,,,,
05/29/2016 12:00:00 AM,May-16,,,,,,,,,,,,,,
06/28/2016 12:00:00 AM,Jun-16,,FY 2016,,,,,,,,,,,,
07/29/2016 12:00:00 AM,Jul-16,,,,,,,,,,,,,,
08/28/2016 12:00:00 AM,Aug-16,,,,,,,,,,,,,,
09/27/2016 12:00:00 AM,Sep-16,,,,,,,,,,,,,,
10/28/2016 12:00:00 AM,Oct-16,,,,,,,,,,,,,,
11/27/2016 12:00:00 AM,Nov-16,,,,,,,,,,,,,,
12/27/2016 12:00:00 AM,Dec-16,,,,,,,,,,,,,,
01/27/2017 12:00:00 AM,Jan-17,,,,,,,,,,,,,,
02/26/2017 12:00:00 AM,Feb-17,,,,,,,,,,,,,,
03/28/2017 12:00:00 AM,Mar-17,,,,,,,,,,,,,,
04/28/2017 12:00:00 AM,Apr-17,,,,,,,,,,,,,,
05/28/2017 12:00:00 AM,May-17,,,,,,,,,,,,,,
06/28/2017 12:00:00 AM,Jun-17,,FY 2017,,,,,,,,,,,,
07/28/2017 12:00:00 AM,Jul-17,,,,,,,,,,,,,,
08/27/2017 12:00:00 AM,Aug-17,,,,,,,,,,,,,,
09/27/2017 12:00:00 AM,Sep-17,,,,,,,,,,,,,,
10/27/2017 12:00:00 AM,Oct-17,,,,,,,,,,,,,,
11/26/2017 12:00:00 AM,Nov-17,,,,,,,,,,,,,,
12/27/2017 12:00:00 AM,Dec-17,,,,,,,,,,,,,,
01/26/2018 12:00:00 AM,Jan-18,,,,,,,,,,,,,,
02/25/2018 12:00:00 AM,Feb-18,,,,,,,,,,,,,,
03/28/2018 12:00:00 AM,Mar-18,,,,,,,,,,,,,,
04/27/2018 12:00:00 AM,Apr-18,,,,,,,,,,,,,,
05/28/2018 12:00:00 AM,May-18,,,,,,,,,,,,,,
06/27/2018 12:00:00 AM,Jun-18,,FY 2018,,,,,,,,,,,,
07/27/2018 12:00:00 AM,Jul-18,,,,,,,,,,,,,,
08/27/2018 12:00:00 AM,Aug-18,,,,,,,,,,,,,,
09/26/2018 12:00:00 AM,Sep-18,,,,,,,,,,,,,,
10/26/2018 12:00:00 AM,Oct-18,,,,,,,,,,,,,,
11/26/2018 12:00:00 AM,Nov-18,,,,,,,,,,,,,,
12/26/2018 12:00:00 AM,Dec-18,,,,,,,,,,,,,,
01/25/2019 12:00:00 AM,Jan-19,,,,,,,,,,,,,,
02/25/2019 12:00:00 AM,Feb-19,,,,,,,,,,,,,,
03/27/2019 12:00:00 AM,Mar-19,,,,,,,,,,,,,,
04/27/2019 12:00:00 AM,Apr-19,,,,,,,,,,,,,,
05/27/2019 12:00:00 AM,May-19,,,,,,,,,,,,,,
06/26/2019 12:00:00 AM,Jun-19,,,,,,,,,,,,,,
07/27/2019 12:00:00 AM,Jul-19,,,,,,,,,,,,,,
08/26/2019 12:00:00 AM,Aug-19,,,,,,,,,,,,,,
09/25/2019 12:00:00 AM,Sep-19,,,,,,,,,,,,,,
10/26/2019 12:00:00 AM,Oct-19,,,,,,,,,,,,,,
11/25/2019 12:00:00 AM,Nov-19,,,,,,,,,,,,,,
12/25/2019 12:00:00 AM,Dec-19,,,,,,,,,,,,,,
01/25/2020 12:00:00 AM,Jan-20,,,,,,,,,,,,,,
02/24/2020 12:00:00 AM,Feb-20,,,,,,,,,,,,,,
03/26/2020 12:00:00 AM,Mar-20,,,,,,,,,,,,,,
04/25/2020 12:00:00 AM,Apr-20,,,,,,,,,,,,,,
05/25/2020 12:00:00 AM,May-20,,,,,,,,,,,,,,
06/25/2020 12:00:00 AM,Jun-20,,,,,,,,,,,,,,
