LADWP Facility,Central,Lincoln Ht,Palms,Wilmington,West LA,Van Nuys,Northridge
2000,541,303,613,255,276,627,787
2001,535,308,531,278,287,792,721
2002,516,364,483,202,302,762,865
2003,823,403,598,221,339,838,971
2004,805,462,708,267,497,801,968
2005,843,635,688,274,471,1069,1337
2006,909,663,715,186,521,1352,1569
2007,939,526,782,286,568,1155,1458
2008,676,418,695,278,475,1040,1046
2009,878,415,639,227,574,731,832
2010,828,529,569,245,474,809,953
2011,754,587,561,246,436,839,976
2012,703,452,593,216,530,700,872
2013,709,362,539,257,386,765,940
