Year of Levy,Real Property,Personal Property,Total,Average Annual Growth,Total Direct Tax Rate ,Assessed Value per Capita,Population
2004,246906688,16640805,263547493,7.83%,1.050574,70,3773549
2005,268163573,16304721,284468294,7.94%,1.055733,75,3769130
2006,296325286,16343009,312668295,9.91%,1.051289,83,3768645
2007,331032179,15950614,346982793,10.97%,1.045354,92,3764062
2008,363755025,17398206,381153231,9.85%,1.038051,101,3774497
2009,392197205,18938019,411135224,7.87%,1.038541,109,3781951
2010,391747407,19008923,410756330,-0.09%,1.04122,108,3792621
2011,384126153,17147802,401273955,-2.31%,1.038895,105,3806411
2012,389768424,16688249,406456673,1.29%,1.038666,106,3827172
2013,399640203,16899247,416539450,2.48%,1.037694,108,3863839
