FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Location 1
334,343,345,336,336,330,329,341,"90001
(33.973271508000494, -118.24896959899968)"
358,368,367,353,352,351,346,355,"90002
(33.94895251300045, -118.24697958699971)"
316,323,328,321,316,313,312,317,"90003
(33.96335186100049, -118.27393599999971)"
378,387,391,380,370,363,357,373,"90004
(34.07572239300049, -118.30301712299968)"
320,328,326,315,313,310,307,309,"90005
(34.05907233200048, -118.30301712299968)"
254,262,262,258,255,253,254,261,"90006
(34.05010424100044, -118.2926890439997)"
298,306,313,305,294,275,276,285,"90007
(34.02833141800045, -118.28507659499968)"
373,381,379,371,360,356,351,351,"90008
(34.01097312100046, -118.34158773599972)"
370,444,490,537,202,328,276,258,"90009
(33.953931889000444, -118.3858763769997)"
466,250,329,362,378,388,382,395,"90010
(34.06139256500046, -118.30969974099969)"
299,309,311,308,302,299,296,304,"90011
(34.00790120200048, -118.25903697699971)"
285,291,283,283,278,273,275,287,"90012
(34.059480762000476, -118.24204800599972)"
256,285,270,330,304,319,328,354,"90013
(34.04726260700045, -118.24609754999972)"
267,281,286,257,301,288,300,340,"90014
(34.04475119400047, -118.2527367189997)"
251,280,276,274,255,262,267,279,"90015
(34.04012376300045, -118.26498963499972)"
338,345,347,341,336,331,329,331,"90016
(34.02888323300044, -118.35308896599969)"
229,227,249,252,244,233,230,236,"90017
(34.05230281300044, -118.26338632799968)"
332,341,345,337,329,325,324,329,"90018
(34.03077331100047, -118.31686899999971)"
338,348,353,345,336,332,331,334,"90019
(34.04884418900048, -118.33610868499972)"
352,360,366,350,341,336,326,340,"90020
(34.06636325100044, -118.30164844599972)"
410,350,420,384,399,404,414,433,"90021
(34.03012156000045, -118.24177861599969)"
329,339,338,335,328,326,324,333,"90023
(34.02418193800048, -118.20195663999971)"
590,602,594,586,558,545,534,551,"90024
(34.06136215000049, -118.4402367409997)"
371,381,388,374,361,354,351,359,"90025
(34.04518134900047, -118.45025632399972)"
306,317,316,313,311,304,296,308,"90026
(34.07687382000046, -118.26535895999967)"
379,388,396,388,376,368,361,380,"90027
(34.10546395500046, -118.2923675139997)"
289,298,305,297,271,281,274,293,"90028
(34.10072355400047, -118.32821815499972)"
269,279,283,278,269,265,261,270,"90029
(34.08989145600049, -118.29490934299969)"
317,324,335,326,320,318,319,334,"90031
(34.07752122500045, -118.2131059239997)"
364,373,385,373,366,360,352,373,"90032
(34.08151428500048, -118.17678602299969)"
269,280,285,280,276,270,267,281,"90033
(34.04856176400045, -118.2115199969997)"
348,355,358,349,336,328,324,328,"90034
(34.02829231300046, -118.40269589399969)"
453,466,472,463,446,435,436,457,"90035
(34.05421027100044, -118.38387767499972)"
391,403,411,402,387,374,374,394,"90036
(34.06889204400045, -118.35077742299967)"
303,311,312,308,301,298,294,299,"90037
(34.00349102100046, -118.28709702299972)"
279,291,294,287,277,276,273,283,"90038
(34.08898335000049, -118.32483774099973)"
417,429,439,428,419,411,407,432,"90039
(34.111603448000494, -118.2612572749997)"
451,459,473,462,448,435,431,457,"90041
(34.13538366300048, -118.20684911499967)"
377,387,397,387,378,368,364,379,"90042
(34.11332407100048, -118.19142869099971)"
371,377,382,371,367,362,356,358,"90043
(33.98673233600044, -118.33290641599967)"
332,336,340,332,325,323,321,326,"90044
(33.95386236800044, -118.2919460489997)"
435,461,470,454,448,439,439,442,"90045
(33.961522614000444, -118.39344972199967)"
546,563,573,742,537,526,516,544,"90046
(34.097151960000474, -118.35826821299969)"
399,406,411,402,395,389,384,386,"90047
(33.95687345800047, -118.3090784049997)"
449,462,468,462,443,437,430,450,"90048
(34.07316318500045, -118.37406665299972)"
851,880,897,876,852,838,830,853,"90049
(34.06172278600047, -118.4722594319997)"
471,486,499,478,476,481,466,451,"90056
(33.98651074000048, -118.36959998699967)"
255,261,258,254,244,241,237,249,"90057
(34.06211383600049, -118.27713826999968)"
273,280,276,273,275,264,262,265,"90058
(34.00184426500044, -118.22112680399971)"
344,348,350,340,343,334,332,341,"90059
(33.927010235000466, -118.24839605799968)"
314,318,326,321,318,314,311,320,"90061
(33.92303021000049, -118.27377957999971)"
362,372,379,368,362,357,354,356,"90062
(34.00387338200045, -118.30885680999972)"
305,313,318,313,308,304,299,310,"90063
(34.044881544000475, -118.18593660399972)"
539,553,564,552,539,522,521,533,"90064
(34.035413777000485, -118.4321767559997)"
399,413,419,413,400,394,390,411,"90065
(34.10881395500047, -118.22766603799971)"
391,402,405,398,393,386,383,382,"90066
(34.002152760000456, -118.4290396619997)"
854,847,849,826,780,770,747,772,"90067
(34.059550283000476, -118.41458817399968)"
617,633,636,627,606,593,576,603,"90068
(34.115253253000446, -118.33141607799968)"
1026,1087,1107,1116,1065,1063,1039,1102,"90069
(34.08940047000044, -118.3797890249997)"
1674,1735,1774,1747,1680,1636,1613,1678,"90077
(34.10409093400045, -118.45101669999968)"
335,347,351,386,385,370,380,391,"90094
(33.972932598000455, -118.42532902799968)"
1915,1982,2030,2033,1949,1896,1899,1944,"90210
(34.08553341500044, -118.4042687859997)"
609,505,626,639,585,565,601,639,"90212
(34.063843148000444, -118.40025834499971)"
368,370,376,372,364,362,358,361,"90230
(33.99506171100046, -118.39500957899969)"
267,281,282,271,259,249,238,243,"90232
(34.019702237000445, -118.39595678999967)"
366,374,380,374,371,363,360,362,"90247
(33.89189390000047, -118.29849831699971)"
446,451,452,443,433,423,419,418,"90248
(33.87544370900048, -118.28237834699968)"
980,1007,1028,1009,994,985,980,1002,"90272
(34.04886156900045, -118.53572692799969)"
204,224,241,264,234,233,479,390,"90275
(33.76310359300044, -118.3666584179997)"
375,386,390,387,385,382,371,368,"90291
(33.99258071300045, -118.4663762939997)"
498,510,488,487,483,467,473,473,"90292
(33.98163129900047, -118.4511079449997)"
478,489,492,479,468,464,455,446,"90293
(33.95744265300044, -118.43916786999972)"
970,989,988,982,983,994,992,989,"90402
(34.03254172900046, -118.50584632399972)"
407,404,640,621,699,588,636,464,"90403
(34.02842266300047, -118.49353692399967)"
375,346,362,371,374,367,426,410,"90405
(34.01013019000044, -118.4726765529997)"
323,329,329,326,323,318,318,321,"90501
(33.82909119100049, -118.3142098569997)"
369,382,386,376,369,356,353,360,"90710
(33.79480040800047, -118.2987286019997)"
410,418,423,412,406,394,384,383,"90717
(33.79380105600046, -118.3173599859997)"
339,347,353,343,341,335,643,337,"90731
(33.73272331400045, -118.29229799399968)"
497,505,518,506,497,482,476,482,"90732
(33.73946241700048, -118.31340603099972)"
327,335,339,337,333,323,325,328,"90744
(33.78372064300049, -118.26266940199969)"
672,689,694,699,660,639,642,685,"91040
(34.25970296100047, -118.3244988299997)"
523,531,538,537,510,499,499,527,"91042
(34.25460192400044, -118.2872577869997)"
404,431,412,400,349,286,317,391,"91105
(34.136982626000474, -118.15917571599971)"
475,531,648,639,624,666,694,764,"91205
(34.13853379300048, -118.2438685629997)"
724,661,718,717,686,691,703,756,"91214
(34.228570997000475, -118.2469491709997)"
921,983,1004,1010,938,868,899,976,"91302
(34.14327419400047, -118.6628270279997)"
449,430,440,453,412,402,421,434,"91303
(34.19807340300048, -118.59909883299969)"
678,685,694,687,645,623,622,662,"91304
(34.22192313800048, -118.60967892099967)"
615,631,634,626,593,569,580,613,"91306
(34.208401481000465, -118.5759399529997)"
855,872,874,868,799,770,775,818,"91307
(34.197812702000476, -118.63800835599972)"
744,799,890,894,825,746,555,524,"91309
(34.21867307400049, -118.59758676999968)"
847,853,858,826,790,763,757,796,"91311
(34.25282047300044, -118.5950275619997)"
756,776,791,767,731,707,705,747,"91316
(34.16673287800046, -118.5162960619997)"
729,751,734,718,683,653,652,662,"91324
(34.23552300500046, -118.54598982999971)"
694,713,719,692,660,629,638,658,"91325
(34.23588364000045, -118.5210581879997)"
885,892,873,848,804,774,750,805,"91326
(34.27493220500048, -118.55013931099973)"
261,262,271,259,221,205,200,221,"91330
(34.24341353500046, -118.5360962529997)"
518,534,545,538,520,513,515,552,"91331
(34.257261068000446, -118.41981955999972)"
549,569,577,568,541,520,538,560,"91335
(34.200180731000444, -118.54031959799971)"
521,539,545,544,530,523,533,568,"91340
(34.286190115000466, -118.43744724799967)"
599,609,611,613,581,569,577,605,"91342
(34.30514302800049, -118.43521825999971)"
596,614,621,601,578,553,568,600,"91343
(34.235514315000444, -118.4752661759997)"
791,819,826,805,771,730,743,775,"91344
(34.274801855000476, -118.50113633899969)"
611,639,643,635,608,588,597,625,"91345
(34.262123129000486, -118.46175755399969)"
528,541,554,550,531,517,521,559,"91352
(34.22551211300049, -118.37651723499971)"
881,916,919,904,857,822,835,866,"91356
(34.16990038700044, -118.5404890529997)"
936,960,962,957,904,876,875,920,"91364
(34.16201420300047, -118.59846880599969)"
743,751,748,749,699,683,688,719,"91367
(34.178642539000464, -118.60957898599969)"
541,562,572,559,538,515,521,549,"91401
(34.181153951000454, -118.4348272089997)"
435,449,456,442,431,424,422,455,"91402
(34.22575108800049, -118.4489267519997)"
666,681,696,672,641,629,628,658,"91403
(34.15359358100045, -118.4596676059997)"
432,450,462,446,429,416,423,450,"91405
(34.20047184600048, -118.4486964669997)"
514,530,540,529,510,490,497,530,"91406
(34.199811405000446, -118.48688906499967)"
457,464,477,466,446,432,435,464,"91411
(34.17933339400048, -118.45792960399967)"
636,653,660,655,620,606,604,636,"91423
(34.15306349100047, -118.43295885699968)"
1318,1353,1380,1305,1280,1215,1197,1279,"91436
(34.15384124700046, -118.4873366009997)"
558,574,577,571,554,530,522,565,"91504
(34.198251548000485, -118.33049928199972)"
383,392,420,408,407,398,416,434,"91505
(34.16767140000047, -118.34449888999967)"
403,402,408,412,394,389,395,413,"91601
(34.167132618000494, -118.37252852099971)"
551,571,582,577,546,536,538,560,"91602
(34.15134286900047, -118.3690785869997)"
699,721,729,708,676,662,663,703,"91604
(34.14446038000045, -118.3942796179997)"
446,466,474,467,455,443,447,480,"91605
(34.20546425700047, -118.40193986299971)"
428,448,457,452,435,419,428,450,"91606
(34.18673293900048, -118.3868062089997)"
551,719,719,719,719,719,719,719,"91607
(34.16615064800044, -118.39933720499971)"
