Date Name,Date Value,% outages repaired within 10 business days
Aug-13,08/01/2013 12:00:00 AM,96%
Sep-13,09/01/2013 12:00:00 AM,96%
Oct-13,10/01/2013 12:00:00 AM,91%
Nov-13,11/01/2013 12:00:00 AM,95%
Dec-13,12/01/2013 12:00:00 AM,87%
Jan-14,01/01/2014 12:00:00 AM,93%
Feb-14,02/01/2014 12:00:00 AM,96%
Mar-14,03/01/2014 12:00:00 AM,96%
Apr-14,04/01/2014 12:00:00 AM,91%
May-14,05/01/2014 12:00:00 AM,96%
Jun-14,06/01/2014 12:00:00 AM,98%
Jul-14,07/01/2014 12:00:00 AM,97%
Aug-14,08/01/2014 12:00:00 AM,96%
Sep-14,09/01/2014 12:00:00 AM,96%
Oct-14,10/01/2014 12:00:00 AM,97%
Nov-14,11/01/2014 12:00:00 AM,96%
