Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,Latitude/Longitude
544968,3102,, , , , , , ,02/12/2014,,204B153   967,GENERAL,North Valley,,O,
537506,3107,, , , , , , ,01/24/2014,,177A149   105,GENERAL,South Valley,,O,
529688,3111,, , , , , , ,01/06/2014,,171B097   279,GENERAL,South Valley,,O,
591000,1130,,,,,,,,05/12/2014,,123B181   936,GENERAL,South Los Angeles,,O,
544969,3102,, , , , , , ,02/12/2014,,204B153   967,GENERAL,North Valley,,O,
508326,8512,, , , , , , ,08/06/2013,,118-5A203 163,BILLBOARDS,South Los Angeles,,O,
530027,3143,, , , , , , ,01/07/2014,,195B133   238,GENERAL,North Valley,,O,
530139,3143,, , , , , , ,01/07/2014,,195B133   238,GENERAL,North Valley,,O,
612456,3105,, , , , , , ,06/13/2014,,219B165    15,GENERAL,North Valley,,O,
514069,3143,, , , , , , ,09/19/2013,,195A091    89,GENERAL,North Valley,,O,
501642,3111,, , , , , , ,06/06/2013,,189B117  1032,GENERAL,South Valley,,O,
509247,8511,, , , , , , ,08/12/2013,,150A185   273,BILLBOARDS,Central,,O,
505454,2131,,,,,,,,07/11/2013,,144A225    80,GENERAL,East Los Angeles,,O,
264349,8513,, , , , , , ,11/28/2012,,138A235     6,BILLBOARDS,East Los Angeles,,O,
528412,2131,,,,,,,,12/26/2013,,145-5A221 237,GENERAL,East Los Angeles,,O,
516422,2131,,,,,,,,10/04/2013,,154-5A229 368,GENERAL,East Los Angeles,,O,
413207,8511,, , , , , , ,04/13/2011,,192B137   306,BILLBOARDS,North Valley,,O,
554732,3105,, , , , , , ,03/06/2014,,219B157   505,GENERAL,North Valley,,O,
262090,8513,, , , , , , ,11/28/2012,,135A229   144,BILLBOARDS,East Los Angeles,,O,
635142,3124,, , , , , , ,07/10/2014,,207B181   161,GENERAL,North Valley,,O,
470222,3204,, , , , , , ,06/15/2012,,210B185     7,CITATIONS,North Valley,,O,
528756,2131,,,,,,,,12/30/2013,,130-5A207 636,GENERAL,Central,,O,
581308,3124,, , , , , , ,04/21/2014,,207B185   146,GENERAL,North Valley,,O,
545645,8513,, , , , , , ,02/13/2014,,133-5A207 250,BILLBOARDS,Central,,O,
493411,2131,,,,,,,,03/06/2013,,135A215   170,GENERAL,Central,,O,
493409,2131,,,,,,,,03/06/2013,,135A215   162,GENERAL,Central,,O,
486174,8511,, , , , , , ,12/04/2012,,150A185   250,BILLBOARDS,Central,,O,
431389,3143,, , , , , , ,10/20/2011,,192B117   359,GENERAL,North Valley,,O,
