CSR Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Street Zip,Date Received,Date Closed,Due Date,Case Flag,CSR Priority,GIS Parcel Identification Number(PIN),CSR Problem Type,Area Planning Commission (APC),Case Number Related to CSR,Response Days,Latitude/Longitude,CSR_CASE_NUMBER
313931,2121,777,,E,10TH,ST,,90021,08/19/2013,,09/17/2013,N,3,124-5A211 244,MISCELLANEOUS COMPLAINTS,Central,,,"(34.03437, -118.24974)",313931-313931
320506,1132,3429,,S,10TH,AVE,,90018,12/22/2013,,01/20/2014,N,3,120B185   991,MISCELLANEOUS COMPLAINTS,South Los Angeles,,,"(34.02468, -118.32846)",320506-320506
327722,2121,128,,E,11TH,ST,,90015,05/01/2014,,05/30/2014,N,3,126A209   227,BUILDINGS IN NEED OF GENERAL REPAIR,Central,,,"(34.03851, -118.25758)",327722-327722
316953,2121,1116,,E,11TH,ST,,90021,10/08/2013,,11/05/2013,N,3,123A213   117,CONSTRUCTION DONE WITHOUT PERMITS OR INSPECTIONS,Central,,,"(34.03168, -118.24675)",316953-316953
320437,1132,3014,,S,12TH,AVE,,90018,12/19/2013,,01/17/2014,N,3,120B185   518,OPEN STORAGE OF VEHICLES THAT CANNOT BE LEGALLY OPERATED (E.G. JUNK CARS),South Los Angeles,,,"(34.02708, -118.33153)",320437-320437
318093,1132,2541,,S,13TH,AVE,,90018,10/30/2013,,12/02/2013,N,2,123B185   596,ANY CHANGES DONE TO A PROPERTY IN AN HISTORICAL AREA,South Los Angeles,,,"(34.03338, -118.3321)",318093-318093
331502,2121,1025,,E,14TH,ST,,90021,07/01/2014,,07/30/2014,N,3,123A211   345,MISCELLANEOUS COMPLAINTS,Central,,,"(34.02968, -118.24905)",331502-331502
325718,1133,2901,,W,14TH,ST,,90006,04/01/2014,,04/29/2014,N,2,129B193  1373,CONSTRUCTION DONE WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.04644, -118.3062)",325718-325718
323147,1133,2900,,W,15TH,ST,,90006,02/17/2014,,03/17/2014,N,2,126B193    39,CONSTRUCTION IN PROGRESS WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.04523, -118.3062)",323147-323147
319608,1133,4726,,W,18TH,ST,,90019,12/03/2013,,01/01/2014,N,2,126B181   745,CONSTRUCTION DONE WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.04191, -118.34166)",319608-319608
318427,2121,800,,W,1ST,ST,,90012,11/06/2013,,12/09/2013,N,3,132A211    33,BUILDINGS IN NEED OF GENERAL REPAIR,Central,,,"(34.05698, -118.25121)",318427-318427
302158,2121,2815,,E,1ST,ST,,90033,01/29/2013,,02/27/2013,N,3,127-5A225 395,TRASH OR DEBRIS ON PRIVATE PROPERTY,East Los Angeles,,,"(34.04144, -118.20429)",302158-302158
298960,2121,3028,,E,1ST,ST,,90063,11/09/2012,,12/12/2012,N,3,126A225    92,BUILDINGS IN NEED OF GENERAL REPAIR,East Los Angeles,,,"(34.03994, -118.20163)",298960-298960
