PCIS Permit #,Permit Type,Permit Sub-Type,Address Start,Address Fraction Start,Address End,Address Fraction End,Street Direction,Street Name,Street Suffix,Suffix Direction,Unit Range Start,Unit Range End,Zip Code,Work Description,Event Location,Event Name,Event Start Date,Event End Date,Latitude/Longitude
13410-10000-00654,Temporary Special Event,Commercial,216,,216,,S,ALAMEDA,ST,,,,90012,"EVENT APRIL 27, 2012 OPEN HOUSE BREWERY TOURS.",ANGEL CITY BREWERY,OPEN HOUSE BREWERY TOURS,04/27/2013,04/27/2013,"(34.04645, -118.23792)"
13410-10000-00657,Temporary Special Event,Commercial,2646,,2646,,S,MANSFIELD,AVE,,,,90016,"FIESTA AT ST AGATHA WITH MECHANICAL RIDES ON MAY 31-JUNE 2, 2013.",ST AGATHA CATHOLIC CHURCH,CARNIVAL @ ST AGATHA,05/31/2013,06/02/2013,"(34.03116, -118.35257)"
13410-10000-00692,Temporary Special Event,Commercial,,,,,,,,,,,,"AEINAL RIG FOR PERFORMANCE, 18 FEET HIGH TRIPOD STRUCTURE WITH CABLES ",2025 AVENUE OF THE STARS,L'ANZA HAIR SHOW,05/04/2013,05/05/2013,
13410-10000-00721,Temporary Special Event,Vacant Land,,,,,,,,,,,,"SET UP CIRCUS TENT. EVENT MAY 30-JUNE 3, 2013 AMERICAN CROWN CIRCUS-CA","WATERFRONT BERTH 48-49, SAN PEDRO, CA 90731",AMERICAN CROWN CIRCUS,05/30/2013,06/03/2013,
13410-10000-00722,Temporary Special Event,Commercial,3939,,3939,,S,FIGUEROA,ST,,,,90037,N/A,EXPOSITION PARK LOT #6,FIGUEROA SWAPMEET,05/05/2013,05/05/2013,"(34.01173, -118.28296)"
13410-10000-00727,Temporary Special Event,Commercial,2025,,2025,,S,AVENUE OF THE STARS,,,,,90067,TRUSS STRUCTURE OPEN 40' X 22' TRUSS STRUCTURE OPEN 12' X 20' TRUSS ST,CENTURY PLAZA HOTEL,AVOOS BRIDAL SHOW,05/05/2013,05/05/2013,"(34.05712, -118.41481)"
13410-10000-00742,Temporary Special Event,Commercial,19812,,19812,,W,CANTLAY,ST,,,,91306,CARNIVAL WITH RIDES AND GAMES JUNE 21-23,ST. JOSEPH THE WORKER PARISH PARKING LOT,SJW 2013 FESTIVAL,06/21/2013,06/23/2013,"(34.20196, -118.56515)"
13410-10000-00744,Temporary Special Event,Commercial,1150,,1150,,S,BEVERLY,DR,,,,90035,"BUYING ROADSHOW, BUYING ANTIQUES PRECIOUS METAL FROM PUBLIC NOT SELLIN",THE CROWN PLAZA BEVERLY HILLS HOTEL,"TYRE,BAILEY,ROBERTS & ASSOC ESTATE BUYER",06/02/2013,06/02/2013,"(34.05621, -118.39569)"
13410-10000-00751,Temporary Special Event,Commercial,2650,,2650,,E,OLYMPIC,BLVD,,,,90023,A CIRCUS FAMILY TENT SHOW WITH A GRAND STAND AT THE SEARS PARKING LOT.,,CIRCO HERMANOS CABALLERO,05/10/2013,05/14/2013,"(34.02485, -118.22188)"
13410-10000-00782,Temporary Special Event,Commercial,800,,800,,W,OLYMPIC,BLVD,,,,90015,"6 leg self climber truss, 2 x 20' w truss arches 48"" H stage 20' d x 3",Nokia Plaza LA Live,CHOICE WELCOME SHOW,05/13/2013,05/13/2013,"(34.04484, -118.26453)"
13410-10000-00804,Temporary Special Event,Commercial,1882,,1882,,S,WESTERN,AVE,,,,90006,EVENT 5/10/13-5/12/13 ANGELES FLOWERS.,,ANGELES FLOWERS,05/10/2013,05/12/2013,"(34.04022, -118.30879)"
