Date Value,Month-Year,Quarter-FY,Annual-FY,Average number of days for payments to be processed and forwarded (Quarterly),TARGET: Average number of days for payments to be processed and forwarded (Quarterly),Average number of days for final retention requests to be processed (Quarterly),TARGET: Average number of days for final retention requests to be processed (Quarterly),"Average number of days for bond release authorizations to be processed, after final field acceptance (Quarterly)","TARGET: Average number of days for bond release authorizations to be processed, after final field acceptance (Quarterly)",Number of private development inspections,PROJECTED: Number of private development inspections,Miles of streets patrolled via Peak Hours Grid (Monthly),TARGET: Miles of streets patrolled via Peak Hours Grid (Monthly),PLA construction hours - local hire (%) (Quarterly),TARGET: PLA construction hours - local hire (%) (Quarterly),PLA construction hours - local apprentices (%) (Quarterly),TARGET: PLA construction hours - local apprentices (%) (Quarterly),PLA construction hours - disadvantaged hire (%) (Quarterly),TARGET: PLA construction hours - disadvantaged hire (%) (Quarterly),Backlog of unprocessed (D/M/WBE) Application Files (Quarterly),TARGET: Backlog of unprocessed (D/M/WBE) Application Files (Quarterly),Prevailing Wage restitution collected for employees (Quarterly),PROJECTED: Prevailing Wage restitution collected for employees (Annual FY),Prevailing wage restitution collected (Annual FY),PROJECTED: Prevailing wage restitution collected (Annually FY),Average # of days to Process Business Inclusion Reviews (Quarterly),TARGET: Average # of days to Process Business Inclusion Reviews (Quarterly)
06/30/2010 12:00:00 AM,Jun-10,QF FY10,FY 2010,,,,,,,,,,,,,,,,,,,,,$1460000.00,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,,,,,,,,,,,$1030000.00,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,,5339,,,,,,,,,,,,,,$910000.00,,,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,36%,30%,78%,50%,21%,,427,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,2.8,3,19,30,35,10,,,,,42%,30%,83%,50%,22%,,448,0,$95054.00,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,2.7,3,47,30,42.4,10,,,,,46%,30%,79%,50%,15%,,443,0,$5886.00,,,,49.1,40
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,2.3,3,54,30,33.1,10,5086,,,,44%,30%,76%,50%,14%,,444,0,$778793.00,,$930000.00,,66.1,40
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,,0,1000,,,,,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,,0,1000,,,,,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,2.8,3,15,30,24.1,10,,,1250,1000,39%,30%,66%,50%,21%,,451,0,$849992.00,,,,39.6,40
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,,895,1000,,,,,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,,2227,1000,,,,,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,1.8,3,3.4,30,3.3,10,,,4332,1000,45%,30%,65%,50%,24%,,402,0,$132851.00,,,,29.2,40
01/31/2014 12:00:00 AM,Jan-14,,,,,,,,,,,4752,1000,,,,,,10%,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,,,,,4082,1000,,,,,,10%,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,1.6,3,4,30,5,10,,,4412,1000,45%,30%,60%,50%,26%,10%,267,0,$224303.00,,,,16.6,40
04/30/2014 12:00:00 AM,Apr-14,,,,,,,,,,,3677,1000,,,,,,10%,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,,,,,2971,1000,,,,,,10%,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,1.6,3,2.4,30,2.7,10,8925,5213,2805,1000,40%,30%,51%,50%,18%,10%,200,0,$542532.00,,$1749678.00,$920000.00,19.4,40
07/31/2014 12:00:00 AM,Jul-14,,,,,,,,,,,3426,1000,,,,,,10%,,,,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,,,,,,,,,2814,1000,,,,,,10%,,,,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,1.4,3,3.1,30,3,10,,,3389,1000,36%,30%,54%,50%,16%,10%,156,0,$194355.69,,,,17.7,40
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,3145,1000,,,,,,10%,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,2166,1000,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,2419,1000,42%,30%,71%,50%,21%,10%,76,0,,,,,19.6,40
