Date Value,Month-Year,Quarter-FY,Annual-FY,# of completed clean water capital projects (Monthly),PROJECTED: # of completed clean water capital projects (Monthly),% of A- Permits in under 60 minutes (Annual FY),PROJECTED: % of A- Permits in under 60 minutes (Annual FY),% of A- Permits in under 60 minutes (Monthly),PROJECTED: % of A- Permits in under 60 minutes (Monthly),% S-permits issued within 60 minutes (Annually FY),PROJECTED: % S-permits issued within 60 minutes (Annually),% S-permits issued within 60 minutes (Monthly),PROJECTED: % S-permits issued within 60 minutes (Monthly),# of completed mobility capital projects (Annually FY),PROJECTED: # of completed mobility capital projects (Annually FY),# of completed public building and open spaces capital projects (Annually FY),PROJECTED: # of completed public building and open spaces captial projects (Annually FY)
06/30/1997 12:00:00 AM,Jun-97,Q4 FY97,FY 1997,,,,,,,,,,,,,,
06/30/2000 12:00:00 AM,Jun-00,Q4 FY00,FY 2000,,,,,,,,,,,,,,
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,61,,97%,,,,95%,,,,16,,47,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,65,,97%,,,,92%,,,,10,,43,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,51,,97%,,,,95%,,,,18,,23,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,58,,98%,,,,95%,,,,21,,37,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,97%,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,96%,90%,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,98%,90%,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,98%,90%,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,99%,90%,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,96%,90%,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,98%,90%,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,97%,90%,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,97%,90%,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,98%,90%,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,98%,90%,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,77,34,98%,98%,99%,90%,91%,95%,,,17,9,30,21
07/31/2014 12:00:00 AM,Jul-14,,,14,11,,,96%,90%,,,90%,,4,4,2,2
08/31/2014 12:00:00 AM,Aug-14,,,20,15,,,99%,90%,,,97%,,9,8,2,2
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,27,15,,,98%,90%,,,93%,,14,11,5,3
10/31/2014 12:00:00 AM,Oct-14,,,32,18,,,98%,90%,,,98%,,15,14,8,8
11/30/2014 12:00:00 AM,Nov-14,,,34,21,,,95%,90%,,,90%,,16,14,10,12
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,37,27,,,98%,90%,,,93%,,16,15,16,15
01/31/2015 12:00:00 AM,Jan-15,,,,31,,,,,,,,,,16,,18
02/28/2015 12:00:00 AM,Feb-15,,,,38,,,,,,,,,,16,,21
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,41,,,,,,,,,,17,,21
04/30/2015 12:00:00 AM,Apr-15,,,,48,,,,,,,,,,19,,23
05/31/2015 12:00:00 AM,May-15,,,,53,,,,,,,,,,20,,24
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,55,,90%,,90%,,90%,,90%,,20,,25
