Date Value,Month-Year,Quarter-FY,Annual-FY,Cumulative # of street lights converted to LED (Annual FY),PROJECTED: Cumulative # of street lights converted to LED (Annual FY),Cumulative # of street lights converted to LED  (Monthly),PROJECTED: Cumulative # of street lights converted to LED (Monthly),% of streetlights operating (Annual FY),PROJECTED: % of streetlights operating (Annual FY),Average % of streetlights operating Citywide (Monthly),PROJECTED: Average % of streetlights operating Citywide (Monthly),Street Lighting Maintenance Assessment Fund revenue in millions (Annual FY),PROJECTED: Street Lighting Maintenance Assessment Fund revenue in millions (Annual FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,50000,,,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,95000,,,,99.1%,,,,44.5,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,140000,,,,99%,,,,45.8,
07/31/2013 12:00:00 AM,Jul-13,,,,,1485,1167,,,99.13%,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,2540,2333,,,99.19%,99%,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,4125,3500,,,99.24%,99%,,
10/31/2013 12:00:00 AM,Oct-13,,,,,5214,4667,,,98.91%,99%,,
11/30/2013 12:00:00 AM,Nov-13,,,,,7449,5833,,,99.19%,99%,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,9396,7000,,,99.29%,99%,,
01/31/2014 12:00:00 AM,Jan-14,,,,,9731,8167,,,99.19%,99%,,
02/28/2014 12:00:00 AM,Feb-14,,,,,9754,9333,,,99.24%,99%,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,9754,10500,,,99.13%,99%,,
04/30/2014 12:00:00 AM,Apr-14,,,,,13481,11667,,,99.39%,99%,,
05/31/2014 12:00:00 AM,May-14,,,,,13886,12833,,,99.41%,99%,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,154291,154000,14291,14000,99.2%,99%,99.56%,99%,44.5,44.2
07/31/2014 12:00:00 AM,Jul-14,,,,,359,,,,99.28%,98%,,
08/31/2014 12:00:00 AM,Aug-14,,,,,600,,,,99.59%,98%,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,1140,,,,99.27%,98%,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,99.37%,98%,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,161500,,,,99.2%,,99.2%,,44
07/30/2015 12:00:00 AM,Jul-15,,,,,,,,,,,,
08/29/2015 12:00:00 AM,Aug-15,,,,,,,,,,,,
09/29/2015 12:00:00 AM,Sep-15,,,,,,,,,,,,
10/29/2015 12:00:00 AM,Oct-15,,,,,,,,,,,,
11/28/2015 12:00:00 AM,Nov-15,,,,,,,,,,,,
12/29/2015 12:00:00 AM,Dec-15,,,,,,,,,,,,
01/28/2016 12:00:00 AM,Jul-15,,,,,,,,,,,,
02/27/2016 12:00:00 AM,Aug-15,,,,,,,,,,,,
03/29/2016 12:00:00 AM,Sep-15,,,,,,,,,,,,
04/28/2016 12:00:00 AM,Oct-15,,,,,,,,,,,,
05/28/2016 12:00:00 AM,Nov-15,,,,,,,,,,,,
06/27/2016 12:00:00 AM,Dec-15,,,,,,,,,,,,
07/28/2016 12:00:00 AM,Jan-16,,,,,,,,,,,,
08/27/2016 12:00:00 AM,Feb-16,,,,,,,,,,,,
09/26/2016 12:00:00 AM,Mar-16,,,,,,,,,,,,
10/27/2016 12:00:00 AM,Apr-16,,,,,,,,,,,,
11/26/2016 12:00:00 AM,May-16,,,,,,,,,,,,
12/26/2016 12:00:00 AM,Jun-16,,,,,,,,,,,,
01/26/2017 12:00:00 AM,Jul-16,,,,,,,,,,,,
02/25/2017 12:00:00 AM,Aug-16,,,,,,,,,,,,
03/27/2017 12:00:00 AM,Sep-16,,,,,,,,,,,,
04/27/2017 12:00:00 AM,Oct-16,,,,,,,,,,,,
05/27/2017 12:00:00 AM,Nov-16,,,,,,,,,,,,
06/26/2017 12:00:00 AM,Dec-16,,,,,,,,,,,,
07/27/2017 12:00:00 AM,Jul-16,,,,,,,,,,,,
08/26/2017 12:00:00 AM,Aug-16,,,,,,,,,,,,
09/25/2017 12:00:00 AM,Sep-16,,,,,,,,,,,,
10/26/2017 12:00:00 AM,Oct-16,,,,,,,,,,,,
11/25/2017 12:00:00 AM,Nov-16,,,,,,,,,,,,
12/25/2017 12:00:00 AM,Dec-16,,,,,,,,,,,,
01/25/2018 12:00:00 AM,Jan-17,,,,,,,,,,,,
02/24/2018 12:00:00 AM,Feb-17,,,,,,,,,,,,
03/26/2018 12:00:00 AM,Mar-17,,,,,,,,,,,,
04/25/2018 12:00:00 AM,Apr-17,,,,,,,,,,,,
05/26/2018 12:00:00 AM,May-17,,,,,,,,,,,,
06/25/2018 12:00:00 AM,Jun-17,,,,,,,,,,,,
