Date Value,Month-Year,Quarter-FY,Annual-FY,Street Resurfacing Lane Miles (FYTD),TARGET: Street Resurfacing Lane Miles (FYTD),Slurry Seal Lane Miles (FYTD),TARGET: Slurry Seal Lane Miles (FYTD),Pavement Preservation Total Lane Miles (FYTD),TARGET: Pavement Preservation Total Lane Miles (FYTD),Small Asphalt Repairs Sq. Ft. (FYTD),TARGET: Small Asphalt Repairs Sq. Ft. (FYTD),Neighborhood Council Blitz: NC's Served (FYTD),TARGET: Neighborhood Council Blitz: NC's Served (FYTD),Street Pothole Repair Turnaround: Avg Working Days (Monthly),Street Pothole Service Requests (Monthly),"Tree Emergency ""Limb Down"" Turnaround: Avg. Working Days (Monthly)","Tree Emergency ""Limb Down"" Service Requests (Monthly)",Trees trimmed by Contracted Forces (Annually FY),Street Sweeping: % of posted routes completed (Annual FY),TARGET: Street Sweeping: % of posted routes completed (Annual FY),Pedestrian Access Ramps Installed - Measure R funded program only (FYTD),TARGET: Pedestrian Access Ramps Installed - Measure R funded program only (FYTD),Pedestrian Access Ramps Installed - all funding sources (FYTD),Concrete Bus Pads Installed (FYTD),TARGET: Concrete Bus Pads Installed (FYTD),Concrete Bus Landings Installed (Annually FY),Street Resurfacing Centerline Miles (Annual FY),TARGET: Street Resurfacing Centerline Miles (Annual FY),Slurry Seal Centerline Miles (Annual FY),TARGET: Slurry Seal Centerline Miles (Annual FY),Pavement Preservation Centerline Miles (Annual FY),TARGET: Pavement Preservation Centerline Miles (Annual FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,,,,,,,,,,,,,,,149,,401,,550,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,,,,,2251,93%,,,,1829,,,,174,,401,,575,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,,,,,,,,,,2046,97%,,,,1724,,,,236,,401,,637,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
