Year,Period,SA Employment CA,SA Employment LA County,Month,Day,Date
2014,Mar,17155800,4502900,3,31,03/31/2014
2014,Feb,17112500,4515700,2,28,02/28/2014
2014,Jan,17068000,4530600,1,31,01/31/2014
2013,Dec,17017800,4490500,12,31,12/31/2013
2013,Nov,16993200,4488300,11,30,11/30/2013
2013,Oct,16970100,4486200,10,31,10/31/2013
2013,Sep,16947700,4483500,9,30,09/30/2013
2013,Aug,16932000,4481000,8,31,08/31/2013
2013,Jul,16925800,4478300,7,31,07/31/2013
2013,Jun,16928100,4475100,6,30,06/30/2013
2013,May,16929900,4470200,5,31,05/31/2013
2013,Apr,16923000,4463400,4,30,04/30/2013
2013,Mar,16904000,4454800,3,31,03/31/2013
2013,Feb,16879200,4445700,2,28,02/28/2013
2013,Jan,16849100,4435600,1,31,01/31/2013
2012,Dec,16814100,4424100,12,31,12/31/2012
2012,Nov,16768600,4409200,11,30,11/30/2012
2012,Oct,16711400,4391000,10,31,10/31/2012
2012,Sep,16647900,4372100,9,30,09/30/2012
2012,Aug,16589700,4356500,8,31,08/31/2012
2012,Jul,16548500,4347400,7,31,07/31/2012
2012,Jun,16526200,4344800,6,30,06/30/2012
2012,May,16518800,4347100,5,31,05/31/2012
2012,Apr,16516600,4350700,4,30,04/30/2012
2012,Mar,16507800,4352000,3,31,03/31/2012
2012,Feb,16488400,4350500,2,28,02/28/2012
2012,Jan,16461300,4347500,1,31,01/31/2012
2011,Dec,16430000,4344300,12,31,12/31/2011
2011,Nov,16389000,4339300,11,30,11/30/2011
2011,Oct,16335600,4331200,10,31,10/31/2011
2011,Sep,16276500,4322000,9,30,09/30/2011
2011,Aug,16224700,4315200,8,31,08/31/2011
2011,Jul,16191600,4313800,7,31,07/31/2011
2011,Jun,16181600,4318500,6,30,06/30/2011
2011,May,16189600,4328000,5,31,05/31/2011
2011,Apr,16200800,4337600,4,30,04/30/2011
2011,Mar,16199700,4341900,3,31,03/31/2011
2011,Feb,16182700,4339200,2,28,02/28/2011
2011,Jan,16155500,4331400,1,31,01/31/2011
2010,Dec,16128700,4322600,12,31,12/31/2010
2010,Nov,16106700,4314800,11,30,11/30/2010
2010,Oct,16089000,4308200,10,31,10/31/2010
2010,Sep,16077800,4303200,9,30,09/30/2010
2010,Aug,16074200,4300300,8,31,08/31/2010
2010,Jul,16077100,4299700,7,31,07/31/2010
2010,Jun,16082600,4300000,6,30,06/30/2010
2010,May,16082400,4299000,5,31,05/31/2010
2010,Apr,16071300,4295800,4,30,04/30/2010
2010,Mar,16047100,4290300,3,31,03/31/2010
2010,Feb,16013100,4282700,2,28,02/28/2010
2010,Jan,15977600,4274100,1,31,01/31/2010
2009,Dec,15953600,4268000,12,31,12/31/2009
2009,Nov,15948400,4267500,11,30,11/30/2009
2009,Oct,15960600,4273500,10,31,10/31/2009
2009,Sep,15988100,4286100,9,30,09/30/2009
2009,Aug,16028300,4303700,8,31,08/31/2009
2009,Jul,16081500,4324700,7,31,07/31/2009
2009,Jun,16142700,4346300,6,30,06/30/2009
2009,May,16209300,4366400,5,31,05/31/2009
2009,Apr,16280300,4384200,4,30,04/30/2009
2009,Mar,16356200,4401200,3,31,03/31/2009
2009,Feb,16442300,4421300,2,28,02/28/2009
2009,Jan,16536400,4445500,1,31,01/31/2009
