Year,Period,Area,Unemployment Rate,Labor Force,Employment,Unemployment,Adjusted,Preliminary
2013,Jan,California,10.4%,18556500,16631900,1924600,Not Adj,Not Prelim
2013,Jan,Los Angeles County,10.9%,4891500,4357800,533800,Not Adj,Not Prelim
2013,Jan,Los Angeles City,12%,1915600,1684800,230800,Not Adj,Not Prelim
2013,Feb,California,9.699999999999999%,18648300,16835900,1812400,Not Adj,Not Prelim
2013,Feb,Los Angeles County,10.3%,4924000,4418000,506000,Not Adj,Not Prelim
2013,Feb,Los Angeles City,11.4%,1926900,1708100,218800,Not Adj,Not Prelim
2013,Mar,California,9.4%,18557800,16816800,1741000,Not Adj,Not Prelim
2013,Mar,Los Angeles County,9.9%,4895000,4409800,485200,Not Adj,Not Prelim
2013,Mar,Los Angeles City,11%,1914700,1704900,209800,Not Adj,Not Prelim
2013,Apr,California,8.5%,18524400,16944900,1579500,Not Adj,Not Prelim
2013,Apr,Los Angeles County,9.300000000000001%,4892700,4439400,453300,Not Adj,Not Prelim
2013,Apr,Los Angeles City,10.199999999999999%,1912300,1716300,196000,Not Adj,Not Prelim
2013,May,California,8.1%,18591100,17080100,1511000,Not Adj,Not Prelim
2013,May,Los Angeles County,9.199999999999999%,4924500,4469700,454800,Not Adj,Not Prelim
2013,May,Los Angeles City,10.199999999999999%,1924700,1728100,196600,Not Adj,Not Prelim
2013,Jun,California,8.9%,18694200,17038200,1656000,Not Adj,Not Prelim
2013,Jun,Los Angeles County,10.199999999999999%,4972400,4465600,506700,Not Adj,Not Prelim
2013,Jun,Los Angeles City,11.3%,1945600,1726500,219100,Not Adj,Not Prelim
2013,Jul,California,9.300000000000001%,18692400,16947100,1745300,Not Adj,Not Prelim
2013,Jul,Los Angeles County,10.8%,4991800,4451600,540100,Not Adj,Not Prelim
2013,Jul,Los Angeles City,11.9%,1954600,1721100,233500,Not Adj,Not Prelim
2013,Aug,California,8.800000000000001%,18655700,17005200,1650500,Not Adj,Not Prelim
2013,Aug,Los Angeles County,10.199999999999999%,4995500,4485800,509600,Not Adj,Not Prelim
2013,Aug,Los Angeles City,11.3%,1954600,1734300,220300,Not Adj,Not Prelim
2013,Sep,California,8.199999999999999%,18719000,17179000,1540100,Not Adj,Not Prelim
2013,Sep,Los Angeles County,9.300000000000001%,5033200,4562700,470500,Not Adj,Not Prelim
2013,Sep,Los Angeles City,10.3%,1967500,1764000,203400,Not Adj,Not Prelim
2013,Oct,California,8.300000000000001%,18574800,17025900,1548900,Not Adj,Not Prelim
2013,Oct,Los Angeles County,9.4%,4990700,4520200,470400,Not Adj,Not Prelim
2013,Oct,Los Angeles City,10.4%,1951000,1747600,203400,Not Adj,Not Prelim
2013,Nov,California,8.300000000000001%,18583100,17040900,1542200,Not Adj,Not Prelim
2013,Nov,Los Angeles County,9.4%,4972100,4506600,465500,Not Adj,Not Prelim
2013,Nov,Los Angeles City,10.4%,1943600,1742300,201300,Not Adj,Not Prelim
2013,Dec,California,7.9%,18503800,17037700,1466100,Not Adj,Prelim
2013,Dec,Los Angeles County,8.800000000000001%,4940200,4506400,433800,Not Adj,Prelim
2013,Dec,Los Angeles City,9.699999999999999%,1929800,1742300,187600,Not Adj,Prelim
2012,Jan,California,11.4%,18382600,16280200,2102400,Not Adj,Not Prelim
2012,Jan,Los Angeles County,11.9%,4881000,4300000,581000,Not Adj,Not Prelim
2012,Jan,Los Angeles City,13.1%,1913700,1662400,251200,Not Adj,Not Prelim
2012,Feb,California,11.3%,18474800,16391000,2083800,Not Adj,Not Prelim
2012,Feb,Los Angeles County,11.6%,4907200,4339100,568100,Not Adj,Not Prelim
2012,Feb,Los Angeles City,12.8%,1923200,1677600,245600,Not Adj,Not Prelim
2012,Mar,California,11.1%,18473100,16427700,2045400,Not Adj,Not Prelim
2012,Mar,Los Angeles County,11.2%,4886400,4337600,548900,Not Adj,Not Prelim
2012,Mar,Los Angeles City,12.4%,1914300,1677000,237300,Not Adj,Not Prelim
2012,Apr,California,10.3%,18373500,16483400,1890200,Not Adj,Not Prelim
2012,Apr,Los Angeles County,10.6%,4853100,4340800,512200,Not Adj,Not Prelim
