APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
W          , Brentwood - Pacific Palisades                                               , IN TRANSITION                                                                                        , CPC                                                          , CPC-2009-1064-GPA-VZC-HD-SP-CUB-ZV-SPR                       , 06-Apr-2009 , 16-Dec-2013                                                                                                                                                           
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2012-2415-SPE-SPP                                      , 07-Sep-2012 , 19-Mar-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2012-2711-ZC-DB                                        , 02-Oct-2012 , 29-Mar-2013                                                                                                                                                           
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-534-ZC-CU-CDO                                     , 27-Feb-2013 , 15-Oct-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-846-ZC                                            , 22-Mar-2013 , 05-Aug-2013                                                                                                                                                           
CW         , Citywide                                                                    , CITYWIDE                                                                                             , CPC                                                          , CPC-2013-1318-GPA                                            , 02-May-2013 , 09-Oct-2013                                                                                                                                                           
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , IN TRANSITION                                                                                        , CPC                                                          , CPC-2006-4047-CU-PA1                                         , 24-Jun-2013 , 25-Sep-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , COASTAL                                                                                              , CPC                                                          , CPC-2012-3436-DB-SPR                                         , 14-Dec-2012 , 09-Oct-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , APCC                                                         , APCC-2012-2091-SPE-SPP-ZV                                    , 03-Aug-2012 , 10-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-190-RFA                                             , 22-Jan-2013 , 26-Aug-2013                                                                                                                                                           
           ,                                                                             , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2005-6656-AD-GPA-ZC-DA                                   , 21-Sep-2005 , 21-Nov-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-555-ZC-SPR                                          , 28-Feb-2013 , 24-Dec-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-581-ZC-HD                                          , 04-Mar-2013 , 24-Sep-2013                                                                                                                                                           
S          , Southeast Los Angeles                                                       , IN TRANSITION                                                                                        , CPC                                                          , CPC-2010-31-SP-AD                                            , 06-Jan-2010 , 30-Jan-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2008-3440-ZC-CUB-CU-ZV-DA-HD                             , 18-Aug-2008 , 26-Apr-2013                                                                                                                                                           
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2012-2729-ZC                                           , 03-Oct-2012 , 01-Feb-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2010-3152-ZC-HD-SPE-SPR-SPP-CUB                          , 22-Nov-2010 , 18-Jun-2013                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-1187-ZC-DB                                        , 22-Apr-2013 , 30-Sep-2013                                                                                                                                                           
S          , Southeast Los Angeles                                                       , SOUTH                                                                                                , APCS                                                         , APCS-2012-3467-ZC                                            , 17-Dec-2012 , 06-Aug-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2008-3470-SP-GPA-ZC                                      , 21-Aug-2008 , 12-Feb-2013                                                                                                                                                           
H          , Wilmington - Harbor City                                                    , HARBOR                                                                                               , CPC                                                          , CPC-2012-2558-GPA-ZC-DA                                      , 19-Sep-2012 , 27-Nov-2013                                                                                                                                                           
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-72-DB-COA                                           , 10-Jan-2013 , 09-Jul-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2476-SPE-SPP-ZV-CU                                , 13-Aug-2013 , 08-Oct-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , CPC                                                          , CPC-2013-226-SPE-CU-ZAA-CCMP-SPP                             , 25-Jan-2013 , 21-Jun-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2010-1767-CU-SPR-GB                                      , 29-Jun-2010 , 26-Aug-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2011-2157-ZC-HD-CU-ZV-SPR                                , 17-Aug-2011 , 12-Aug-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-676-BL                                            , 12-Mar-2013 , 03-Sep-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2012-2576-ZC-SPE-SPP                                     , 20-Sep-2012 , 09-Jul-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , IN TRANSITION                                                                                        , CPC                                                          , CPC-2008-3571-ZV-CDP-DB-MEL                                  , 28-Aug-2008 , 16-Dec-2013                                                                                                                                                           
H          , Wilmington - Harbor City                                                    , HARBOR                                                                                               , CPC                                                          , CPC-2012-579-ZC-SPR                                          , 01-Mar-2012 , 15-Mar-2013                                                                                                                                                           
           ,                                                                             , IN TRANSITION                                                                                        , CPC                                                          , CPC-2009-598-CA-SP                                           , 26-Feb-2009 , 09-Jan-2013                                                                                                                                                           
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , UNKNOWN                                                                                              , APCNV                                                        , APCNV-2007-3727-ZC-CUB-ZAA-SPP-PA1                           , 24-Jan-2013 , 19-Jul-2013                                                                                                                                                           
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , APCC                                                         , APCC-2012-2130-SPE-SPP                                       , 08-Aug-2012 , 07-Jan-2013                                                                                                                                                           
W          , Venice                                                                      , WEST                                                                                                 , APCW                                                         , APCW-2003-3304-SPE-CU-ZAD-SPP-CDP-PA2                        , 14-Mar-2012 , 05-Feb-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2012-2487-ZC                                           , 13-Sep-2012 , 01-Nov-2013                                                                                                                                                           
NV         , Northridge                                                                  , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2012-3551-ZC-CU                                        , 21-Dec-2012 , 17-Jun-2013                                                                                                                                                           
C          , Wilshire                                                                    , IN TRANSITION                                                                                        , APCC                                                         , APCC-2003-5787-SPE-YV-ZAD                                    , 19-Aug-2003 , 10-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2011-2103-VZC-HD-ZAA                                     , 16-Aug-2011 , 05-Apr-2013                                                                                                                                                           
W          , Los Angeles International Airport                                           , COASTAL                                                                                              , CPC                                                          , CPC-2011-1964-SN                                             , 02-Aug-2011 , 10-Oct-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , WEST                                                                                                 , CPC                                                          , CPC-2012-3357-GPA-SP                                         , 06-Dec-2012 , 08-Mar-2013                                                                                                                                                           
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-739-CU-ZAA-F-SPR                                    , 15-Mar-2013 , 23-Dec-2013                                                                                                                                                           
NV         , Granada Hills - Knollwood                                                   , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2012-2703-ZC                                           , 02-Oct-2012 , 29-Mar-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2012-2405-VZC-ZAA-SPR                                    , 05-Sep-2012 , 26-Apr-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2012-2734-GPA-ZC-HD-CU-SPR                               , 03-Oct-2012 , 16-Aug-2013                                                                                                                                                           
S          , Southeast Los Angeles                                                       , SOUTH                                                                                                , CPC                                                          , CPC-2013-337-GPA-ZC-DB-SPR                                   , 07-Feb-2013 , 15-Jul-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1001-ZC-BL-ZV                                       , 05-Apr-2013 , 09-Oct-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2012-1363-GPA-ZC-SPR-BL                                  , 22-May-2012 , 10-Oct-2013                                                                                                                                                           
W          , Palms - Mar Vista - Del Rey                                                 , COASTAL                                                                                              , CPC                                                          , CPC-2012-2904-CU                                             , 19-Oct-2012 , 23-Aug-2013                                                                                                                                                           
W          , West Los Angeles                                                            , WEST                                                                                                 , APCW                                                         , APCW-2012-1698-ZC-ZV                                         , 22-Jun-2012 , 18-Nov-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2012-3118-ZC-CDO                                       , 07-Nov-2012 , 28-Feb-2013                                                                                                                                                           
C          , Central City North                                                          , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2004-4139-CUB-ZV-ZAD-PA1                                 , 22-Apr-2013 , 30-Aug-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-1308-SPP                                            , 02-May-2013 , 08-Nov-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-969-CWC                                             , 18-Mar-2013 , 03-Apr-2013                                                                                                                                                           
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1143-SPP                                            , 17-Apr-2013 , 06-May-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-550-CWNC                                            , 27-Feb-2013 , 28-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2033-CWC                                            , 05-Jul-2013 , 05-Jul-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2108-CWC                                            , 27-Jun-2013 , 12-Jul-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-324-CWC                                             , 08-Jan-2013 , 06-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-3199-CWC                                            , 10-Oct-2013 , 10-Oct-2013                                                                                                                                                           
W          , Westwood                                                                    , WEST                                                                                                 , DIR                                                          , DIR-2012-808-DRB-SPP                                         , 11-Oct-2012 , 01-Feb-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-576-COA                                             , 04-Mar-2013 , 18-Dec-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , DIR                                                          , DIR-2013-604-CWC                                             , 04-Mar-2013 , 05-Mar-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1371-SPP                                            , 09-May-2013 , 25-Jun-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2012-186-DRB-SPPA-MSP                                    , 24-Jan-2012 , 05-Feb-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-2212-SPP                                            , 22-Jul-2013 , 20-Aug-2013                                                                                                                                                           
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , NORTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1116-SPP                                            , 16-Apr-2013 , 01-May-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-3487-CWC                                            , 10-Sep-2013 , 24-Sep-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-2611-CWC                                            , 22-Aug-2013 , 22-Aug-2013                                                                                                                                                           
