APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-872-SPP-DB-DI                                       , 27-Mar-2013 , 14-Mar-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , CPC                                                          , CPC-2011-927-GPA-ZC-HD-SP-CUB-M1                             , 11-Sep-2013 ,                                                                                                                                                                       
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-534-ZC-CU-CDO                                     , 27-Feb-2013 , 15-Oct-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-1276-ZC-ZAA                                       , 30-Apr-2013 , 19-Feb-2014                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-846-ZC                                            , 22-Mar-2013 , 05-Aug-2013                                                                                                                                                           
CW         , Citywide                                                                    , CITYWIDE                                                                                             , CPC                                                          , CPC-2013-1318-GPA                                            , 02-May-2013 , 09-Oct-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-3074-CU-ZAA-SPR                                     , 02-Oct-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2013-521-DB-SPR                                          , 26-Feb-2013 ,                                                                                                                                                                       
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-1388-ZC                                           , 10-May-2013 , 16-May-2014                                                                                                                                                           
NV         , Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon  , IN TRANSITION                                                                                        , CPC                                                          , CPC-2006-4047-CU-PA1                                         , 24-Jun-2013 , 25-Sep-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-1442-ZC-CU-SPR                                      , 15-May-2013 ,                                                                                                                                                                       
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-3457-SPE-CUW-SPP                                  , 30-Oct-2013 ,                                                                                                                                                                       
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-4051-DA                                             , 18-Dec-2013 ,                                                                                                                                                                       
H          , Harbor Gateway                                                              ,                                                                                                      , CPC                                                          , CPC-2009-4168-CU-ZV-SPR-M1                                   , 03-Apr-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-1834-BL                                            , 18-Jun-2013 ,                                                                                                                                                                       
NV         , Sun Valley - La Tuna Canyon                                                 , IN TRANSITION                                                                                        , CPC                                                          , CPC-2009-3429-CU-PA1                                         , 17-Jan-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-190-RFA                                             , 22-Jan-2013 , 26-Aug-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2365-ZC-CDO                                       , 05-Aug-2013 , 16-May-2014                                                                                                                                                           
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1953-ZC-CU-SPR                                      , 27-Jun-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , CPC                                                          , CPC-2013-555-ZC-SPR                                          , 28-Feb-2013 , 24-Dec-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , APCC                                                         , APCC-2013-581-ZC-HD                                          , 04-Mar-2013 , 24-Sep-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2882-ZC-BL                                        , 13-Sep-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , CPC                                                          , CPC-2013-2547-CU                                             , 19-Aug-2013 , 25-Mar-2014                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2002-6068-CU-ZV-PA1                                      , 04-Dec-2013 , 28-Jan-2014                                                                                                                                                           
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-885-CU                                              , 27-Mar-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2013-2551-CUB-ZV-DB-SPR                                  , 19-Aug-2013 ,                                                                                                                                                                       
E          , Silver Lake - Echo Park - Elysian Valley                                    , EAST                                                                                                 , CPC                                                          , CPC-2013-3319-DB-SPR                                         , 22-Oct-2013 ,                                                                                                                                                                       
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2006-7806-CU-SPE-SPR-PA4                                 , 29-Oct-2013 ,                                                                                                                                                                       
W          , Westwood                                                                    , WEST                                                                                                 , APCW                                                         , APCW-2013-2708-SPE-DRB-SPP                                   , 30-Aug-2013 ,                                                                                                                                                                       
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , CPC                                                          , CPC-2013-1151-CU-ZV-ZAA                                      , 18-Apr-2013 , 14-Mar-2014                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-1187-ZC-DB                                        , 22-Apr-2013 , 30-Sep-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , CPC                                                          , CPC-2013-985-DB-SPR                                          , 04-Apr-2013 , 14-Mar-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , CPC                                                          , CPC-2013-3340-GPA-ZC-DB-SPR                                  , 23-Oct-2013 ,                                                                                                                                                                       
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-3834-GPA-ZC-HD-CU-CUB-SPR                           , 03-Dec-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , UNKNOWN                                                                                              , CPC                                                          , CPC-2000-2750-PP-PUB-CU-SPR-SPE-PA2                          , 05-Jun-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , CPC                                                          , CPC-2013-3262-PUB-ZV-ZAA-SPR                                 , 17-Oct-2013 ,                                                                                                                                                                       
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , CPC                                                          , CPC-2013-72-DB-COA                                           , 10-Jan-2013 , 09-Jul-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , APCSV                                                        , APCSV-2013-2476-SPE-SPP-ZV-CU                                , 13-Aug-2013 , 08-Oct-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , APCNV                                                        , APCNV-2013-3600-ZC                                           , 12-Nov-2013 ,                                                                                                                                                                       
W          , West Los Angeles                                                            , WEST                                                                                                 , CPC                                                          , CPC-2013-3641-ZC-DB                                          , 13-Nov-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , CPC                                                          , CPC-2013-226-SPE-CU-ZAA-CCMP-SPP                             , 25-Jan-2013 , 21-Jun-2013                                                                                                                                                           
