Category,Sort,Large size,Image,Text,Link
A Livable and Sustainable City,1,true,https://data.lacity.org/views/kxz5-hjdi/files/PSq-PyoDebiDmwRD4Ri_v7_vpFLjf202ucqut_hdG4U,"<p><span style=""color:#000000;font-size:1.6em;"">Annual LADWP CO2 emmissions</span></p>
<p>&nbsp;</p>
<p><span style=""color:#000000;"">CO2 is a greenhouse gas generated by certain forms of power generation. It is also one of the primary contributors to climate change. Our city owned utility tracks emissions in an effort to curb CO2 pollution while meeting Los Angeles' energy demands.</span></p>
<p>&nbsp;</p>",https://data.lacity.org/A-Livable-and-Sustainable-City/LADWP-CO2-Generation/e5ni-eqan
A Livable and Sustainable City,2,,https://data.lacity.org/views/kxz5-hjdi/files/rInnkOTDzHne7t9TaRq0_xmB7FdyuAJ3x6Gbc355GH0,<p><span>Air Quality Measurements</span></p>,https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/952i-kzmc/2kk4-e5tf
A Livable and Sustainable City,3,,https://data.lacity.org/views/kxz5-hjdi/files/tZ_7OKwN4J8SxpW_uJYPP7sOK41CSwx_7ENgZW73Kpo,<p><span>Solar Incentive Program</span></p>,https://data.lacity.org/A-Livable-and-Sustainable-City/LADWP-Solar-Incentive-Program/2yrw-q8tw
A Livable and Sustainable City,4,,https://data.lacity.org/views/kxz5-hjdi/files/ta5GBuM9jJhiwW7hXx6tm1zK-4utf-F3HvGZWPkL1jo,<p><span>Mobility Metrics</span></p>,https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/952i-kzmc/sya9-ye72
A Livable and Sustainable City,5,,https://data.lacity.org/views/kxz5-hjdi/files/2Sre_cthotLAy2mvZ8JyFsQAnVKd0bfJizAN38znt7Q,<p>Water Use by Zip Code</p>,https://data.lacity.org/A-Livable-and-Sustainable-City/Water-Use-Average-By-Zipcode/pzbs-vimf
A Safe City,1,true,https://data.lacity.org/views/kxz5-hjdi/files/9AOeEE2BJdTE-vADBlWGhniIwP6R2hWPJi9viQDp-Ds,"<p><span style=""font-size:1.6em;"">Reducing Crime</span></p>
<p>&nbsp;</p>
<p>Assorted metrics for tracking crime reduction efforts including incidents of Part I Crime and Gang Related Crime</p>",https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/6hq5-v2wg/4zjw-te48
A Safe City,2,,https://data.lacity.org/views/kxz5-hjdi/files/PQ_E1jHR6iSUAqheMYg3B-o2MdLMx98cBGrK42rGEa0,<p>Port of LA Tsunami Evacuation Routes</p>,https://data.lacity.org/A-Safe-City/Port-of-Los-Angeles-Tsunami-Evacuation-Routes-Sign/xsnc-uga6
A Safe City,3,,https://data.lacity.org/views/kxz5-hjdi/files/U8_sk27Noc8r6NLG8eJy1IdbfNufL52zKBrjrw6aRVo,<p><span>Crime &amp; Collision Map</span></p>,https://data.lacity.org/A-Safe-City/Crime-and-Collision-Data-2013-Map-View/ms69-dazs
A Safe City,4,,https://data.lacity.org/views/kxz5-hjdi/files/vYiTSrJ-hEJ2pYhRZU6CKSBatROzvRbM6Dk9zlunN5c,<p><span>Building Inspections</span></p>,https://data.lacity.org/A-Safe-City/LADBS-Inspections/9w5z-rg2h
A Safe City,5,,https://data.lacity.org/views/kxz5-hjdi/files/fhT-DA63XVisjNpALo9GSMaek84uSJf9Q_CtfAeJy0g,<p><span>LAFD Call Processing Time</span></p>,https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/6hq5-v2wg/e7cj-qgk8
A Prosperous City,1,true,https://data.lacity.org/views/kxz5-hjdi/files/Vjk7vAld3V4cvKmTzBAXNtQq01kauhsJmianzUiPdtY,"<p><span style=""font-size:2.2em;"">LA County Employment</span></p>
<p>&nbsp;</p>
<p>Overall employment is an important measure of our region's economic health.</p>",https://performance.lacity.org/en/stat/goals/8ya7-fqzd/tpjh-8a6z/55ym-huhy
A Prosperous City,2,,https://data.lacity.org/views/kxz5-hjdi/files/g5O6PFwZpmRAD7_3J7gaWVCMT0oJj5dTS0na7OVtofk,<p>Tourism</p>,https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/tpjh-8a6z/fqbc-v84z
A Prosperous City,3,,https://data.lacity.org/views/kxz5-hjdi/files/abAoXG6w1oPw00RVojqDh1rbjkt_1wVMP9AhcOTSLmM,<p><span>Cruise Passenger Data</span></p>,https://data.lacity.org/A-Prosperous-City/Port-of-Los-Angeles-Cruise-Passenger/mt7e-uv9h
A Prosperous City,4,,https://data.lacity.org/views/kxz5-hjdi/files/oXuKXQ39JxWZCTk3t71jqoUFljFExzho1-fL8J1WOJE,<p><span>TEU Count</span></p>,https://data.lacity.org/A-Prosperous-City/Port-of-Los-Angeles-Historical-TEU-Statistics-Grap/6mir-wugk
A Prosperous City,5,,https://data.lacity.org/views/kxz5-hjdi/files/oXn2BAMt7ljWP9CK5vAdXEhhB2cHiJznqotOKR8pyBc,<p><span>Building Permit Valuation</span></p>,https://performance.lacity.org/stat/goals/8ya7-fqzd/tpjh-8a6z/fsx8-eifx
A Well Run City,1,true,https://data.lacity.org/views/kxz5-hjdi/files/SXhnYQunvvtVcPlEWmU6ViX2K4Ui14q3yKthdf1kxBg,"<p><span style=""font-size:2.2em;"">311 App Adoption&nbsp;</span></p>
<p><span style=""font-size:2.2em;""></span></p>
<p>Increased use of the MyLA311 app allows for more efficient management and delivery of city services</p>",https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/ytki-m3j7/2e4v-jciu
A Well Run City,2,,https://data.lacity.org/views/kxz5-hjdi/files/plJwI2YonTIRHENdQMA6GTgmfcl8FQBvrjtlv55BPAo,<p>LADWP Call Wait Time</p>,https://data.lacity.org/A-Well-Run-City/LADWP-Call-Wait-Time-Graph/nw5j-i3nr
A Well Run City,3,,https://data.lacity.org/views/kxz5-hjdi/files/u7W6BfB9V8BwdiqSFwCUd0h0i081AHAlGySNm8YexZ8,<p>Neighborhood Council Office Map</p>,https://data.lacity.org/A-Well-Run-City/Neighborhood-Council-Office-Location-Map/nnrh-gpbn
A Well Run City,4,,https://data.lacity.org/views/kxz5-hjdi/files/9-4GluuJ46mGoqpoaf2Kt3FIA0CFzweUOEkyBCfOMKc,<p>Regional Utility Rate Comparison</p>,https://lacity-stat.demo.socrata.com/stat/goals/8ya7-fqzd/ytki-m3j7/vuyq-7fe2
A Well Run City,5,,https://data.lacity.org/views/kxz5-hjdi/files/RC1z-pQJXXbtYXAXJ9eAtYne_vR5nsWi76J52SKa8a0,<p>Library Usage</p>,https://data.lacity.org/A-Well-Run-City/Library-Monthly-Stats/m4ev-cuzz
