Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
McCarty Co LLC,,,,"GH Palmer Assoc (Palmer/Flower Street Properties, LP)",,1,2013,Castellammare condos,2001-5126,APC,17325 Castellammare,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
"Alpert Barr & Grant, A Professional Law Corporation",,,,Scatec Solar,,1,2013,LADWP contracts,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15002
"Alpert Barr & Grant, A Professional Law Corporation",,,,Geosyntec Consultants,,1,2013,LADWP contract,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15002
"Alpert Barr & Grant, A Professional Law Corporation",,,,"Playa Capital Company, LLC",,1,2013,LADWP issues,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15002
"Alpert Barr & Grant, A Professional Law Corporation",,,,"SODA MOUNTAIN SOLAR, LLC",,1,2013,SODA MOUNTAIN SOLAR PROJECT,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15002
McCarty Co LLC,,,,"Outback Steakhouse, Inc.",,1,2013,Bonefish Grill,2013-313,APC,9301 Tampa,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,Associated Estates Realty Corporation,,1,2013,Desmonds Apartments,,,5550 Wilshire Boulevard,"Building and Safety | Disability | Fire (LAFD) | Planning, City | Public Works, Engineering | Public Works, Sanitation | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,Avalon Bay Communities Inc,,1,2013,Matsu,B07VN15642,APC,236 S. Los Angeles Street,"Building and Safety | Cultural Affairs | Fire (LAFD) | Planning, City | Public Works, Board of | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,"GH Palmer Assoc (Palmer/Flower Street Properties, LP)",,1,2013,Da Vinci apartments,2006-8018,APC,909 Temple,"Building and Safety | Fire (LAFD) | Planning, City | Public Works, Board of | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Recreation & Parks | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,"GH Palmer Assoc (Palmer/Flower Street Properties, LP)",,1,2013,Piero II apartments,2006-1300,APC,609 St. Paul,"City Council (incl. Districts and Committees) | Public Works, Board of | Public Works, Engineering | Public Works, Street Services",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,L&R Parking,,1,2013,Zone Variance for Restaurant Building ,,APC,1455 N. Alvarado Street,"Building and Safety | Planning, City | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,Medical Asset Management,,1,2013,Tarzana Medical Atrium,2010-2313,APC,5411 Etiwanda,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,Sares Regis Group/Michael J. Wnter,,1,2013,Landmarc Apartments,B11LA10588,APC,20600 Ventura Blvd,"City Council (incl. Districts and Committees) | Building and Safety | Fire (LAFD) | Planning, City | Public Works, Contract Administration | Public Works, Engineering | Public Works, Street Lighting | Public Works, Street Services | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,State Bar of California,,1,2013,Tenant Improvement,B13LA04047,APC,845 S. Figueroa Street,"Building and Safety | Fire (LAFD) | Planning, City | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
McCarty Co LLC,,,,Wood Partners,,1,2013,Eton Aprtments,B11LA02473,APC,6701 N. Eton Avenue,"Building and Safety | Fire (LAFD) | Planning, City | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14974
Arnie Berghoff & Associates,,,,Cisco Systems Inc,,1,2013,Various information technology issues,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,Affirmed Housing Group,,1,2013,Representation of client to City of Los Angeles with regards to affordable housing projects,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,American Medical Response of So. California (AMR),,1,2013,Representation of client to the City of Los Angeles; monitor and report relevant government issues,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | Fire (LAFD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,Athens Services,,1,2013,Representation on a wide variety of City issues relating to recycling and solid waste,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Public Works, Board of | Public Works, Sanitation",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,BNSF Railway Company,,1,2013,Representation in matters relating to railroad issues with the City of Los Angeles,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,City of Beverly Hills,,1,2013,Westside subway and park space matters,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,Clear Channel Airports,,1,2013,Representation regarding various airport advertising matters,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,Clear Channel Outdoor,,1,2013,Representation of Clear Channel Outdoor with regard to various advertising policies,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,Estate Research Associates,,1,2013,Representation with regard to procurement opportunities with the City,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,"Green Conversion Systems, LLC",,1,2013,Representation regarding recycling waste matters,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,"IMPEX Technologies, Inc.",,1,2013,Airport procurement,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,NORESCO LLC,,1,2013,Representation re: waste conversion to energy issues,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,"Oracle America, Inc.",,1,2013,Various information technology issues,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Information Technology Agency (ITA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,Repipe California / Inland Pipe Rehabilitation LLC,,1,2013,Representation with regard to pipeline rehabilitation services,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Public Works, Contract Administration | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,"SAS Institute, Inc.",,1,2013,Various information technology issues,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,"SERCO, Inc.",,1,2013,Representation regarding parking related matters,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
Arnie Berghoff & Associates,,,,World Wide Technology,,1,2013,Representation in regards to technology issues,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | Information Technology Agency (ITA) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15006
JK Land Use Consulting,,,,Lincoln Property Company,,1,2013,Runway - Stage I & II,,,Playa Vista,"Building and Safety | Planning, City | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15021
JK Land Use Consulting,,,,The Broad Collection,,1,2013,Broad Museum,67492,APC,Grand Avenue,"Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15021
Afriat Consulting Group Inc,,,,Angelenos for Safe Access Committee,,1,2013,Assist client with issues regarding legislation pertaining to medical marijuana regulation,,,City of Los Angeles,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,Atlas Iron & Metal Company,,1,2013,Assist client with issues regarding possible annexation into the City of Los Angeles ,,,10019 S. Alameda St.,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,Anthem Blue Cross,,1,2013,Assist client with RFP for renewal of health benefits contract,,,,City Council (incl. Districts and Committees) | Personnel,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,"CH Acquisitions 2, LLC",,1,2013,Assist client with issues regarding the property known as the Hollywood Palladium,,,6215 Sunset Blvd.,"Mayor, Office of | City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,Clear Channel Outdoor,,1,2013,Assist with securing permits and other issues regarding outdoor advertising,,,Various locations,"City Attorney, Office of | City Council (incl. Districts and Committees) | Building and Safety | Neighborhood Councils",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,"MCLV Properties, LLC c/o Genton Property Group",,1,2013,Assist client with community and political outreach,,,Property located at Wetherly and Third Street,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,Genton Property Group,,1,2013,Assist client with issues regarding potential project,,,11950 Missouri Ave.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
