Client Prefix,Client First Name,Client Middle Name,Client Last Name,Client Suffix,Lobbying Firm,Registration Year,Date Representation Began,Date Terminated,Date Registered,Client Street Address,Client Street Address 2,Client City,Client State,Client Zip,Client Zip+4,Client Area Code,Client Telephone,Client Telephone Ext,Client Email,Client Alt Area Code,Client Alt Telephone,Client Alt Telephone Ext,Client Fax Area Code,Client Fax Number,Client Website,City Agencies,Lobbying Firm Registration Form
,,,Duncan Solutions,,The CrisCom Company,2013,01/02/2013,12/31/2013,01/02/2013,633 W. Wisconsin Avenue,Suite 1600,Milwaukee,WI,53203,,877,577-3632,,,414,847-3773,,414,847-6773,,"ALL CITY AGENCIES | Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1768
,,,"Crown Disposal Company, Inc.",,The CrisCom Company,2013,01/02/2013,12/31/2013,01/02/2013,9189 De Garmo Street,,Sun Valley,CA,91352,,818,767-0675,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1768
,,,Raytheon Company,,Roger Ham Consulting,2013,01/01/2013,12/31/2013,01/15/2013,299 N. Euclid Ave.,,Pasadena,CA,91101,,626,744-5489,,sscally@nmgovlaw.com,415,389-6800,,415,388-6874,,City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | Fire (LAFD) | Information Technology Agency (ITA) | Police (LAPD),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1822
,,,"Westfield, LLC",,Dakota Communications,2013,01/01/2013,12/31/2013,01/22/2013,11601 Wilshire Blvd 12th Fl.,,Los Angeles,CA,90025,1748,310,478-4456,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1836
,,,Toyota Central,,Dominick W Rubalcava - Atty at Law,2013,01/01/2013,12/31/2013,01/24/2013,1600 South FigueroaStreet,,Los Angeles,CA,90015,3491,213,748-8301,,lorenzo@toyotacentral.com,,,,213,743-3130,www.ToyotaCentral.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1844
,,,Administrative Services Co-Op,,Dominick W Rubalcava - Atty at Law,2013,01/01/2013,12/31/2013,01/24/2013,2129 W Rosecrans Ave,,Gardena,CA,90249,,310,715-1968,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1844
,,,Shammas Automotive Group,,Dominick W Rubalcava - Atty at Law,2013,01/01/2013,12/31/2013,01/24/2013,1801 South Figueroa Street,,Los Angeles,CA,90015,,213,748-8951,,ania@dtlamotors.com,,,,213,342-3444,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1844
,,,Summt Media LLC,,Dominick W Rubalcava - Atty at Law,2013,01/01/2013,12/31/2013,01/25/2013,1445 Fifth Street,,Santa Monica,CA,90401,,310,576-6644,,,,,,310,576-6643,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1844
,,,Paramount Construction,,Rick Taylor and Associates,2013,01/01/2013,12/31/2013,01/27/2013,6464 sunset Blvd,,Los Angeles,CA,90028,,323,464-7050,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1854
,,,7-11,,"Andrew Casana and Associates, LLC",2013,01/27/2013,12/31/2013,01/28/2013,P.O. Box 711,,Dallas,TX,75221,,972,828-7804,,Keith.Jones@7-11.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1855
,,,"Wilshire Gayley, LLC",,Montgomery Clark Advisors,2013,01/01/2013,12/31/2013,01/28/2013,"10877 Wilshire Boulevard, Suite 300",,Los Angeles,CA,90024,,310,824-3000,,,,,,310,824-2424,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1859
,,,SA/Recycling,,B Szabo Inc,2013,01/22/2013,12/31/2013,01/30/2013,3200 East Frontera Street,,Anaheim,CA,92806,,714,632-2000,,,,,,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1870
,,,Cabrillo Beach Yacht Club,,Butterfield Communications,2013,01/20/2013,12/31/2013,01/30/2013,211 West 22nd Street,,San Pedro,CA,90731,,310,533-8562,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1873
,,,Burlington Northern and Santa Fe Railway,,Butterfield Communications,2013,01/20/2013,12/31/2013,01/30/2013,3770 E. 26th Street,,Los Angeles,CA,90023,,323,267-4041,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1873
,,,Wallenius Wilhelmsenn Logistics,,Butterfield Communications,2013,01/20/2013,12/31/2013,01/30/2013,500 East Water Street,,Wilminton,CA,90748,,310,835-6000,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1873
