Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Amount Paid,Lobbying Firm Quarterly Report
Butterfield Communications,,,,Bentall Kennedy (U.S.) LP ,,1,2013,$28175.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14949
Butterfield Communications,,,,Burlington Northern and Santa Fe Railway,,1,2013,$60040.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14949
Butterfield Communications,,,,Wallenius Wilhelmsenn Logistics,,1,2013,$10275.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14949
Psomas,,,,"Beverly La Cienega, LLC",,1,2013,$0.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Book City News, Inc.",,1,2013,$5000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,Brookfield Residential,,1,2013,$0.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Highland and Selma Venture, LLC",,1,2013,$0.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,IDS Real Estate Group,,1,2013,$2000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Lennar Homes of California, Inc.",,1,2013,$15000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"LPC West, LLC",,1,2013,$3150.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,Millennium Partners LA,,1,2013,$2720.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
