Fiscal Year,Type,Activity,Amount in Thousands,Absolute Amount in Thousands
2004,Revenues,Taxes,2625489,2625489
2004,Revenues,Licenses and Permits,39627,39627
2004,Revenues,Intergovernmental ,884704,884704
2004,Revenues,Charges for Services,892501,892501
2004,Revenues,Fines,123226,123226
2004,Revenues,Special Assessments,97429,97429
2004,Revenues,Investment Earnings,13504,13504
2004,Revenues,Other,91689,91689
2004,Expenditures,General Government,-985796,985796
2004,Expenditures,Protection of Persons and Property,-1851489,1851489
2004,Expenditures,Public Works,-308973,308973
2004,Expenditures,Health and Sanitation,-328407,328407
2004,Expenditures,Transportation,-259665,259665
2004,Expenditures,Cultural and Recreational Services,-294594,294594
2004,Expenditures,Community Development,-430768,430768
2004,Expenditures,Capital Outlay,-522256,522256
2004,Expenditures,Debt Service-Principal,-186024,186024
2004,Expenditures,Debt Service-Interest,-136651,136651
2004,Expenditures,Debt Service-Cost of Issuance,-5057,5057
2004,Expenditures,Debt Service-Advance Refunding Loan Escrow,-3253,3253
2004,Other Financing Sources (Uses),Issuance of Long-term Debt,468135,468135
2004,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2004,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,25522,25522
2004,Other Financing Sources (Uses),Issuance of Refunding Bonds,77345,77345
2004,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,4736,4736
2004,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,0,0
2004,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2004,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2004,Other Financing Sources (Uses),Loans from HUD,23895,23895
2004,Other Financing Sources (Uses),Transfers In,745533,745533
2004,Other Financing Sources (Uses),Transfers Out,-547296,547296
2004,Special Items,Loss on Loan Settlement,0,0
2004,Special Items,Transfer of Properties for Development from CRA,0,0
2004,Special Items,Transfer of Housing Loans from CRA,0,0
2005,Revenues,Taxes,2960621,2960621
2005,Revenues,Licenses and Permits,46979,46979
2005,Revenues,Intergovernmental ,773137,773137
2005,Revenues,Charges for Services,966187,966187
2005,Revenues,Fines,136761,136761
2005,Revenues,Special Assessments,95293,95293
2005,Revenues,Investment Earnings,102198,102198
2005,Revenues,Other,73136,73136
2005,Expenditures,General Government,-1033826,1033826
2005,Expenditures,Protection of Persons and Property,-1944897,1944897
2005,Expenditures,Public Works,-334381,334381
2005,Expenditures,Health and Sanitation,-321322,321322
2005,Expenditures,Transportation,-268801,268801
2005,Expenditures,Cultural and Recreational Services,-294423,294423
2005,Expenditures,Community Development,-345368,345368
2005,Expenditures,Capital Outlay,-472648,472648
2005,Expenditures,Debt Service-Principal,-219144,219144
2005,Expenditures,Debt Service-Interest,-166367,166367
2005,Expenditures,Debt Service-Cost of Issuance,-2744,2744
2005,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2005,Other Financing Sources (Uses),Issuance of Long-term Debt,377140,377140
2005,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2005,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,15944,15944
2005,Other Financing Sources (Uses),Issuance of Refunding Bonds,49395,49395
2005,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,1497,1497
2005,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,0,0
2005,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2005,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2005,Other Financing Sources (Uses),Loans from HUD,14400,14400
2005,Other Financing Sources (Uses),Transfers In,775697,775697
2005,Other Financing Sources (Uses),Transfers Out,-545499,545499
2005,Special Items,Loss on Loan Settlement,0,0
2005,Special Items,Transfer of Properties for Development from CRA,0,0
2005,Special Items,Transfer of Housing Loans from CRA,0,0
2006,Revenues,Taxes,3259718,3259718
2006,Revenues,Licenses and Permits,55260,55260
2006,Revenues,Intergovernmental ,649969,649969
2006,Revenues,Charges for Services,1031895,1031895
2006,Revenues,Fines,132574,132574
2006,Revenues,Special Assessments,97193,97193
2006,Revenues,Investment Earnings,71714,71714
2006,Revenues,Other,81227,81227
2006,Expenditures,General Government,-1102270,1102270
2006,Expenditures,Protection of Persons and Property,-2089451,2089451
2006,Expenditures,Public Works,-357695,357695
2006,Expenditures,Health and Sanitation,-348258,348258
2006,Expenditures,Transportation,-276616,276616
2006,Expenditures,Cultural and Recreational Services,-334671,334671
2006,Expenditures,Community Development,-322683,322683
2006,Expenditures,Capital Outlay,-547787,547787
2006,Expenditures,Debt Service-Principal,-241142,241142
2006,Expenditures,Debt Service-Interest,-177756,177756
2006,Expenditures,Debt Service-Cost of Issuance,-2053,2053
2006,Expenditures,Debt Service-Advance Refunding Loan Escrow,-1878,1878
2006,Other Financing Sources (Uses),Issuance of Long-term Debt,268750,268750
2006,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2006,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,9740,9740
2006,Other Financing Sources (Uses),Issuance of Refunding Bonds,73080,73080
2006,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,4786,4786
2006,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,0,0
2006,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2006,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2006,Other Financing Sources (Uses),Loans from HUD,1,1
2006,Other Financing Sources (Uses),Transfers In,828604,828604
2006,Other Financing Sources (Uses),Transfers Out,-642716,642716
2006,Special Items,Loss on Loan Settlement,0,0
2006,Special Items,Transfer of Properties for Development from CRA,0,0
2006,Special Items,Transfer of Housing Loans from CRA,0,0
2007,Revenues,Taxes,3407996,3407996
2007,Revenues,Licenses and Permits,59443,59443
2007,Revenues,Intergovernmental ,775771,775771
2007,Revenues,Charges for Services,1134205,1134205
2007,Revenues,Fines,150059,150059
2007,Revenues,Special Assessments,100872,100872
2007,Revenues,Investment Earnings,231677,231677
2007,Revenues,Other,101009,101009
2007,Expenditures,General Government,-1243090,1243090
2007,Expenditures,Protection of Persons and Property,-2366956,2366956
2007,Expenditures,Public Works,-373107,373107
2007,Expenditures,Health and Sanitation,-373644,373644
2007,Expenditures,Transportation,-306853,306853
2007,Expenditures,Cultural and Recreational Services,-351536,351536
2007,Expenditures,Community Development,-347319,347319
2007,Expenditures,Capital Outlay,-730117,730117
2007,Expenditures,Debt Service-Principal,-340091,340091
2007,Expenditures,Debt Service-Interest,-181677,181677
2007,Expenditures,Debt Service-Cost of Issuance,-5745,5745
2007,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2007,Other Financing Sources (Uses),Issuance of Long-term Debt,695488,695488
2007,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
