Fiscal Year,Change Type,Activity Type,Activity,Amount in Thousands,Absolute Amount in Thousands
2004,Expenses,Governmental Activities,General Government,$-1362157,$1362157
2004,Expenses,Governmental Activities,Protection of Persons and Property,$-1965205,$1965205
2004,Expenses,Governmental Activities,Public Works,$-224080,$224080
2004,Expenses,Governmental Activities,Health and Sanitation,$-334229,$334229
2004,Expenses,Governmental Activities,Transportation,$-253560,$253560
2004,Expenses,Governmental Activities,Cultural and Recreational Services,$-338860,$338860
2004,Expenses,Governmental Activities,Community Development,$-404800,$404800
2004,Expenses,Governmental Activities,Interest on Long-term Debt,$-142758,$142758
2004,Expenses,Business-type Activities,Airports,$-564131,$564131
2004,Expenses,Business-type Activities,Harbor,$-272273,$272273
2004,Expenses,Business-type Activities,Power,$-2178837,$2178837
2004,Expenses,Business-type Activities,Water,$-575941,$575941
2004,Expenses,Business-type Activities,Sewer,$-444973,$444973
2004,Expenses,Business-type Activities,Other- Convention Center,$-36031,$36031
2004,Program Revenues,Governmental Activities,Charges for Services-General Government,$244329,$244329
2004,Program Revenues,Governmental Activities,Charges for Services-Protection of Persons and Property,$226009,$226009
2004,Program Revenues,Governmental Activities,Charges for Services-Public Works,$146771,$146771
2004,Program Revenues,Governmental Activities,Charges for Services-Health and Sanitation,$211981,$211981
2004,Program Revenues,Governmental Activities,Charges for Services-Transportation,$71028,$71028
2004,Program Revenues,Governmental Activities,Charges for Services-Cultural and Recreational Services,$93965,$93965
2004,Program Revenues,Governmental Activities,Charges for Services-Community Development,$74237,$74237
2004,Program Revenues,Governmental Activities,Operating Grants and Contributions,$677536,$677536
2004,Program Revenues,Governmental Activities,Capital Grants and Contributions,$56657,$56657
2004,Program Revenues,Business-type Activities,Charges for Services-Airports,$679063,$679063
2004,Program Revenues,Business-type Activities,Charges for Services-Harbor,$354754,$354754
2004,Program Revenues,Business-type Activities,Charges for Services-Power,$2401011,$2401011
2004,Program Revenues,Business-type Activities,Charges for Services-Water,$601504,$601504
2004,Program Revenues,Business-type Activities,Charges for Services-Sewer,$430263,$430263
2004,Program Revenues,Business-type Activities,Charges for Services-Other- Convention Center,$19885,$19885
2004,Program Revenues,Business-type Activities,Operating Grants and Contributions,$18931,$18931
2004,Program Revenues,Business-type Activities,Capital Grants and Contributions,$92640,$92640
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Property Taxes,$884665,$884665
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Utility Users' Taxes,$572018,$572018
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Business Taxes,$372376,$372376
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Other Taxes,$417714,$417714
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Sales Taxes,$381090,$381090
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Motor Vehicle In-lieu Taxes,$176853,$176853
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Other Grants and Contributions,$0,$0
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Investment Earnings,$667,$667
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Other General Revenues,$34790,$34790
2004,General Revenues and Other Changes in Net Position,Governmental Activities,Transfers,$238237,$238237
2004,General Revenues and Other Changes in Net Position,Special Items,Gain (Loss) on Loan Settlement,$0,$0
2004,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties from CRA,$0,$0
2004,General Revenues and Other Changes in Net Position,Special Items,Return of Properties to CRA,$0,$0
2004,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties for Housing Development from CRA,$0,$0
2004,General Revenues and Other Changes in Net Position,Special Items,Transfer of Housing Loans from CRA,$0,$0
2004,General Revenues and Other Changes in Net Position,Business-type Activities,Pollution Remediation Liabilities Adjustment,$0,$0
2004,General Revenues and Other Changes in Net Position,Business-type Activities,Transfers,$-238237,$238237
2005,Expenses,Governmental Activities,General Government,$-1220826,$1220826
2005,Expenses,Governmental Activities,Protection of Persons and Property,$-2156914,$2156914
2005,Expenses,Governmental Activities,Public Works,$-337627,$337627
2005,Expenses,Governmental Activities,Health and Sanitation,$-298777,$298777
2005,Expenses,Governmental Activities,Transportation,$-202952,$202952
2005,Expenses,Governmental Activities,Cultural and Recreational Services,$-413344,$413344
2005,Expenses,Governmental Activities,Community Development,$-318119,$318119
2005,Expenses,Governmental Activities,Interest on Long-term Debt,$-181113,$181113
2005,Expenses,Business-type Activities,Airports,$-599483,$599483
2005,Expenses,Business-type Activities,Harbor,$-284567,$284567
2005,Expenses,Business-type Activities,Power,$-2233084,$2233084
2005,Expenses,Business-type Activities,Water,$-525152,$525152
2005,Expenses,Business-type Activities,Sewer,$-480392,$480392
2005,Expenses,Business-type Activities,Other- Convention Center,$-34371,$34371
2005,Program Revenues,Governmental Activities,Charges for Services-General Government,$254101,$254101
2005,Program Revenues,Governmental Activities,Charges for Services-Protection of Persons and Property,$281451,$281451
2005,Program Revenues,Governmental Activities,Charges for Services-Public Works,$144037,$144037
2005,Program Revenues,Governmental Activities,Charges for Services-Health and Sanitation,$242681,$242681
2005,Program Revenues,Governmental Activities,Charges for Services-Transportation,$65729,$65729
