Zip,Department,Employee Count,Location 1
90016,Aging,1,"90016
(34.02888323300044, -118.35308896599969)"
90065,Aging,1,"90065
(34.10881395500047, -118.22766603799971)"
90076,Aging,1,"90076
(34.06360417300044, -118.3041468239997)"
90211,Aging,1,"90211
(34.065663706000464, -118.38146619699972)"
90240,Aging,1,"90240
(33.95620432700048, -118.11982734499969)"
90501,Aging,1,"90501
(33.82909119100049, -118.3142098569997)"
90602,Aging,1,"90602
(33.971251081000446, -118.03505628899967)"
90603,Aging,1,"90603
(33.94370374600044, -117.99197990399972)"
90640,Aging,1,"90640
(34.014032005000445, -118.11318817799969)"
90650,Aging,1,"90650
(33.90621069400049, -118.08204752299969)"
90710,Aging,1,"90710
(33.79480040800047, -118.2987286019997)"
90712,Aging,1,"90712
(33.849073871000485, -118.1461798039997)"
90723,Aging,1,"90723
(33.895374250000486, -118.16535865799972)"
90745,Aging,1,"90745
(33.82597147700045, -118.26966920599972)"
90746,Aging,1,"90746
(33.858880549000446, -118.2610096089997)"
90808,Aging,1,"90808
(33.824963435000484, -118.11531722999968)"
91107,Aging,1,"91107
(34.15076063800046, -118.09228870099969)"
91306,Aging,1,"91306
(34.208401481000465, -118.5759399529997)"
91344,Aging,1,"91344
(34.274801855000476, -118.50113633899969)"
91355,Aging,1,"91355
(34.41829131700047, -118.56477763399971)"
91406,Aging,1,"91406
(34.199811405000446, -118.48688906499967)"
91606,Aging,1,"91606
(34.18673293900048, -118.3868062089997)"
91607,Aging,1,"91607
(34.16615064800044, -118.39933720499971)"
91702,Aging,1,"91702
(34.12796239400046, -117.90560988399972)"
91706,Aging,1,"91706
(34.08512064000047, -117.96798678299967)"
91762,Aging,1,"91762
(34.05779055600044, -117.6632889279997)"
91765,Aging,1,"91765
(34.001861645000474, -117.81637650699969)"
91775,Aging,1,"91775
(34.11565299400047, -118.08573643299968)"
91789,Aging,1,"91789
(34.01633051300047, -117.85816676999968)"
91790,Aging,2,"91790
(34.06664133200047, -117.93768905999968)"
92337,Aging,1,"92337
(34.04721046700047, -117.47615823099972)"
92821,Aging,1,"92821
(33.92284337400048, -117.89508628099969)"
93551,Aging,1,"93551
(34.60587389400047, -118.18323835599972)"
89183,Airports,1,"89183
(36.003492708000465, -115.1444892399997)"
90001,Airports,14,"90001
(33.973271508000494, -118.24896959899968)"
90002,Airports,27,"90002
(33.94895251300045, -118.24697958699971)"
90003,Airports,28,"90003
(33.96335186100049, -118.27393599999971)"
90004,Airports,5,"90004
(34.07572239300049, -118.30301712299968)"
90005,Airports,5,"90005
(34.05907233200048, -118.30301712299968)"
90006,Airports,4,"90006
(34.05010424100044, -118.2926890439997)"
90007,Airports,11,"90007
(34.02833141800045, -118.28507659499968)"
90008,Airports,29,"90008
(34.01097312100046, -118.34158773599972)"
90009,Airports,35,"90009
(33.953931889000444, -118.3858763769997)"
90011,Airports,10,"90011
(34.00790120200048, -118.25903697699971)"
90012,Airports,1,"90012
(34.059480762000476, -118.24204800599972)"
90014,Airports,1,"90014
(34.04475119400047, -118.2527367189997)"
90015,Airports,3,"90015
(34.04012376300045, -118.26498963499972)"
90016,Airports,29,"90016
(34.02888323300044, -118.35308896599969)"
90017,Airports,4,"90017
(34.05230281300044, -118.26338632799968)"
90018,Airports,23,"90018
(34.03077331100047, -118.31686899999971)"
90019,Airports,20,"90019
(34.04884418900048, -118.33610868499972)"
90020,Airports,5,"90020
(34.06636325100044, -118.30164844599972)"
90022,Airports,5,"90022
(34.023543222000455, -118.15512616999968)"
90023,Airports,8,"90023
(34.02418193800048, -118.20195663999971)"
90024,Airports,2,"90024
(34.06136215000049, -118.4402367409997)"
90025,Airports,9,"90025
(34.04518134900047, -118.45025632399972)"
90026,Airports,8,"90026
(34.07687382000046, -118.26535895999967)"
90027,Airports,2,"90027
(34.10546395500046, -118.2923675139997)"
90028,Airports,5,"90028
(34.10072355400047, -118.32821815499972)"
90029,Airports,4,"90029
(34.08989145600049, -118.29490934299969)"
90031,Airports,3,"90031
(34.07752122500045, -118.2131059239997)"
90032,Airports,9,"90032
(34.08151428500048, -118.17678602299969)"
90033,Airports,8,"90033
(34.04856176400045, -118.2115199969997)"
90034,Airports,10,"90034
(34.02829231300046, -118.40269589399969)"
90035,Airports,1,"90035
(34.05421027100044, -118.38387767499972)"
90036,Airports,1,"90036
(34.06889204400045, -118.35077742299967)"
90037,Airports,21,"90037
(34.00349102100046, -118.28709702299972)"
90038,Airports,1,"90038
(34.08898335000049, -118.32483774099973)"
90039,Airports,4,"90039
(34.111603448000494, -118.2612572749997)"
90040,Airports,1,"90040
(33.99649121800047, -118.15148940099971)"
90041,Airports,2,"90041
(34.13538366300048, -118.20684911499967)"
90042,Airports,15,"90042
(34.11332407100048, -118.19142869099971)"
90043,Airports,57,"90043
(33.98673233600044, -118.33290641599967)"
90044,Airports,61,"90044
(33.95386236800044, -118.2919460489997)"
90045,Airports,45,"90045
(33.961522614000444, -118.39344972199967)"
90046,Airports,4,"90046
(34.097151960000474, -118.35826821299969)"
90047,Airports,75,"90047
(33.95687345800047, -118.3090784049997)"
90051,Airports,2,"90051
(33.97574381600049, -118.25652990899971)"
90054,Airports,1,"90054
(33.97574381600049, -118.25652990899971)"
90056,Airports,14,"90056
(33.98651074000048, -118.36959998699967)"
90057,Airports,4,"90057
(34.06211383600049, -118.27713826999968)"
90058,Airports,1,"90058
(34.00184426500044, -118.22112680399971)"
90059,Airports,16,"90059
(33.927010235000466, -118.24839605799968)"
90061,Airports,17,"90061
(33.92303021000049, -118.27377957999971)"
90062,Airports,11,"90062
(34.00387338200045, -118.30885680999972)"
90063,Airports,5,"90063
(34.044881544000475, -118.18593660399972)"
90064,Airports,6,"90064
(34.035413777000485, -118.4321767559997)"
90065,Airports,5,"90065
(34.10881395500047, -118.22766603799971)"
90066,Airports,27,"90066
(34.002152760000456, -118.4290396619997)"
90068,Airports,2,"90068
(34.115253253000446, -118.33141607799968)"
90069,Airports,1,"90069
(34.08940047000044, -118.3797890249997)"
90073,Airports,1,"90073
(34.05246357900046, -118.4584596949997)"
90081,Airports,1,"90081
(34.05506189200048, -118.27383606599972)"
90086,Airports,1,"90086
(34.05810339600049, -118.23701648999969)"
90094,Airports,9,"90094
(33.972932598000455, -118.42532902799968)"
90201,Airports,9,"90201
(33.96958259900049, -118.17504801999968)"
90213,Airports,1,"90213
(34.073280500000465, -118.3935974529997)"
90220,Airports,49,"90220
(33.88573268300047, -118.23452680099967)"
90221,Airports,12,"90221
(33.89560019000049, -118.2056368589997)"
90222,Airports,10,"90222
(33.91203300100045, -118.23502647699968)"
90230,Airports,17,"90230
(33.99506171100046, -118.39500957899969)"
90232,Airports,7,"90232
(34.019702237000445, -118.39595678999967)"
90240,Airports,9,"90240
(33.95620432700048, -118.11982734499969)"
90241,Airports,17,"90241
(33.94049278700044, -118.13166748599969)"
90242,Airports,22,"90242
(33.92203085800048, -118.14007941599971)"
90245,Airports,31,"90245
(33.92015381600049, -118.40580691799971)"
90247,Airports,36,"90247
(33.89189390000047, -118.29849831699971)"
90248,Airports,6,"90248
(33.87544370900048, -118.28237834699968)"
90249,Airports,19,"90249
(33.90050135700045, -118.31913709299971)"
90250,Airports,88,"90250
(33.91415336400047, -118.34715803299969)"
90251,Airports,4,"90251
(33.91716010800047, -118.36121847099969)"
90254,Airports,3,"90254
(33.86430311500044, -118.39718642699972)"
90255,Airports,8,"90255
(33.978672351000455, -118.21899775099968)"
90260,Airports,25,"90260
(33.88913047700049, -118.3522981749997)"
90262,Airports,23,"90262
(33.92512015700049, -118.20319931099971)"
90266,Airports,8,"90266
(33.89004292800047, -118.40324770999968)"
90267,Airports,1,"90267
(33.88569357700044, -118.39614797099972)"
90270,Airports,4,"90270
(33.98850075300044, -118.1889476929997)"
90272,Airports,2,"90272
(34.04886156900045, -118.53572692799969)"
90274,Airports,7,"90274
(33.77664263000048, -118.37785984199968)"
90275,Airports,20,"90275
(33.76310359300044, -118.3666584179997)"
90277,Airports,21,"90277
(33.832723615000475, -118.38547663699967)"
90278,Airports,21,"90278
(33.87132030000049, -118.37072968899969)"
90280,Airports,16,"90280
(33.94496379700047, -118.19748997399972)"
90291,Airports,5,"90291
(33.99258071300045, -118.4663762939997)"
90292,Airports,7,"90292
(33.98163129900047, -118.4511079449997)"
90293,Airports,13,"90293
(33.95744265300044, -118.43916786999972)"
90295,Airports,2,"90295
(33.97812053500047, -118.43884633999971)"
