Depart #,Dept,Bldg #,Sub ID,Maint Dist,Bldg Name,Bldg Desc,Community,Zip Code,Council Dist,Square Ft,Location 1,Location 2,Location 3,Location 4
1,DGS,1,*,CD,EAGLE ROCK MUNICIPAL BUILDING,Eagle Rock Municipal Building,EAGLE ROCK,90041,14,,"2035
",,"COLORADO
EAGLE ROCK, California 90041
(34.13926229700007, -118.21125022899997)","BL
"
1,DGS,2,*,CC,LOS ANGELES CITY HALL,LOS ANGELES CITY HALL,LOS ANGELES,90012,9,823272,"200
","N
(39.99999921300008, 126.99999930000001)","SPRING
LOS ANGELES, California 90012
(34.05948330100006, -118.24204800499996)","ST
(10.916668402000028, 38.64999824900008)"
1,DGS,3,*,SD,SAN PEDRO MUNICIPAL BUILDING,SAN PEDRO MUNICIPAL BUILDING,SAN PEDRO,90731,15,12021,"638
","S
(36.99999657200004, 127.49999749000006)","BEACON
SAN PEDRO, California 90731
(33.732721507000065, -118.29229799399997)","ST
(10.916668402000028, 38.64999824900008)"
1,VAR,3,*,SD,ITA in Ste 301,,Los Angeles,90012,9,6137,"319
","E
(26.582349951000026, 101.71863635200003)","2ND
Los Angeles, California 90012
(34.32367254700006, -118.45577256599995)","St.
(10.916668402000028, 38.64999824900008)"
1,DGS,4,*,ND,SUNLAND-TUJUNGA MUNICIPAL BLDG,SUNLAND-TUJUNGA MUNICIPAL BLDG ROOM #2,TUJUNGA,91042,2,,"7747
",,"FOOTHILL
TUJUNGA, California 91042
(34.24817956800007, -118.28761746999999)","BL
"
1,DGS,5,*,ND,VAN NUYS MUNICIPAL BUILDING,Van Nuys Municipal Building,VAN NUYS,91401,6,0,"14410
",,"SYLVAN
VAN NUYS, California 91401
(34.18485336200007, -118.43173765799997)","ST
(10.916668402000028, 38.64999824900008)"
1,DGS,5,A,ND,VAN NUYS MUNICIPAL BUILDING-B & S Office,CITY CLERK OFFICES,VAN NUYS,91401,6,0,"14401
",,"ERWIN
VAN NUYS, California 91401
(34.18364629700005, -118.44763072599994)","ST
(10.916668402000028, 38.64999824900008)"
1,DGS,5,B,ND,VAN NUYS MUNICIPAL BUILDING,OLD VAN NUYS LIBRARY,VAN NUYS,91401,6,0,"14555
",,"SYLVAN
VAN NUYS, California 91401
(34.18485336200007, -118.43173765799997)","ST
(10.916668402000028, 38.64999824900008)"
1,DGS,5,C,ND,VAN NUYS MUNICIPAL BUILDING,OLD VAN NUYS LIBRARY,VAN NUYS,91401,6,27500,"14553
",,"SYLVAN
VAN NUYS, California 91401
(34.18485336200007, -118.43173765799997)","ST
(10.916668402000028, 38.64999824900008)"
1,DGS,5,D,ND,VAN NUYS MUNICIPAL BUILDING,,VAN NUYS,91401,6,0,"14425
",,"ERWIN
VAN NUYS, California 91401
(34.18364629700005, -118.44763072599994)","ST
(10.916668402000028, 38.64999824900008)"
