Lot #,CouncilDistrict,Street Address,Community,ZIP Code,Oper. Equip.Type,Rate,Daily Max Rate,Monthly Rate,Hours of Operation,Total Spaces,1 Hour Spaces,2 Hour Spaces,4 Hour Spaces,10 Hr and More,Disabled,FacilityType,Lot Size,Location
601,6,14401 Friar St,Van Nuys,91401_2125,GSD,$0.45 / 15 Min,$7.20,$72.00,5:30 AM-7 PM M-F,237,--,--,--,230,7,Structure,44130,"Van Nuys
(34.18666814100044, -118.44896879299972)"
602,2,11320 Chandler Blvd,North Hollywood,91601_3130,Pay Station,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,47,21,--,--,24,2,Surface Lot,17600,"North Hollywood
(34.172228979000465, -118.37896877699967)"
609,6,14521 Friar St,Van Nuys,91411_2319,GSD,$0.55 / 30 MinR,$5.00 R,$49.50,8 AM-5 PM M-Sat,76,--,--,--,72,4,Surface Lot,29700,"Van Nuys
(34.18666814100044, -118.44896879299972)"
610,6,14532 Gilmore St,Van Nuys,91411_1602,GSD,$0.55 / 30 MinR,$5.00 R,$38.50,8 AM-5 PM M-F,138,--,--,--,133,5,Surface Lot,50750,"Van Nuys
(34.18666814100044, -118.44896879299972)"
613,11,2010 S Pisani Pl,Venice,90291_3817,Free,Free,--,--,8 AM-6 PM X/Sun,53,--,--,--,51,2,Surface Lot,25380,"Venice
(33.99083727900046, -118.46007826399972)"
614,4,728 S Cochran Ave,Miracle Mile,90036_3813,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,$30.00 Z,7 AM-9 PM Daily Z,41,--,--,--,39,2,Surface Lot,13950,"Miracle Mile
(34.05933893500048, -118.3490555469997)"
616,11,1411 Electric Ave,Venice,90291_3733,Free,Free,--,--,7 AM-2 AM Daily Z,29,--,--,27 R,--,2,Surface Lot,9000,"Venice
(33.99083727900046, -118.46007826399972)"
617,11,1511 Electric Ave,Venice,90291_3735,Free,Free,--,--,7 AM-2 AM Daily Z,22,--,--,21 R,--,1,Surface Lot,10440,"Venice
(33.99083727900046, -118.46007826399972)"
618,3,7134 Remmet Ave,Canoga Park,91303,Free,Free,--,--,8 AM-6 PM X/Sun,19,--,18,--,--,1,Surface Lot,7500,"Canoga Park
(34.20111630300045, -118.59813897699968)"
619,4,1451 N Gardner St,Hollywood,90046_4101,Pay Station,$0.25 / 20 Min,$1.50 / 2 Hrs,--,7 AM-Midnight Daily,22,--,21,--,--,1,Surface Lot,12760,"Hollywood
(34.098336823000466, -118.32673761399968)"
620,6,14607 Sylvan St,Van Nuys,91411_2327,GSD,$0.55 / 30 MinR,$5.00 R,$38.50,8 AM-5 PM M-F,57,--,--,--,54,3,Surface Lot,24000,"Van Nuys
(34.18666814100044, -118.44896879299972)"
621,3,7120 Baird Ave,Reseda,91335_4128,Free,Free,--,--,8 AM-6 PM X/Sun Z,81,--,--,--,77,4,Surface Lot,33500,"Reseda
(34.20111630300045, -118.53646768899972)"
622,3,7131 Canby Ave,Reseda,91335_4304,Free,Free,--,--,8 AM-6 PM X/Sun,62,--,38,--,21,3,Surface Lot,26000,"Reseda
(34.20111630300045, -118.53646768899972)"
623,8,8707 Menlo Ave,Vermont Vista,90044_4813,Free,Free,--,--,8 AM-6 PM X/Sun Z,77,--,73,--,--,4,Surface Lot,31630,"Vermont Vista
(39.52368635500045, -99.11415045099966)"
624,3,7222 Baird Ave,Reseda,91335,Free,Free,--,--,8 AM-6 PM X/Sun Z,78,--,74,--,--,4,Surface Lot,33570,"Reseda
(34.20111630300045, -118.53646768899972)"
625,10,3416 W 43rd St,Leimert Park,90008_4906,Pay Station,$0.25 / 30 Min,$2.50,$25.00,7 AM-9 PM Daily Z,172,--,28,--,138,6,Surface Lot,69260,"Leimert Park
(34.00695928600044, -118.33145767699972)"
626,10,3328 W 43rd St,Leimert Park,90008_4570,Pay Station,$0.25 / 30 Min,$2.50,$25.00,7 AM-9 PM Daily Z,105,--,--,--,100,5,Surface Lot,49360,"Leimert Park
(34.00695928600044, -118.33145767699972)"
627,2,11231 Magnolia Blvd,North Hollywood,91601_3703,Pay Station,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,47,--,22,--,23,2,Surface Lot,20040,"North Hollywood
(34.172228979000465, -118.37896877699967)"
628,1,2418 Daly St,Lincoln Heights,90031_2221,Pay Station,$0.25 / 30 Min,$1.00 / 2 Hrs,$30.00,7 AM-9 PM Daily,28,--,26,--,--,2,Surface Lot,10200,"Lincoln Heights
(40.7714482610005, -82.48432632699968)"
629,4,14591 Dickens St,Sherman Oaks,91403_3765,GSD,$0.60 / 20 Min,$6.00,$60.00,7 AM-11:00 PM Daily,198,--,--,--,191,7,Structure,47800,"Sherman Oaks
(34.15111693400047, -118.44924776799968)"
630,6,14517 Erwin St,Van Nuys,91411_2341,GSD,$0.55 / 30 MinR,$5.00 R,$49.50,7 AM-5:30 PM M-F,75,--,--,--,72,3,Surface Lot,28000,"Van Nuys
(34.18666814100044, -118.44896879299972)"
631,6,14402 Gilmore St,Van Nuys,91401_1429,GSD,$0.55 / 30 MinR,$5.00 R,$38.50,8 AM-5 PM M-F,68,--,--,--,65,3,Surface Lot,30000,"Van Nuys
(34.18666814100044, -118.44896879299972)"
632,8,5345 11th Ave,Hyde Park,90043_4817,Free,Free,--,--,8 AM-6 PM X/Sun Z,29,--,13,--,14,2,Surface Lot,15000,"Hyde Park
(41.79881560700045, -111.8191073489997)"
633,8,5407 11th Ave,Hyde Park,90043_2511,Free,Free,--,--,8 AM-6 PM X/Sun Z,32,--,30,--,--,2,Surface Lot,15000,"Hyde Park
(41.79881560700045, -111.8191073489997)"
634,8,5701 11th Ave,Hyde Park,90043_2501,Free,Free,--,--,8 AM-6 PM X/Sun Z,35,--,33,--,--,2,Surface Lot,16260,"Hyde Park
(41.79881560700045, -111.8191073489997)"
635,1,119 N Avenue 56,Highland Park,90042_4116,Meter / Free,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,84,--,30 Free,--,50,4,Surface Lot,34880,"Highland Park
(42.18168964500046, -87.80033645999964)"
636,1,5712 E Marmion Wy,Highland Park,90042_4206,Meter / Free,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,62,--,10 Free,--,50,2,Surface Lot,21880,"Highland Park
(42.18168964500046, -87.80033645999964)"
637,1,124 N Avenue 59,Highland Park,90042_4208,Meter / Free,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,36,--,23 Free,--,11,2,Surface Lot,13500,"Highland Park
(42.18168964500046, -87.80033645999964)"
638,1,120 S Avenue 58,Highland Park,90042_4704,Single Meter,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,28,--,--,--,26,2,Surface Lot,10290,"Highland Park
(42.18168964500046, -87.80033645999964)"
639,1,116 S Avenue 56,Highland Park,90042_4608,Station/Free,$0.25 / 30 Min,$2.50,$40.00,7 AM-9 PM Daily,47,--,13 Free,--,32,2,Surface Lot,17720,"Highland Park
(42.18168964500046, -87.80033645999964)"
640,3,7130 Darby Ave,Reseda,91335,Free,Free,--,--,24 Hrs Daily ,46,--,--,--,44,2,Surface Lot,20830,"Reseda
(34.20111630300045, -118.53646768899972)"
641,15,462 W 9th St,San Pedro,90731,Free,Free,--,--,8 AM-6 PM X/Sun Z,102,--,40,--,58,4,Surface Lot,39080,"San Pedro
(33.735845896000455, -118.29228880499971)"
642,5,1421 S Wooster St,Crestview,90035_3406,Pay Station,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,50,--,34,--,13,3,Structure,14800,"Crestview
(30.762129821000485, -86.57050586699967)"
643,13,1147 Echo Park Ave,Echo Park,90026_4212,Pay Station,$0.25 / 30 Min,$1.00 / 2 Hrs,--,7 AM-9 PM Daily,43,--,41,--,--,2,Surface Lot,15000,"Echo Park
(36.13095606200045, -81.66843939499967)"
644,3,7219 Remmet Ave,Canoga Park,91303_1532,Single Meter,$0.25 / 30 Min,$2.50,--,7 AM-9 PM Daily,18,--,--,9,8,1,Surface Lot,7250,"Canoga Park
(34.20111630300045, -118.59813897699968)"
645,11,1540 Purdue Ave,West LA,90025_3105,Pay Station,$1.00 / Hr,$4.00 / 4 Hrs,--,7 AM-9 PM Daily,37,--,--,35,--,2,Surface Lot,14000,"West LA
(30.647080900000446, -90.90663965299967)"
646,13,3528 Larga Ave,Atwater Village,90039_1926,Free,Free,--,--,8 AM-6 PM X/Sun Z,38,--,18,--,18,2,Surface Lot,13500,"Atwater Village
(39.52368635500045, -99.11415045099966)"
