Council District,Total Units,Total Nom Watts Before (kW),Total Nom Watts After (kW),% Energy Savings,Annual C02 Reduction (Metric Tons),Annual Energy Savings (GWh),Annual Energy Savings
1,6759,1637.4,658.2,59.8%,2362.3,4,$353860.94
2,4983,1220.9,393.2,67.8%,1996.7,3.38,$298652.11
3,12678,2797,934.1,66.6%,4494.3,7.6,$679285.50
4,7637,1847.6,677.9,63.3%,2822,4.77,$421891.02
5,9604,2493.2,840.8,66.3%,3998.4,6.74,$595987.76
6,7569,1912.1,697.6,63.5%,2930,4.96,$445832.17
7,7934,1788.9,658.2,63.2%,2727.6,4.61,$412648.62
8,15517,3312,1349.4,59.3%,4734.7,8.01,$708188.30
9,10379,2391.9,935.1,60.9%,3514.7,5.94,$536375.27
10,10764,2312.4,922.3,60.1%,3353.8,5.67,$501391.43
11,9616,2493.6,887,64.4%,3876,6.56,$587663.80
12,18943,4119.5,1552,62.3%,6194,10.48,$938519.22
13,7383,1691.3,630.2,62.7%,2559.8,4.33,$382699.32
14,10160,2538.3,939.3,63%,3857.6,6.52,$576714.17
15,14433,3234.3,1184.1,63.4%,4946.2,8.37,$739456.95
,154359,35791,13259,63%,54368,91.93,$8179167.00
