Date Value,Month-Year,Quarter-FY,Annual-FY,"# of audience members, visitors and participants for DCA-managed Community Arts programs (Annually FY)","PROJECTED: # of audience members, visitors and participants for DCA-managed Community Arts programs (Annually FY)",Dollar Value of Grants and Corporate Donations Raised (Annually FY),PROJECTED: Dollar Value of Grants and Corporate Donations Raised (Annually FY),"% of ""% for Public Art"" Projects Completed in tandem with delivery of associated capital project (Annually FY)","PROJECTED: % of ""% for Public Art"" Projects Completed in tandem with delivery of associated capital project (Annually FY)",# of participants and audience members at DCA grant-supported programs (Annually FY),PROJECTED: # of participants and audience members at DCA grant-supported programs (Annually FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,N/A,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,N/A,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,196125,,$2008259.00,,100%,,2899459,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,212564,,$2634418.00,,100%,,3036723,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,,220000,$819432.00,$645181.00,91%,91%,,3100000
07/31/2014 12:00:00 AM,Jul-14,,,,,,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,,,,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,230000,,$2000000.00,,82%,,3150000
