LocationType,Location Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Beaches,Cabrillo Beach,3720,,,Stephen M. White,Dr,,,,,,,,"San Pedro
CA 90731
(33.7112, -118.283)",CA,90731,http://www.laparks.org/dos/aquatic/facility/cabrilloBeachPool.htm,(310) 548-7554,15,33.711229,-118.283406
Beaches,Venice Beach,1800,,,Ocean Front,Walk,,,,,,,,"Venice
CA 90291
(33.985, -118.474)",CA,90291,http://www.laparks.org/dos/reccenter/facility/veniceBeachRC.htm,(310) 399-2775,11,33.985013,-118.474064
Camps,Hansen Dam Park Campground,11770,,,Foothill,Blvd,,,,,,,,"Lake View Terrace
CA 91342
(34.2657, -118.396)",CA,91342,,(818) 756-8060,7,34.26571,-118.3955
Camps,Griffith Park Boys Camp,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles
CA 90027
(34.139, -118.298)",CA,90027,http://www.laparks.org/dos/camps/griffith.htm,(323) 664-0571,4,34.139017,-118.298335
Camps,Griffith Park - Hollywoodland Girls Camp,3200,,,Canyon,Dr,,,,,,,,"Hollywood
CA 90068
(34.1255, -118.314)",CA,90068,http://www.laparks.org/dos/camps/hollywoodland.htm,(323) 467-7193,4,34.125465,-118.314396
Camps,Camp Seely,250,,N,Highway 138,,,PO Box,3372,,,,,"Crestline
CA 92325
(34.2539, -117.303)",CA,92325,http://www.laparks.org/dos/camps/seely.htm,(213) 485-4853,1,34.253866,-117.302884
Dog Parks,Westminster Dog Park,1234,,,Pacific,Ave,,,,,,,,"Venice
CA 90291
(33.9903, -118.473)",CA,90291,http://www.laparks.org/dos/parks/facility/dogparks/westminsterDogPk.htm,(310) 396-1615,11,33.990323,-118.473283
Dog Parks,Sepulveda Basin Dog Park,17550,,,Victory,Blvd,,,,,,,,"Van Nuys
CA 91406
(34.1859, -118.515)",CA,91406,http://www.laparks.org/dos/parks/facility/dogparks/sepulvedaBasinDogPk.htm,(818) 756-7667,6,34.185944,-118.515152
Dog Parks,Barrington Dog Park,333,,S,Barrington,Ave,,,,,,,,"Los Angeles
CA 90049
(34.0625, -118.468)",CA,90049,http://www.laparks.org/dos/parks/facility/dogparks/barringtonDogPk.htm,(310) 476-4866,11,34.062494,-118.467569
Dog Parks,Laurel Canyon Dog Park,8260,,,Mulholland,Dr,,,,,,,,"Studio City
CA 90046
(34.1222, -118.378)",CA,90046,http://www.laparks.org/dos/parks/facility/dogparks/laurelCynDogPk.htm,(818) 766-8445,4,34.122195,-118.378066
Dog Parks,Griffith Park Dog Park,,,N,Zoo,Dr,,,,,Ventura Freeway,,,"Los Angeles
CA 90027
(34.1555, -118.286)",CA,90027,http://www.laparks.org/dos/parks/facility/dogparks/griffithParkDogPk.htm,(323) 913-4688,4,34.155503,-118.286021
Dog Parks,Hermon / Arroyo Seco Dog Park,5566,,,Via Marisol,,,,,,,,,"Los Angeles
CA 90042
(34.1074, -118.185)",CA,90042,http://laparks.org/dos/parks/facility/dogparks/HermonDogPk.htm,(213) 485-5054,14,34.107407,-118.185319
Dog Parks,Silver Lake Dog Park,1850,,W,Silver Lake,Dr,,,,,,,,"Los Angeles
CA 90026
(34.0922, -118.265)",CA,90026,http://www.laparks.org/dos/parks/facility/dogparks/silverLakeDogPk.htm,(323) 644-3946,13,34.092198,-118.264594
Dog Parks,Whitnall Dog Park,5801,1/2,,Whitnall,Hwy,,,,,,,,"North Hollywood
CA 91601
(34.176, -118.362)",CA,91601,http://www.laparks.org/dos/parks/facility/dogparks/whitnallOffLeashDogPk.htm,(818) 766-8445,2,34.1760477,-118.3624611
Dog Parks,Runyon Canyon Dog Park,2000,,N,Fuller,Ave,,,,,,,,"Los Angeles
CA 90046
(34.1053, -118.349)",CA,90046,http://laparks.org/dos/parks/facility/dogparks/runyonCynDogPk.htm,(323) 666-5046,4,34.10530646,-118.3488732
Equestrian Centers,Aliso Canyon Park Equestrian Center,,,,Sesnon,Blvd,,,,,Rinaldi,St,,"Northridge
CA 91326
(34.2789, -118.527)",CA,91326,http://www.laparks.org/dos/parks/facility/alisoCanyonPk.htm,(818) 756-8060,12,34.27891,-118.526823
Equestrian Centers,Stetson Ranch Park,13877,,,Glenoaks,Blvd,,,,,,,,"Sylmar
CA 91342
(34.3243, -118.478)",CA,91342,http://www.laparks.org/dos/parks/facility/stetsonRanchPk.htm,(818) 756-8060,7,34.324324,-118.477802
Equestrian Centers,Hansen Dam - Gabrielino Equestrian Center,11127,,,Orcas,Ave,,,,,,,,"Lake View Terrace
CA 91342
(34.271, -118.369)",CA,91342,http://www.laparks.org/dos/reccenter/facility/hansendamRC.htm,(818) 899-6016,7,34.271,-118.368743
Equestrian Centers,L.A. Equestrian Center,480,,,Riverside,Dr,,,,,,,,"Burbank
CA 91506
(34.1607, -118.31)",CA,91506,http://www.la-equestriancenter.com/,(818) 840-9063,4,34.160704,-118.310131
Free Wi-Fi Hot Spots,Venice Beach Recreation Area,1800,,,Ocean Front,Walk,,,,,,,,"Venice
CA 90291
(33.9858, -118.473)",CA,90291,http://www.laparks.org/venice/venice.htm,(310) 396-6794,11,33.985826,-118.472771
Free Wi-Fi Hot Spots,Griffith Observatory,2800,,E,Observatory,Rd,,,,,,,,"Los Angeles
CA 90027
(34.1184, -118.3)",CA,90027,http://griffithobservatory.org/,(213) 473-0800,4,34.118429,-118.300374
Free Wi-Fi Hot Spots,Reseda Recreation Center,18411,,,Victory,Blvd,,,,,,,,"Reseda
CA 91335
(34.1869, -118.534)",CA,91335,http://www.laparks.org/dos/reccenter/facility/resedaRC.htm,(818) 881-3882,3,34.186871,-118.533699
Free Wi-Fi Hot Spots,Pershing Square,530,,S,Olive,St,,,,,,,,"Los Angeles
CA 90012
(34.0486, -118.253)",CA,90012,http://www.laparks.org/pershingsquare/index.html,(213) 847-4970,14,34.04856,-118.25348
Free Wi-Fi Hot Spots,Echo Park Recreation Center,1632,,,Bellevue,Ave,,,,,,,,"Los Angeles
CA 90026
(34.0698, -118.26)",CA,90026,http://www.laparks.org/dos/reccenter/facility/echoParkRC.htm,(213) 250-3578,13,34.069801,-118.260119
Free Wi-Fi Hot Spots,Cabrillo Beach,3720,,,Stephen M. White,Dr,,,,,,,,"San Pedro
CA 90731
(33.7112, -118.283)",CA,90731,http://www.laparks.org/dos/aquatic/facility/cabrilloBeachPool.htm,(310) 548-7554,15,33.711229,-118.283406
Gardens,Rose Hill Park Community Garden,3606,,N,Boundary,Ave,,,,,,,,"Los Angeles
CA 90032
(34.091, -118.193)",CA,90032,,(323) 225-0450,14,34.090977,-118.193047
Gardens,Drew St,3304,,N,Drew,St,,,,,,,,"Los Angeles
CA 90065
(34.12, -118.243)",CA,90065,,(213) 485-5572,13,34.119958,-118.242682
Gardens,Orcutt Ranch Horticultural Center & Community Garden,23600,,,Roscoe,Blvd,,,,,,,,"West Hills
CA 91304
(34.2189, -118.641)",CA,91304,http://www.laparks.org/dos/horticulture/orcuttranch.htm,(818) 883-6641,12,34.21892526,-118.6410835
Gardens,Ocean View Farms Community Garden,3324,,S,Centinela,Ave,,,,,,,,"Los Angeles
CA 90066
(34.0142, -118.441)",CA,90066,,(310) 548-7675,11,34.014234,-118.441219
Gardens,El Sereno Community Garden,5450,,E,Huntington,Dr,,,,,,,,"Los Angeles
CA 90032
(34.0923, -118.162)",CA,90032,,(213) 485-5572,14,34.092346,-118.161574
Gardens,Exposition Park Rose Garden,701,,,State,Dr,,,,,,,,"Los Angeles
CA 90037
(34.0177, -118.286)",CA,90037,http://www.laparks.org/exporosegarden/rosegarden.htm,(213) 763-5397,9,34.017727,-118.286074
Gardens,Sepulveda Garden Center,16633,,W,Magnolia,Blvd,,,,,,,,"Encino
CA 91406
(34.1654, -118.496)",CA,91406,http://www.laparks.org/dos/horticulture/sepulveda.htm,(818) 784-5180,5,34.165368,-118.495504
