Date Value,Month-Year,Quarter-FY,Annual-FY,% of taxi dispatch trips responded to within 15 minutes (Annually FY),PROJECTED: % of taxi dispatch trips responded to within 15 minutes (Annually FY),% of traffic studies completed within 90 business days (Annually FY),PROJECTED: % of traffic studies completed within 90 business days (Annually FY),Cumulative # of Miles of Bike Lanes and Paths in the City FYTD,PROJECTED: Cumulative # of Miles of Bike Lanes and Paths in the City (Annually FY),% of parking meter uptime (Annually FY),PROJECTED: % of parking meter uptime (Annually FY),2 year parking ticket collection rate (Annually FY),PROJECTED: 2 year parking ticket collection rate (Annually FY),% resolution of parking citations- Total Paid and Total Dismissed,TARGET: % resolution of parking citations- Total Paid and Total Dismissed,Average # of days it takes to restripe streets after street preservation (In Development),TARGET: Average # of days it takes to restripe streets after street preservation (In Development),MyLADOT request average response time (In Development),TARGET: MyLADOT request average response time (In Development),% of traffic signal trouble calls responded to within an hour,PROJECTED: % of traffic signal trouble calls responded to within an hour,% of LADOT Transit Arrivals On-Time (Annually FY),PROJECTED: % of LADOT Transit Arrivals On-Time (Annually FY),% of Metro plans reviewed within 20 business days (Annually FY),PROJECTED: % of Metro plan reviews within 20 business days (Annually FY),Emergency Preparedness events and exercises (Annually FY),PROJECTED: Emergency Preparedness events and exercises (Annually FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,92%,,95%,,276.54,,93.6%,,82.8%,,,,,,,,65%,,86.5%,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,91%,,89%,,298.27,,93.6%,,84.08%,,85.65%,,,,,,62%,,93%,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,90%,,86%,,353.21,,99.5%,,85.26%,,86.38%,,,,,,54%,,95.6%,,,,10,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,89%,,94%,,456.51,,97.7%,,85.5%,,75.67%,,,,,,50%,,93.1%,,,,710,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,475,,,,,,,,,,,,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,477,,,,,,,,,,,,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,481,,,,,,,,,,,,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,488,,,,,,,,,,,,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,489,,,,,,,,,,,,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,92%,90%,91%,,497.01,496.51,99.7%,,85.75%,,75.86%,,,,,,50%,,85%,83%,,100%,,
07/31/2014 12:00:00 AM,Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,90%,,90%,,538.51,,99.7%,,85.75%,,75.86%,,,,,,50%,,88%,,,,
