Date Value,Month-Year,Quarter-FY,Annual-FY,Sign language and captioning requests processed(Annual-FY),TARGET: Sign language and captioning requests processed(Annual-FY),% of auxiliary aid accommodation requests fulfilled within designated time period (Monthly),TARGET: % of auxiliary aid accommodation requests fulfilled within designated time period (Monthly),Number of City employees receiving in person or online disability rights training within designated time period (Monthly),TARGET: Number of City employees receiving in person or online disability rights training within designated time period (Monthly),Number of City employees receiving in person or online disability rights training within designated time period (Annual FY),TARGET: Number of City employees receiving in person or online disability rights training within designated time period (Annual FY),% of Title II grievances addressed within target time periods (Monthly),TARGET: % of Title II grievances addressed within target time periods (Monthly),Number of clientele (unique/unduplicated) served (monthly),TARGET: Number of clientele (unique/unduplicated) served (monthly),Number of clientele (unique/unduplicated) served (Annual-FY),TARGET: Number of clientele (unique/unduplicated) served (Annual-FY),Number of requests for referrals addressed (Monthly),TARGET: Number of requests for referrals addressed (Monthly),Number of participants at DEAFestival and Disability Mentoring Day (Annual-FY),TARGET:  Number of participants at DEAFestival and Disability Mentoring Day (Annual-FY),Number of syringes removed (Monthly),TARGET: Number of syringes removed (Monthly),Number of syringes removed (Annual - FY),TARGET: Number of syringes removed (Annual - FY),Project: Continuity of Operations Plan (COOP) (Milestones),TARGET: Project: Continuity of Operations Plan (Project),STATUS: Project: Continuity of Operations Plan (Project)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,,,,888,,,,,,,,970000,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,,,827,,,,,,,,980000,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,,,,,,,,685,,,,4100,,,,1030000,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,,,,,,,,,,,,,751,,,,5660,,,,970000,,,,
07/31/2013 12:00:00 AM,Jul-13,,,31,,100%,95%,98,,,,100%,100%,68,60,,,119,,,,,100000,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,27,,100%,95%,205,,,,100%,100%,54,60,,,145,,,,,100000,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,27,,100%,95%,14,,,,100%,100%,56,60,,,122,,,,,100000,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,27,,100%,95%,1239,,,,100%,100%,80,60,,,182,,,,,100000,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,25,,88%,95%,1169,,,,100%,100%,83,60,,,94,,,,87597,100000,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,17,,100%,95%,398,,,,100%,100%,35,60,,,83,,,,85598,100000,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,32,,100%,95%,25,,,,100%,100%,55,60,,,137,,,,102008,100000,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,12,,100%,95%,438,,,,100%,100%,65,60,,,116,,,,88239,100000,,,Draft COOP,Draft COOP,On target
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,27,,78%,95%,222,,,,100%,100%,54,60,,,116,,,,98109,100000,,,,,On target
04/30/2014 12:00:00 AM,Apr-14,,,27,,100%,95%,35,,,,100%,100%,50,60,,,170,,,,105969,100000,,,Monitor project,Monitor project,On target
05/31/2014 12:00:00 AM,May-14,,,28,,100%,95%,198,,,,100%,100%,54,60,,,134,,,,98562,100000,,,Conduct outreach,Conduct outreach,On target
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,34,300,100%,95%,243,,4284,9000,100%,100%,48,60,702,750,130,,5600,5600,104097,100000,1190961,950000,Purchase caches of specialized equipment,Purchase caches of specialized equipment,On target
07/31/2014 12:00:00 AM,Jul-14,,,33,,100%,95%,110,,,,100%,100%,40,60,,,45,,,,75000,100000,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,34,,100%,95%,796,,,,100%,100%,38,60,,,42,,,,80000,100000,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,340,,,,,,,,,,,,850,,,,5800,,,,930000,,,
