Date name,Date,Quarterly In-Basin Solar Installed (kW),Total Cumulative In-Basin Solar (kW)
Pre-2007,12/31/2006 12:00:00 AM,9795,9795
Q1-2007,03/31/2007 12:00:00 AM,324,10119
Q2-2007,06/30/2007 12:00:00 AM,352,10471
Q3-2007,09/30/2007 12:00:00 AM,431,10902
Q4-2007,12/31/2007 12:00:00 AM,415,11317
Q1-2008,03/31/2008 12:00:00 AM,622,11938
Q2-2008,06/30/2008 12:00:00 AM,611,12549
Q3-2008,09/30/2008 12:00:00 AM,520,13069
Q4-2008,12/31/2008 12:00:00 AM,1314,14384
Q1-2009,03/31/2009 12:00:00 AM,1985,16368
Q2-2009,06/30/2009 12:00:00 AM,879,17247
Q3-2009,09/30/2009 12:00:00 AM,842,18089
Q4-2009,12/31/2009 12:00:00 AM,1233,19322
Q1-2010,03/31/2010 12:00:00 AM,766,20088
Q2-2010,06/30/2010 12:00:00 AM,1810,21898
Q3-2010,09/30/2010 12:00:00 AM,2461,24359
Q4-2010,12/31/2010 12:00:00 AM,3940,28299
Q1-2011,03/31/2011 12:00:00 AM,3365,31664
Q2-2011,06/30/2011 12:00:00 AM,3751,35415
Q3-2011,09/30/2011 12:00:00 AM,3933,39348
Q4-2011,12/31/2011 12:00:00 AM,3146,42494
Q1-2012,03/31/2012 12:00:00 AM,8258,50752
Q2-2012,06/30/2012 12:00:00 AM,3582,54334
Q3-2012,09/30/2012 12:00:00 AM,6164,60498
Q4-2012,12/31/2012 12:00:00 AM,3628,64126
Q1-2013,03/31/2013 12:00:00 AM,7332,71458
Q2-2013,06/30/2013 12:00:00 AM,7381,78839
Q3-2013,09/30/2013 12:00:00 AM,7303,86142
Q4-2013,12/31/2013 12:00:00 AM,11041,97184
Q1-2014,03/31/2014 12:00:00 AM,3509,100693
