Month,Date Name,Date,Target (Acre Feet),Actual (Acre Feet)
11-Jul,Jul. 2011,07/01/2011 12:00:00 AM,633,909
11-Aug,Aug. 2011,08/01/2011 12:00:00 AM,1267,2019
11-Sep,Sept. 2011,09/01/2011 12:00:00 AM,1900,3086
11-Oct,Oct. 2011,10/01/2011 12:00:00 AM,2533,3879
11-Nov,Nov. 2011,11/01/2011 12:00:00 AM,3167,4174
11-Dec,Dec. 2011,12/01/2011 12:00:00 AM,3800,4301
12-Jan,Jan. 2012,01/01/2012 12:00:00 AM,4433,4582
12-Feb,Feb. 2012,02/01/2012 12:00:00 AM,5067,4713
12-Mar,Mar. 2012,03/01/2012 12:00:00 AM,5700,5372
12-Apr,Apr. 2012,04/01/2012 12:00:00 AM,6333,5906
12-May,May 2012,05/01/2012 12:00:00 AM,6967,6328
12-Jun,Jun. 2012,06/01/2012 12:00:00 AM,7600,6953
12-Jul,Jul. 2012,07/01/2012 12:00:00 AM,700,880
12-Aug,Aug. 2012,08/01/2012 12:00:00 AM,1400,1447
12-Sep,Sept. 2012,09/01/2012 12:00:00 AM,2000,2025
12-Oct,Oct. 2012,10/01/2012 12:00:00 AM,2500,2752
12-Nov,Nov. 2012,11/01/2012 12:00:00 AM,3000,3182
12-Dec,Dec. 2012,12/01/2012 12:00:00 AM,3400,3438
13-Jan,Jan. 2013,01/01/2013 12:00:00 AM,3800,3438
13-Feb,Feb. 2013,02/01/2013 12:00:00 AM,4200,4499
13-Mar,Mar. 2013,03/01/2013 12:00:00 AM,4600,4948.7
13-Apr,Apr. 2013,04/01/2013 12:00:00 AM,5100,5663.8
13-May,May 2013,05/01/2013 12:00:00 AM,5800,6644
13-Jun,Jun. 2013,06/01/2013 12:00:00 AM,6500,7480
13-Jul,Jul. 2013,07/01/2013 12:00:00 AM,900,1226
13-Aug,Aug. 2013,08/01/2013 12:00:00 AM,1800,2086
13-Sep,Sept. 2013,09/01/2013 12:00:00 AM,2700,3245
13-Oct,Oct. 2013,10/01/2013 12:00:00 AM,3600,4135
13-Nov,Nov. 2013,11/01/2013 12:00:00 AM,4200,4917
13-Dec,Dec. 2013,12/01/2013 12:00:00 AM,4700,5655
14-Jan,Jan. 2014,01/01/2014 12:00:00 AM,5200,6157
14-Feb,Feb. 2014,02/01/2014 12:00:00 AM,5700,7380
14-Mar,Mar. 2014,03/01/2014 12:00:00 AM,6300,7835
14-Apr,Apr 2014,04/01/2014 12:00:00 AM,6900,8509
14-May,May 2014,05/01/2014 12:00:00 AM,7600,9411
14-Jun,Jun 2014,06/01/2014 12:00:00 AM,8500,10530
14-Jul,Jul 2014,07/01/2014 12:00:00 AM,1000,1282
14-Aug,Aug 2014,08/01/2014 12:00:00 AM,2000,2402
14-Sep,Sep 2014,09/01/2014 12:00:00 AM,3000,3727
14-Oct,Oct 2014,10/01/2014 12:00:00 AM,3750,4443
