Office Name,Official Name
The Mayor,Eric Garcetti
City Attorney,Mike Feuer
City Controller,Ron Galperin
Council District 1 ,Gilbert Cedillo
Council District 2,Paul Krekorian
Council District 3 ,Bob Blumenfield
Council District 4 ,Tom LaBonge
Council District 5,Paul Koretz
Council District 6,Nury Martinez
Council District 7 ,Felipe Fuentes
Council District 8,Bernard Parks
Council District 9,Curren D. Price Jr.
Council District 10,"Herb J. Wesson, Jr."
Council District 11,Mike Bonin
Council District 12,Mitchell Englander
Council District 13 ,Mitch O'Farrell
Council District 14,Jose Huizar
Council District 15,Joe Buscaino
