CONSOLIDATION,POLLING PLACE,POLLING PLACE ADDRESS,BALLOT GROUP,POLL TYPE,PRECINCT,HANDICAP ACCESS
250-0001A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0001A,Y
250-0001A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0001C,Y
250-0001A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0001D,Y
250-0001A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0046C,Y
250-0001A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0046E,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0001B,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0001E,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0001F,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0002A,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0002B,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0002C,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0002D,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0002E,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0002F,Y
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,"13210 PURCHE AVE
GARDENA, CA 90249
(33.910770648000494, -118.32043595999971)",1,SCH-P,250-0015A,Y
250-0005A,ROWLEY PARK,"13220 VAN NESS AVE
GARDENA, CA 90249
(33.912397291000445, -118.31782381699969)",1,CITYO,250-0005A,Y
250-0005A,ROWLEY PARK,"13220 VAN NESS AVE
GARDENA, CA 90249
(33.912397291000445, -118.31782381699969)",1,CITYO,250-0005E,Y
250-0005A,ROWLEY PARK,"13220 VAN NESS AVE
GARDENA, CA 90249
(33.912397291000445, -118.31782381699969)",1,CITYO,250-0005F,Y
250-0005A,ROWLEY PARK,"13220 VAN NESS AVE
GARDENA, CA 90249
(33.912397291000445, -118.31782381699969)",1,CITYO,250-0046B,Y
250-0005A,ROWLEY PARK,"13220 VAN NESS AVE
GARDENA, CA 90249
(33.912397291000445, -118.31782381699969)",1,CITYO,250-0061B,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0007A,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0007B,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0007C,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0007D,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0007E,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0009B,Y
250-0007A,LAS FLORES CONV HOME,"14165 PURCHE AVE
GARDENA, CA 90249
(33.902770356000474, -118.3206825479997)",1,SRHMS,250-0009E,Y
