PRECINCT,NAME,VOTERS,BALLOTS,GEORGE MCKENNA,ALEX JOHNSON
2500001A,GARDENA,863,101,55,44
2500002A,GARDENA,1024,153,90,61
2500005A,GARDENA,815,95,48,47
2500007A,GARDENA,1025,111,53,58
2500008A,GARDENA,1165,120,53,67
2500041A,GARDENA,1143,73,33,40
2500046A,GARDENA,1108,127,57,70
2700092A,HAWTHORNE,1140,135,86,49
2700094A,HAWTHORNE,1015,136,80,55
2950022B,INGLEWOOD,257,38,26,12
7510001A,VIEW PARK,1245,273,204,67
7510003C,VIEW PARK,1371,271,182,89
7510004A,VIEW PARK,772,128,73,54
7510006A,VIEW PARK,1275,213,117,95
7510008A,VIEW PARK,1063,252,170,81
7510009B,VIEW PARK,1282,245,152,90
7510010A,VIEW PARK,969,238,178,59
7510012A,VIEW PARK,1025,315,236,78
7670001A,WEST ATHENS,1127,59,33,23
7670003A,WEST ATHENS,1125,62,27,34
7670004A,WEST ATHENS,1165,57,22,33
7670005A,WEST ATHENS,849,42,16,26
7670006A,WEST ATHENS,1111,157,100,56
7670007A,WEST ATHENS,865,43,17,24
7670009A,WEST ATHENS,1209,42,18,24
7670010A,WEST ATHENS,1101,78,28,50
7670011A,WEST ATHENS,760,89,51,38
7670012B,WEST ATHENS,1178,108,55,52
7670013A,WEST ATHENS,841,101,53,44
7670014A,WEST ATHENS,978,35,16,18
7670015A,WEST ATHENS,755,30,14,16
7670016A,WEST ATHENS,950,41,22,18
7670017A,WEST ATHENS,1052,58,37,20
7670018A,WEST ATHENS,894,86,44,41
7670019A,WEST ATHENS,791,68,40,26
7670020A,WEST ATHENS,974,141,58,82
7670021A,WEST ATHENS,856,113,71,41
7670022A,WEST ATHENS,1060,42,26,16
7670023A,WEST ATHENS,949,94,56,38
7670024A,WEST ATHENS,831,68,39,28
9000002A,LOS ANGELES,840,107,66,40
9000006A,LOS ANGELES,1292,146,95,51
9000272A,LOS ANGELES,723,92,55,37
9000282A,LOS ANGELES,1141,68,37,31
9000283A,LOS ANGELES,1043,124,59,65
9000284C,LOS ANGELES,959,153,71,82
9000285A,LOS ANGELES,1256,192,78,111
9000288A,LOS ANGELES,1286,227,117,110
9000296C,LOS ANGELES,1277,114,61,50
9000366A,LOS ANGELES,1160,118,39,79
9000533A,LOS ANGELES,1103,72,29,42
9000554A,LOS ANGELES,551,1,1,0
9000650C,LOS ANGELES,1364,86,29,53
9000824A,LOS ANGELES,751,42,17,25
9000908A,LOS ANGELES,1057,112,42,70
9000944A,LOS ANGELES,1263,86,44,42
9000945B,LOS ANGELES,1095,103,36,66
9000948A,LOS ANGELES,1120,257,183,71
9001000A,LOS ANGELES,760,85,34,49
9001000C,LOS ANGELES,687,40,12,28
9001024A,LOS ANGELES,948,44,16,27
9001026C,LOS ANGELES,1062,73,29,42
9001030A,LOS ANGELES,1160,102,52,50
9001111A,LOS ANGELES,1189,63,36,26
9001175A,LOS ANGELES,1325,135,78,57
9001189B,LOS ANGELES,956,60,28,32
9001190D,LOS ANGELES,989,92,57,34
9001246A,LOS ANGELES,1187,102,63,39
9001256B,LOS ANGELES,352,31,21,10
9001257B,LOS ANGELES,1174,105,73,32
9001290A,LOS ANGELES,1242,226,155,66
