Activity,Date,Purpose,Category,Division,Location or Council Distrct,Materials Distributed,Meetings Held,Antendees
DMD:  South,,,,,,,,
SB CAER Meeting,04/08/2014,Attended Monthly Meeting,Community Outreach,Community Emergency Management,Carson Community Center,,1,15
Tsunami Pamphlets - all areas,04/21/2014,Provided Tsunami pamphlets,Community Outreach,Community Emergency Management,,4000,,
Presentation for Miramonte Early Education Center,04/24/2014,Conducted presentation with Emergency Preparedness Materials,Community Outreach,Community Emergency Management,"Miramonte Early Education Center,  1341 E.  70th St",,1,40
A Place Called Home Health & Garden Expo,04/25/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,"2830 S. Central Ave., CA  90011",300,,
Preparedness Materials Request,04/29/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,Faith Groups Citywide,117,,
Congresswoman Hahn's Senior Exhibit Briefing,05/02/2014,Participated in Senior Fair with Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,Carson Community Center,,,900
Area Maritime Security Committee (AMSC),05/07/2014,Attended Quarterly Meeting,Community Outreach,Community Emergency Management,Port of Los Angeles Admin Building,,1,75
1700 Block Club of 42nd Pl,05/10/2014,Conducted presentation with Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,CD 8 - Private Residence,,1,20
Preparedness Materials Request,05/15/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,CD 8 - Private Residence,,,30
Preparedness Materials Request,05/16/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,CD 15 - Private Residence,,,50
Manhattan HOA Block Club Emergency Preparedness Presentation,05/17/2014,Conducted presentation with Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,Jesse Owens Park,,1,40
Preparedness Materials Request,05/21/2014,Provided Children's Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,Baptist Minister's Conference,400,,
Preparedness Materials Request,05/22/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,"Moorish Science Temple, 3123 W Vernon Ave., LA 90008; in support of Pledge to Prepare Campaign for Houses of Worship",1000,,
Preparedness Materials Request,05/22/2014,Provided Emergncy Preparedness Materials - Spanish,Community Outreach,Community Emergency Management,CD 8 - in support of Pledge to Prepare Campaign for Houses of Worship,500,,
Preparedness Materials Request,05/27/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,CD 8 - in support of Pledge to Prepare Campaign for Houses of Worship,400,,
Preparedness Materials Request,06/03/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,CD 15 - Private Residence,30,,
First AME Church Emergency Preparedness Meeting,06/04/2014,Attended First AME Church Emergncy Preparedness Meeting,Community Outreach,Community Emergency Management,"2270 S Harvard Blvd., 90018",,1,15
Preparedness Materials Request,06/05/2014,Provided Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,"Just Detention International, 3325 Wilshire Blvd. Ste 340, LA",300,,
Trinity Park Community Engagement Fair,06/14/2014,Participated in Community Fair with Emergncy Preparedness Materials,Community Outreach,Community Emergency Management,"Trinity Park, 2415 S. Trinity St., LA",,,75
