Activity,Date,Purpose,Category,Division,Antendees
IMS 313 Course,04/01/2014,Incident Management Team and EOC Response Team training,EOC,Operations,22
IMS 313 Course,04/02/2014,Incident Management Team and EOC Response Team training,EOC,Operations,22
IMS 313 Course,04/03/2014,Incident Management Team and EOC Response Team training,EOC,Operations,17
IMS 313 Course,04/04/2014,Incident Management Team and EOC Response Team training,EOC,Operations,17
O305 AHIMT Course,04/07/2014,Incident Management Team Training ,Field Responders,Operations,12
O305 AHIMT Course,04/07/2014,Incident Management Team Training ,Field Responders,Operations,12
O305 AHIMT Course,04/08/2014,Incident Management Team Training ,Field Responders,Operations,12
O305 AHIMT Course,04/09/2014,Incident Management Team Training ,Field Responders,Operations,12
O305 AHIMT Course,04/10/2014,Incident Management Team Training ,Field Responders,Operations,12
O305 AHIMT Course,04/11/2014,Incident Management Team Training ,Field Responders,Operations,12
Advanced EOC Management Course,05/12/2014,EOC Responder Team training,EOC,Operations,35
EOC 101 Training Course,06/12/2014,EOC Responder Team training,EOC,Operations,43
EOC 201 Training Course,06/12/2014,EOC Responder Team training,EOC,Operations,43
EOC 101 Training Course,06/19/2014,EOC Responder Team training,EOC,Operations,43
EOC 201 Training Course,06/19/2014,EOC Responder Team training,EOC,Operations,43
