Fiscal Year,Sales of Energy-Residential,Sales of Energy-Commercial and Industrial,Sales of Energy-All Other,Sales of Energy-Total,Direct Rate per Kilowatt Hour-Residential,Direct Rate per Kilowatt Hour-Commercial and Industrial,Average Number of Customers-Residential in Thousands,Average Number of Customers-Commercial and Industrial in Thousands,Average Number- All Other Customers in Thousands,Average Number-Total Customers in Thousands
2004,$7266.00,$15895.00,$473.00,$23634.00,0.1,0.09,1230,196,2,1428
2005,$7063.00,$15705.00,$2675.00,$25443.00,0.1,0.09,1237,197,3,1437
2006,$7252.00,$16085.00,$2726.00,$26063.00,0.1,0.09,1242,200,3,1445
2007,$7641.00,$16291.00,$2556.00,$26488.00,0.11,0.1,1247,199,2,1448
2008,$7664.00,$16482.00,$2206.00,$26352.00,0.11,0.1,1252,192,2,1446
2009,$7641.00,$16250.00,$1982.00,$25873.00,0.12,0.11,1257,193,2,1452
2010,$7434.00,$15485.00,$3396.00,$26315.00,0.14,0.13,1252,193,2,1447
2011,$7230.00,$15541.00,$2060.00,$24831.00,0.13,0.13,1263,196,2,1461
2012,$7316.00,$15456.00,$1843.00,$24615.00,0.13,0.13,1274,195,2,1471
2013,$7568.00,$15717.00,$2964.00,$26249.00,0.13,0.13,1280,197,2,1479
