Fiscal Year,Type,Operating Revenues,Operating Expenses,Net Available Revenue,Debt Service,Net Available Revenue Coverage,Net Operating Cash Flow,Net Operating Cash Flow Coverage
2004,Airports Enterprise Fund Revenue Bonds and Notes,558602,437127,121475,44826,2.71,33285,0.74
2005,Airports Enterprise Fund Revenue Bonds and Notes,585065,476349,108716,43027,2.53,119760,2.78
2006,Airports Enterprise Fund Revenue Bonds and Notes,630036,520170,109866,41452,2.65,72531,1.75
2007,Airports Enterprise Fund Revenue Bonds and Notes,664304,548167,116137,29116,3.99,223202,7.67
2008,Airports Enterprise Fund Revenue Bonds and Notes,757015,595408,161607,28621,5.65,196534,6.87
2009,Airports Enterprise Fund Revenue Bonds and Notes,771364,590960,180404,38730,4.66,40076,1.03
2010,Airports Enterprise Fund Revenue Bonds and Notes,758594,596802,161792,54948,2.94,122946,2.24
2011,Airports Enterprise Fund Revenue Bonds and Notes,887762,601964,285798,126331,2.26,215572,1.71
2012,Airports Enterprise Fund Revenue Bonds and Notes,952129,639355,312774,138010,2.27,313774,2.27
2013,Airports Enterprise Fund Revenue Bonds and Notes,981586,648974,332612,136523,2.44,247540,1.81
2004,Harbor Enterprise Fund Revenue Bonds and Notes,337347,130174,207173,59023,3.51,208762,3.54
2005,Harbor Enterprise Fund Revenue Bonds and Notes,366438,170891,195547,60536,3.23,226037,3.73
2006,Harbor Enterprise Fund Revenue Bonds and Notes,406043,184132,221911,61574,3.6,201575,3.27
2007,Harbor Enterprise Fund Revenue Bonds and Notes,445609,163775,281834,59085,4.77,246665,4.17
2008,Harbor Enterprise Fund Revenue Bonds and Notes,465648,221752,243896,61318,3.98,252898,4.12
2009,Harbor Enterprise Fund Revenue Bonds and Notes,424028,254143,169885,61298,2.77,151264,2.47
2010,Harbor Enterprise Fund Revenue Bonds and Notes,424306,210235,214071,66851,3.2,185416,2.77
2011,Harbor Enterprise Fund Revenue Bonds and Notes,412962,209695,203267,72927,2.79,158228,2.17
2012,Harbor Enterprise Fund Revenue Bonds and Notes,435291,199806,235485,71609,3.29,217113,3.03
2013,Harbor Enterprise Fund Revenue Bonds and Notes,416974,205169,211805,72398,2.93,234234,3.24
2004,Power Enterprise Fund Revenue Bonds and Notes,2437461,1771230,666231,170466,3.91,505187,2.96
2005,Power Enterprise Fund Revenue Bonds and Notes,2401458,1835594,565864,189105,2.99,611579,3.23
2006,Power Enterprise Fund Revenue Bonds and Notes,2665535,2016080,649455,223678,2.9,559157,2.5
2007,Power Enterprise Fund Revenue Bonds and Notes,2799140,1996649,802491,267144,3,507934,1.9
2008,Power Enterprise Fund Revenue Bonds and Notes,2989725,2176056,813669,250484,3.25,469188,1.87
2009,Power Enterprise Fund Revenue Bonds and Notes,2924155,2043192,880963,270357,3.26,427647,1.58
2010,Power Enterprise Fund Revenue Bonds and Notes,3387361,2287434,1099927,309349,3.56,741881,2.4
2011,Power Enterprise Fund Revenue Bonds and Notes,3288478,2308188,980290,400846,2.45,666711,1.66
2012,Power Enterprise Fund Revenue Bonds and Notes,3267679,2235522,1032157,343093,3.01,851613,2.48
2013,Power Enterprise Fund Revenue Bonds and Notes,3342586,2266249,1076337,426825,2.52,761079,1.78
2004,Water Enterprise Fund Revenue Bonds and Notes,618589,421634,196955,64135,3.07,282914,4.41
2005,Water Enterprise Fund Revenue Bonds and Notes,590751,387264,203487,71851,2.83,210129,2.92
2006,Water Enterprise Fund Revenue Bonds and Notes,625995,394543,231452,95681,2.42,251198,2.63
2007,Water Enterprise Fund Revenue Bonds and Notes,717145,442962,274183,122928,2.23,231297,1.88
2008,Water Enterprise Fund Revenue Bonds and Notes,799706,523657,276049,133354,2.07,132714,1
2009,Water Enterprise Fund Revenue Bonds and Notes,825168,581587,243581,116026,2.1,189718,1.64
2010,Water Enterprise Fund Revenue Bonds and Notes,858201,584382,273819,134106,2.04,152044,1.13
2011,Water Enterprise Fund Revenue Bonds and Notes,831771,540041,291730,167371,1.74,290206,1.73
2012,Water Enterprise Fund Revenue Bonds and Notes,875909,544824,331085,178468,1.86,238099,1.33
2013,Water Enterprise Fund Revenue Bonds and Notes,1091710,672462,419248,192885,2.17,347264,1.8
2004,Sewer Enterprise Fund Revenue Bonds and Notes,428271,202279,225992,118588,1.91,218364,1.84
2005,Sewer Enterprise Fund Revenue Bonds and Notes,437411,212051,225360,125309,1.8,200550,1.6
2006,Sewer Enterprise Fund Revenue Bonds and Notes,492711,232971,259740,143974,1.8,206380,1.43
2007,Sewer Enterprise Fund Revenue Bonds and Notes,518393,240840,277553,160005,1.73,262994,1.64
2008,Sewer Enterprise Fund Revenue Bonds and Notes,543417,276508,266909,170140,1.57,248030,1.46
2009,Sewer Enterprise Fund Revenue Bonds and Notes,543318,287135,256183,151996,1.69,237586,1.56
2010,Sewer Enterprise Fund Revenue Bonds and Notes,543258,264072,279186,170413,1.64,265541,1.56
2011,Sewer Enterprise Fund Revenue Bonds and Notes,510214,256664,253550,174804,1.45,214662,1.23
2012,Sewer Enterprise Fund Revenue Bonds and Notes,520664,254980,265684,177195,1.5,236768,1.34
2013,Sewer Enterprise Fund Revenue Bonds and Notes,576552,279587,296965,206965,1.43,284783,1.38
