event_name,event_link,event_description,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
Rose Parade,http://www.tournamentofroses.com,"This historic and traditional California celebration features majestic floral floats, high-stepping equestrian units, and spirited marching bands from across the nation.",01/01/2014 08:00:00 AM,01/01/2014 11:00:00 AM,,The City of Pasadena Tournament of Roses Committee,"626-449-ROSE, 626-449-4100",Free,"Family Friendly, Holiday Celebration, Fairs & Festivals"
Downtown on Ice Outdoor Skating Rink,http://www.pershingsquareicerink.com,"Situated amid the Downtown Los Angeles skyscrapers, the rink will be open for ice skating daily, including holidays. There will also be a variety of free activities, including live concerts, youth programs, and special events.  

Event times: Mondays through Thursdays, 11:30 a.m. – 9:30 p.m., Fridays through Sundays, 10:00 a.m. - 11:00 p.m.  ",01/01/2014 12:00:00 AM,01/20/2014 12:00:00 AM,,City of Los Angeles Department of Recreation and Parks,213-624-4289,$8 per hour,"Family Friendly, Great Outdoors"
1st Thursday San Pedro Art Walk,http://www.1stthursday.com,"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    ",01/02/2014 05:00:00 PM,01/02/2014 09:00:00 PM,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques"
Undiscovered Chinatown Tour,http://www.chinatownla.com,"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com",01/04/2014 10:30:00 AM,01/04/2014 01:00:00 PM,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Oshogatsu Family Festival,http://www.janm.org,"Ring in the New Year and the Year of the Horse with fun arts and crafts, food, and exciting performances. In Japan the most important and elaborate holiday is Oshogatsu  - the celebration of the New Year.    ",01/05/2014 11:00:00 AM,01/05/2014 05:00:00 PM,"100 N Central Ave
",Japanese American National Museum,213-625-0414,Free,"Holiday Celebration, Family Friendly, Culture & Community"
Three Wise Men Festival,http://www.cervantescenter.org,"A celebration of the Day of the Wise Men, a Hispanic tradition in which children receive free toys and books from the Wise Men (Melchor, Gaspar, and Baltazar). The festival includes gifts for all attending children, musical performances, and raffles.    
",01/06/2014 12:00:00 PM,01/06/2014 03:00:00 PM,,Cervantes Center of Arts & Letters,,Free,"Holiday Celebration, Family Friendly, Culture & Community"
Los Tres Reyes – The Three Kings,http://www.calleolvera.com,"A celebration of the Epiphany (visit of the Three Kings) with music and a colorful procession on Olvera Street. Complimentary refreshments are also served.    
",01/06/2014 06:30:00 PM,01/06/2014 08:30:00 PM,,El Pueblo Historical Monument,213-485-8372,Free,"Holiday Celebration, Family Friendly, Culture & Community"
Australia Week 2014 / G’Day USA,http://www.australia-week.com,"Australia Week is the largest foreign country promotion held annually in the United States showcasing all things Australian from food and wine, energy resources, film, arts, fashion, lifestyle, trade, and investment to indigenous culture and tourism. The week-long program of events highlights Australia's vitality as a place to visit and a place to do business in the 21st Century.  ",01/08/2014 12:00:00 AM,01/14/2014 12:00:00 AM,"3607 Trousdale Parkway
Los Angeles, CA 90089
(34.019664744000465, -118.28566042299968)",Australian Consulate General,310-229-4867,Varies,Culture & Community
Downtown Art Walk,http://www.downtownartwalk.org,"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.",01/09/2014 12:00:00 PM,01/09/2014 10:00:00 PM,,Downtown LA Art Walk,,Free,"Culture & Community, Art & Antiques"
Pomona Art Walk,http://www.metropomona.com,"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.",01/25/2014 03:00:00 PM,01/25/2014 11:00:00 PM,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Art & Antiques"
