Date,Month-Year,Quarter-FY,Annual-FY,Audit penetration Rate FYTD (Monthly),TARGET: Audit Penetration Rate FYTD (Monthly),% of lien cases resolved FYTD (Monthly),TARGET: % of lien cases resolved FYTD  (Monthly),# of call center calls answered (Monthly),YOY BENCHMARK: # of call center calls answered (Monthly),% of call center calls answered (Monthly),YOY BENCHMARK: % of call center calls answered (Monthly),Monthly Investment Report finding on Compliance (Monthly),TARGET: Monthly Investment Report finding on Compliance (Monthly),% of Business Tax renewal from web sources (Annual FY),TARGET: % of Business Tax renewal from web sources (Annual FY),Milestones: Paperless Program (Project),TARGET: Paperless Program,STATUS: Paperless Program,Milestones: Customer Satisfaction Survey (Project),TARGET: Customer Satisfaction Survey,STATUS: Customer Satisfaction Survey
06/30/2010 12:00:00 AM,Jun-10,QF FY10,FY 2010,,,,,,,,,,,47%,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,58%,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,6.5%,,65%,,,,,,,,62%,,,,,,,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,100%,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,100%,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,100%,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,100%,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,98%,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,100%,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,13498,,76%,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,19146,,64%,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,9712,,86%,,,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,11382,,60%,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,10814,,75%,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,6.2%,,70%,,8253,,97%,,,,67%,,,,,,,
07/31/2013 12:00:00 AM,Jul-13,,,0.6%,,29%,,7923,,99%,100%,compliant,compliant,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,1.25%,,43%,,6988,,100%,100%,compliant,compliant,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,1.79%,,52%,,9337,,98%,100%,compliant,compliant,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,2.36%,,60%,,10748,,98%,100%,compliant,compliant,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,2.96%,,72%,,8119,,99%,98%,compliant,compliant,,,Conduct testing,Conduct testing,On Target,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,3.51%,,79%,,8187,,96%,100%,compliant,compliant,,,,,On Target,,,
01/31/2014 12:00:00 AM,Jan-14,,,3.82%,,84%,,13335,13498,97%,76%,compliant,compliant,,,Implement Program,Implement Program,On Target,,,
02/28/2014 12:00:00 AM,Feb-14,,,4.31%,,80%,,14804,19146,51%,64%,compliant,compliant,,,Issue News Release,Issue News Release,On Target,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,4.87%,,77%,,8234,9712,79%,86%,compliant,compliant,,,,,On Target,,,
04/30/2014 12:00:00 AM,Apr-14,,,5.55%,,79%,,13621,11382,63%,60%,compliant,compliant,,,Modify mailing envelopes to include program language,Modify mailing envelopes to include program language,On Target,Develop template and survey questions,Develop template and survey questions,On Target
05/31/2014 12:00:00 AM,May-14,,,6.14%,,77%,,10796,10814,91%,75%,compliant,compliant,,,Modify website to prompt online users to enroll in program,,Exceeds Target,,,On Target
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,6.98%,6%,78%,50%,8946,8253,98%,97%,compliant,compliant,71%,50%,,Modify website to prompt online users to enroll in program,Exceeds Target,Implement Survey,Implement Survey,On Target
07/31/2014 12:00:00 AM,Jul-14,,,0.65%,0.54%,24%,6.25%,8840,7923,99%,99%,compliant,compliant,,,Waiting on Mayor's Office approval of letter,Continue outreach,Exceeds Target,Rolled out to staff. Encourage participation via Field/Counter staff,,On Target
08/31/2014 12:00:00 AM,Aug-14,,,1.35%,1.08%,46%,12.5%,7599,6988,99%,99%,compliant,compliant,,,,Doubled FY 13-14 participation,"As of August 2014, 5,358 participants have enrolled",,Select sample of taxpayers to request participation in on-line survey,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,1.99%,1.63%,55%,18.75%,8929,9337,100%,98%,compliant,compliant,,,,,,,,On Target
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,,,,,,,,,,
