Fiscal Year,Fund Type,Restriction,Amount in Thousands
2004,General Fund,Nonspendable,36410
2004,General Fund,Assigned,301587
2004,General Fund,Unassigned,291608
2004,All Other Governmental Funds,Nonspendable,10675
2004,All Other Governmental Funds,Restricted,1994829
2004,All Other Governmental Funds,Assigned,643707
2004,All Other Governmental Funds,Unassigned,-11145
2005,General Fund,Nonspendable,43665
2005,General Fund,Assigned,284058
2005,General Fund,Unassigned,481868
2005,All Other Governmental Funds,Nonspendable,10772
2005,All Other Governmental Funds,Restricted,2258928
2005,All Other Governmental Funds,Assigned,584112
2005,All Other Governmental Funds,Unassigned,-9763
2006,General Fund,Nonspendable,41449
2006,General Fund,Assigned,296999
2006,General Fund,Unassigned,446942
2006,All Other Governmental Funds,Nonspendable,18073
2006,All Other Governmental Funds,Restricted,2190243
2006,All Other Governmental Funds,Assigned,711750
2006,All Other Governmental Funds,Unassigned,-8874
2007,General Fund,Nonspendable,59638
2007,General Fund,Assigned,391023
2007,General Fund,Unassigned,257249
2007,All Other Governmental Funds,Nonspendable,98568
2007,All Other Governmental Funds,Restricted,2138184
2007,All Other Governmental Funds,Assigned,1011697
2007,All Other Governmental Funds,Unassigned,-1990
2008,General Fund,Nonspendable,30304
2008,General Fund,Assigned,352416
2008,General Fund,Unassigned,215227
2008,All Other Governmental Funds,Nonspendable,97966
2008,All Other Governmental Funds,Restricted,1912230
2008,All Other Governmental Funds,Assigned,948735
2008,All Other Governmental Funds,Unassigned,-2473
2009,General Fund,Nonspendable,27879
2009,General Fund,Assigned,233761
2009,General Fund,Unassigned,221811
2009,All Other Governmental Funds,Nonspendable,98048
2009,All Other Governmental Funds,Restricted,1942596
2009,All Other Governmental Funds,Assigned,743720
2009,All Other Governmental Funds,Unassigned,712
2010,General Fund,Nonspendable,29771
2010,General Fund,Assigned,182835
2010,General Fund,Unassigned,224574
2010,All Other Governmental Funds,Nonspendable,97785
2010,All Other Governmental Funds,Restricted,2084310
2010,All Other Governmental Funds,Assigned,838014
2010,All Other Governmental Funds,Unassigned,-789
2011,General Fund,Nonspendable,26299
2011,General Fund,Assigned,239877
2011,General Fund,Unassigned,253882
2011,All Other Governmental Funds,Nonspendable,104175
2011,All Other Governmental Funds,Restricted,2447798
2011,All Other Governmental Funds,Assigned,512650
2011,All Other Governmental Funds,Unassigned,-1299
2012,General Fund,Nonspendable,31134
2012,General Fund,Assigned,267645
2012,General Fund,Unassigned,272905
2012,All Other Governmental Funds,Nonspendable,82397
2012,All Other Governmental Funds,Restricted,2548980
2012,All Other Governmental Funds,Assigned,603657
2012,All Other Governmental Funds,Unassigned,-7393
2013,General Fund,Nonspendable,43115
2013,General Fund,Assigned,242643
2013,General Fund,Unassigned,436858
2013,All Other Governmental Funds,Nonspendable,75204
2013,All Other Governmental Funds,Restricted,2813386
2013,All Other Governmental Funds,Assigned,631529
2013,All Other Governmental Funds,Unassigned,-26112
