Date Value,Month-Year,Quarter-FY,Annual-FY,% of municipal facilities cleaned daily (Annual FY),ESTIMATE: % of municipal facilities cleaned daily (Annual FY),% of LAPD facilities cleaned daily (Annual FY),ESTIMATE: % of LAPD facilities cleaned daily (Annual FY),% of facilities cleaned per day: Central Library (Annual FY),ESTIMATE: % of facilities cleaned per day: Central Library (Annual FY),% of maintenance work requests completed (Annual FY),ESTIMATE: % of maintenance work requests completed (Annual FY),% of maintenance work requests completed (Monthly),TARGET: % of maintenance work requests completed  (Monthly),# of maintenance work requests completed (Monthly),BMD QEBC % Completion (Monthly),TARGET: BMD QEBC Completion  (Monthly),BMD: Energy % Completion (Monthly),TARGET: BMD Energy % Completion (Monthly),BMD: % of Buildings Inputted,Dollars expended on construction projects (Annual FY),# of city as tenant leases remaining (Annual FY),ESTIMATE: # of city as tenant leases remaining (Annual FY),Revenue from GSD-operated parking facilities (Annual FY),TARGET: Revenue from GSD operated parking facilities (Annual FY),Civic Center Parking Automation Project: % Completion (Monthly),TARGET: Parking Automation Project: % Completion (Monthly),% of evacuation drills in City owned highrises (Annual FY),Fleet: Sanitation Units Available (Monthly),Fleet: Sanitation Availability % (Monthly),TARGET: Fleet: Low range Sanitation Availability (Monthly),TARGET: Fleet: High range Sanitation Availability (Monthly),Fleet: BSS Units Available (Monthly),Fleet: BSS Availability % (Monthly),TARGET: Fleet: Low range BSS Availability (Monthly),TARGET: Fleet: High range BSS Availability (Monthly),Fleet: DOT Units Available (Monthly),Fleet: DOT Availability % (Monthly),TARGET: Fleet: Low range DOT Availability (Monthly),TARGET: Fleet: High range DOT Availability (Monthly),% of fuel sites inspected on a monthly basis (Annual FY),ESTIMATE: % of fuel sites inspected on a monthly basis (Annual FY),Number of tests done on-time in support of the City's Pavement Preservation Program (Annual FY),% of early payment discounts taken (Monthly),TARGET: Low range % of early payment discounts taken (Monthly),TARGET: High range % of early payment discounts taken (Monthly),Supply Services: # of days to issue payment (Monthly),TARGET: Supply Services: Low range # of days to issue payment (Monthly),TARGET: Supply Services: High range # of days to issue payment (Monthly),Supply Services: Payment Vouchers Issued (Monthly),# of outgoing mail pieces processed (Annual FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,,,,,,,,,,,,$23800000.00,114,,$13500000.00,,,,,,,,,,,,,,,,,96%,,,,,,,,,,
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,,674,85%,,85%,68,79%,,0.85%,464,91%,,0.95%,,,,,,,27,25,30,12611,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,666,84%,,85%,66,76%,,0.85%,457,90%,,0.95%,,,,,,,14,25,30,13405,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,671,83%,,85%,65,76%,,0.85%,449,90%,,0.95%,,,,,,,23,25,30,10086,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,680,84%,,85%,66,77%,,0.85%,439,88%,,0.95%,,,,,,,21,25,30,12773,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,679,84%,,85%,68,79%,,0.85%,444,89%,,0.95%,,,,,,,24,25,30,12086,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,687,85%,,85%,68,79%,,0.85%,445,89%,,0.95%,,,,,,,22,25,30,10318,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,687,85%,,85%,68,80%,,0.85%,443,89%,,0.95%,,,,,,,27,25,30,13171,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,680,84%,,85%,65,76%,,0.85%,454,91%,,0.95%,,,,,,,23,25,30,10252,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,689,85%,,85%,70,82%,,0.85%,459,92%,,0.95%,,,,,,,22,25,30,12369,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,689,85%,,85%,67,79%,,0.85%,459,92%,,0.95%,,,,,,,22,25,30,13482,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,687,85%,,85%,67,79%,,0.85%,464,93%,,0.95%,,,,,,,21,25,30,13809,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,,,,,,,,,,,,,,,,,$32100000.00,117,,$13500000.00,,,,,684,85%,,85%,66,78%,,0.85%,464,93%,,0.95%,98%,,136378,,,,17,25,30,9921,7734933
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,,0.69%,0.7%,1996,0.2%,0.2%,0.25%,0.08%,,,,,,,0.2%,0.08%,,679,84%,,85%,67,79%,,0.85%,452,90%,,0.95%,,,,86%,0.85%,0.9%,23,25,30,12964,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,,0.6%,0.7%,1655,0.24%,0.24%,0.25%,0.17%,,,,,,,0.25%,0.17%,,680,84%,,85%,67,79%,,0.85%,435,87%,,0.95%,,,,83%,0.85%,0.9%,21,25,30,14018,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,,,,0.77%,0.7%,2026,0.28%,0.28%,0.3%,0.25%,,,,,,,0.3%,0.25%,,680,84%,,85%,66,78%,,0.85%,441,88%,,0.95%,,,,87%,0.85%,0.9%,21,25,30,11855,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,,0.75%,0.7%,2103,0.3%,0.3%,0.5%,0.33%,,,,,,,0.4%,0.33%,,681,84%,,85%,68,77%,,0.85%,453,91%,,0.95%,,,,95%,0.85%,0.9%,22,25,30,11952,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,,0.72%,0.7%,1729,0.32%,0.32%,0.75%,0.42%,,,,,,,0.5%,0.42%,,683,85%,,85%,73,82%,,0.85%,449,90%,,0.95%,,,,92%,0.85%,0.9%,22,25,30,10908,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,,,,0.71%,0.7%,1669,0.46%,0.46%,1%,0.5%,,,,,,,0.6%,0.5%,,680,84%,,85%,71,79%,,0.85%,451,90%,,0.95%,,,,91%,0.85%,0.9%,22,25,30,11032,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,,,,,0.7%,0.7%,1971,0.67%,0.569999999999999%,1%,0.579999999999999%,,,,,,,0.65%,0.579999999999999%,,680,84%,,85%,68,76%,,0.85%,452,91%,,0.95%,,,,95%,0.85%,0.9%,23,25,30,11631,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,,,,,0.72%,0.7%,1950,0.77%,0.62%,1%,0.67%,,,,,,,0.7%,0.6%,,663,82%,,85%,63,74%,,0.85%,460,91%,,0.95%,,,,90%,0.85%,0.9%,25,25,30,11546,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,,,,,0.74%,0.7%,2174,0.8%,0.77%,1%,0.75%,,,,,,,0.73%,0.63%,,652,81%,,85%,64,75%,,0.85%,460,91%,,0.95%,,,,91%,0.85%,0.9%,23,25,30,12063,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,,,,,0.72%,0.7%,2062,0.81%,0.8%,1%,0.83%,,,,,,,0.75%,0.7%,,652,81%,,85%,71,80%,,0.85%,464,91%,,0.95%,,,,95%,0.85%,0.9%,21,25,30,11748,
05/31/2014 12:00:00 AM,May-14,,,,,,,,,,,0.73%,0.7%,2088,0.89%,0.85%,1%,0.92%,,,,,,,0.81%,0.81%,,650,81%,,85%,76,84%,,0.85%,454,89%,,0.95%,,,,97%,0.85%,0.9%,20,25,30,12829,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,0.85%,0.85%,0.9%,0.9%,0.85%,0.85%,0.71%,0.7%,0.71%,0.7%,1881,1%,1%,1%,1%,1%,$22300000.00,100,,$14600000.00,$13700000.00,1%,1%,1%,643,80%,,85%,76,84%,,0.85%,460,90%,,0.95%,100%,98%,131289,97%,0.85%,0.9%,17,25,30,9290,7947786
07/31/2014 12:00:00 AM,Jul-14,,,,,,,,,,,0.7%,0.7%,1961,,,,,,,,,,,,,,658,82%,80%,85%,80,87%,0.8%,0.85%,465,91%,0.9%,0.95%,,,,94%,0.85%,0.9%,24,25,30,14317,
08/31/2014 12:00:00 AM,Aug-14,,,,,,,,,,,0.71%,0.7%,1905,,,,,,,,,,,,,,684,86%,80%,85%,80,87%,0.8%,0.85%,450,89%,0.9%,0.95%,,,,92%,0.85%,0.9%,,25,30,12483,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,,,,,,,0.7%,0.7%,1910,,,,,,,,,,,,,,679,85%,80%,85%,78,85%,0.8%,0.85%,449,89%,0.9%,0.95%,,,,95%,0.85%,0.9%,,25,30,12238,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,0.73%,0.7%,1887,,,,,,,,,,,,,,676,85%,80%,85%,79,86%,0.8%,0.85%,470,91%,0.9%,0.95%,,,,94%,0.85%,0.9%,,25,30,11977,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
