Month,Goal (Acre-feet),Actual (Acre-feet)
March-14,955,710
February-14,955,538
January-14,955,769
December-13,955,876
November-13,955,847
October-13,946,900
September-13,964,887
August-13,955,844
July-13,0,718
June-13,833,732
May-13,861,724
April-13,833,720
March-13,861,736
February-13,778,360
January-13,861,290
December-12,861,287
November-12,833,210
October-12,861,0
September-12,833,296
August-12,861,928
July-12,861,1027
June-12,831,981
May-12,863,1010
April-12,833,986
March-12,861,1025
February-12,806,988
January-12,861,1002
December-11,861,900
November-11,833,799
October-11,861,503
September-11,857,489
August-11,886,412
July-11,886,380
