Site Name,Property No.,Acres,Actual Units,Occupied Units,Rate of Occupied Units,No. of Resident,Average Rent Per Month,Average Monthly Income Per Family,Location 1
William Mead Homes,4006,15.2,415,412,99.3%,1152,$354.00,$1610.00,"1300 N. Cardinal St.
Los Angeles 90012
(34.06340691100007, -118.23126529599995)"
Rose Hill Courts,4008,5.2,100,94,94%,242,$325.00,$1675.00,"4466 Florizel St.
Los Angeles 90032
(34.08707322300006, -118.19175949699996)"
Ramona Gardens,4001,32,498,493,99%,1791,$408.00,$1812.00,"2830 Lancaster Ave.
Los Angeles 90033
(34.05746684600007, -118.19390349799994)"
Pueblo Del Sol,4222 & 4227,34.3,242,242,100%,856,$489.00,$1966.00,"1201 Gabriel Garcia Marquez
Los Angeles 90033
(34.05098669400007, -118.22685419899994)"
New Pico & Las Casitas,4223 & 4224,18.4,296,296,100%,952,$437.00,$2097.00,"1526 E 4th St.
Los Angeles 90023
(34.042790223000054, -118.22325495499996)"
Estrada Courts,4007 & 4020,20.6,414,413,99.8%,1195,$423.00,$1828.00,"3232 Estrada St.
Los Angeles 90023
(34.02195547300005, -118.20801243199998)"
Dana Harbor View & Wilmington,4228 & 4234,11.96,94,94,100%,384,$360.00,$1380.00,"401 Hawaiian Ave.
Wilmington 90744
(33.77368829000005, -118.27637270299999)"
Rancho San Pedro,4004 & 4017,21.2,478,470,98.3%,1367,$365.00,$1621.00,"275 W 1 St.
Los Angeles 9073
(33.74327698400003, -118.28301723599998)"
Pueblo Del Rio,4003 & 4015,34.1,660,654,99.1%,2005,$340.00,$1456.00,"1801 E 53rd St.
Los Angeles 90058
(33.994665750000024, -118.24102914599996)"
Mar Vista Gardens,4021,43.2,601,597,99.3%,1922,$423.00,$1863.00,"11965 Allin St.
Culber City 90230
(33.99168272500003, -118.41293768699995)"
San Fernando Gardens,4022,33.5,448,445,99.3%,1692,$435.00,$1812.00,"10995 Lehigh St.
Pacoima 91331
(34.26922938900003, -118.41689001399999)"
Avalon Gardens,4009,14.9,164,162,98.8%,443,$318.00,$1507.00,"701 E 88th Pl.
Los Angeles 90002
(33.95650817000006, -118.26193000299997)"
Jordan Downs,4016,49.5,727,720,99%,2620,$341.00,$1412.00,"9800 Grape St.
Los Angeles 90002
(33.94711131200006, -118.23674688399996)"
Gonzaque Village,4010,17.600000000000001,184,179,97.3%,441,$305.00,$1417.00,"1515 105 St.
Los Angeles 90002
(33.94059127000003, -118.24749550499996)"
Nickerson Gardens,4013,68.599999999999994,1066,1029,96.5%,3217,$286.00,$1194.00,"1590 E 114th St.
Los Angeles 90059
(33.931087181000066, -118.24652602499998)"
Imperial Courts,4019,36.1,490,458,93.5%,1454,$284.00,$1193.00,"11541 Croesus St.
Los Angeles 90059
(33.929582485000026, -118.233580615)"
Total/Ave.,,456.4,6877,6758,98.3%,21733,$362.00,$1571.00,
