Month-Year,Date,Monthly Total TEUs,CYTD Total TEUs,Previous Year CYTD,% Change Total TEUs CYTD
Jan-09,01/31/2009 12:00:00 AM,587004.2,587004.2,,
Feb-09,02/28/2009 12:00:00 AM,413910.3,1000914.5,,
Mar-09,03/31/2009 12:00:00 AM,526487.05,1527401.55,,
Apr-09,04/30/2009 12:00:00 AM,532124.15,2059525.7,,
May-09,05/31/2009 12:00:00 AM,574827.8,2634353.5,,
Jun-09,06/30/2009 12:00:00 AM,551679.7,3186033.2,,
Jul-09,07/31/2009 12:00:00 AM,576203.25,3762236.45,,
Aug-09,08/31/2009 12:00:00 AM,612581.5,4374817.95,,
Sep-09,09/30/2009 12:00:00 AM,583557,4958374.95,,
Oct-09,10/31/2009 12:00:00 AM,647423.7,5605798.65,,
Nov-09,11/30/2009 12:00:00 AM,580206.15,6186004.8,,
Dec-09,12/31/2009 12:00:00 AM,562989.75,6748994.55,,
Jan-10,01/31/2010 12:00:00 AM,572969.15,572969.15,587004.2,-2.4%
Feb-10,02/28/2010 12:00:00 AM,525458.6,1098427.75,1000914.5,9.7%
Mar-10,03/31/2010 12:00:00 AM,550249.8,1648677.55,1527401.55,7.9%
Apr-10,04/30/2010 12:00:00 AM,595283.7,2243961.25,2059525.7,9%
May-10,05/31/2010 12:00:00 AM,689420.7,2933381.95,2634353.5,11.4%
Jun-10,06/30/2010 12:00:00 AM,730317.85,3663699.8,3186033.2,15%
Jul-10,07/31/2010 12:00:00 AM,730745.6,4394445.4,3762236.45,16.8%
Aug-10,08/31/2010 12:00:00 AM,763837.2,5158282.6,4374817.95,17.9%
Sep-10,09/30/2010 12:00:00 AM,711613,5869895.6,4958374.95,18.4%
Oct-10,10/31/2010 12:00:00 AM,682384.5,6552280.1,5605798.65,16.9%
Nov-10,11/30/2010 12:00:00 AM,666970.5,7219250.6,6186004.8,16.7%
Dec-10,12/31/2010 12:00:00 AM,612651.7,7831902.3,6748994.55,16%
Jan-11,01/31/2011 12:00:00 AM,660517.8,660517.8,572969.15,15.3%
Feb-11,02/28/2011 12:00:00 AM,554912.8,1215430.6,1098427.75,10.7%
Mar-11,03/31/2011 12:00:00 AM,600796,1816226.6,1648677.55,10.2%
Apr-11,04/30/2011 12:00:00 AM,617272.5,2433499.1,2243961.25,8.4%
May-11,05/31/2011 12:00:00 AM,692933.7,3126432.8,2933381.95,6.6%
Jun-11,06/30/2011 12:00:00 AM,640794.6,3767227.4,3663699.8,2.8%
Jul-11,07/31/2011 12:00:00 AM,688325.55,4455552.95,4394445.4,1.4%
Aug-11,08/31/2011 12:00:00 AM,723170.55,5178723.5,5158282.6,0.4%
Sep-11,09/30/2011 12:00:00 AM,705623.85,5884347.35,5869895.6,0.2%
Oct-11,10/31/2011 12:00:00 AM,712586.2,6596933.55,6552280.1,0.7%
Nov-11,11/30/2011 12:00:00 AM,694108.7,7291042.25,7219250.6,1%
Dec-11,12/31/2011 12:00:00 AM,649468.7,7940510.95,7831902.3,1.4%
Jan-12,01/31/2012 12:00:00 AM,698715.1,698715.1,660517.8,5.8%
Feb-12,02/29/2012 12:00:00 AM,525653.45,1224368.55,1215430.6,0.7%
Mar-12,03/31/2012 12:00:00 AM,650452.25,1874820.8,1816226.6,3.2%
Apr-12,04/30/2012 12:00:00 AM,707182.2,2582003,2433499.1,6.1%
May-12,05/31/2012 12:00:00 AM,731352.9,3313355.9,3126432.8,6%
Jun-12,06/30/2012 12:00:00 AM,696847.95,4010203.85,3767227.4,6.4%
Jul-12,07/31/2012 12:00:00 AM,726375.25,4736579.1,4455552.95,6.3%
Aug-12,08/31/2012 12:00:00 AM,706669.8,5443248.9,5178723.5,5.1%
Sep-12,09/30/2012 12:00:00 AM,744923.15,6188172.05,5884347.35,5.2%
Oct-12,10/31/2012 12:00:00 AM,718406.35,6906578.4,6596933.55,4.7%
Nov-12,11/30/2012 12:00:00 AM,582981.7,7489560.1,7291042.25,2.7%
Dec-12,12/31/2012 12:00:00 AM,588154.2,8077714.3,7940510.95,1.7%
Jan-13,01/31/2013 12:00:00 AM,669000.3,669000.3,698715.1,-4.3%
Feb-13,02/28/2013 12:00:00 AM,614958.75,1283959.05,1224368.55,4.9%
Mar-13,03/31/2013 12:00:00 AM,503168,1787127.05,1874820.8,-4.7%
Apr-13,04/30/2013 12:00:00 AM,640330.2,2427457.25,2582003,-6%
May-13,05/31/2013 12:00:00 AM,636851.6,3064308.85,3313355.9,-7.5%
Jun-13,06/30/2013 12:00:00 AM,646650.5,3710959.35,4010203.85,-7.5%
Jul-13,07/31/2013 12:00:00 AM,715640.25,4426599.6,4736579.1,-6.5%
Aug-13,08/31/2013 12:00:00 AM,709675.75,5136275.35,5443248.9,-5.6%
Sep-13,09/30/2013 12:00:00 AM,710892.25,5847167.6,6188172.05,-5.5%
Oct-13,10/31/2013 12:00:00 AM,684207.1,6531374.7,6906578.4,-5.4%
Nov-13,11/30/2013 12:00:00 AM,683849,7215223.7,7489560.1,-3.7%
Dec-13,12/31/2013 12:00:00 AM,653358.35,7868582.05,8077714.3,-2.6%
Jan-14,01/31/2014 12:00:00 AM,685549.85,685549.85,669000.3,2.5%
Feb-14,02/28/2014 12:00:00 AM,559786.35,1245336.2,1283959.05,-3%
Mar-14,03/31/2014 12:00:00 AM,675274.1,1920610.3,1787127.05,7.5%
Apr-14,04/30/2014 12:00:00 AM,706036.8,2626647.1,2427457.25,8.2%
May-14,05/31/2014 12:00:00 AM,,,,
Jun-14,06/30/2014 12:00:00 AM,,,,
Jul-14,07/31/2014 12:00:00 AM,,,,
Aug-14,08/31/2014 12:00:00 AM,,,,
Sep-14,09/30/2014 12:00:00 AM,,,,
Oct-14,10/31/2014 12:00:00 AM,,,,
Nov-14,11/30/2014 12:00:00 AM,,,,
Dec-14,12/31/2014 12:00:00 AM,,,,
