APN,PROJECT NUMBER,NAME,ADDRESS,SITE_CD,COMMUNITY,COUNCIL DISTRICT,DEVELOPMENT STAGE,CONSTRUCTION TYPE,UNITS,STATUS IN HIMS,(%) OF FUNDS USED,HOUSING TYPE,HCIDLA FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,PHOTO,JOBS,DEVELOPER,FINISH DATE(YEAR),MANAGEMENT COMPANY,CONTACT PHONE,DATE_STAMP,LONGITUDE,LATITUDE,GPS_COORDS
5154026023,000111,HISTORIC BARBIZON HOTEL APTS.,1927 W 6TH ST 1-51 CA 90057,1,WESTLAKE,1,COMPLETED,REHAB,51,COMPLETED,100%,FAMILY,$5009394.00,$13935814.00,$0.00,$18945208.00,http://lahd.lacity.org/mpphotos/000111/Photo/Website/CD_1_-_Barbizon_Hotel.png,47,"NEIGHBORHOOD EFFORT,",2008,THE EBERLY COMPANY,(323) 937-6468,Nov 28 2014  5:25AM,-118.273227219,34.058957806,"(34.058957806, -118.273227219)"
2327017034,000115,COLONIA CORONA APTS. (CSP I),13044 W SHERMAN WAY CA 91605,1,VALLEY GLEN,2,COMPLETED,NEW CONSTRUCTION,100,COMPLETED,100%,FAMILY,$10527004.00,$5835087.00,$2918726.00,$19280817.00,http://lahd.lacity.org/mpphotos/000115/Photo/Website/CD%202%20-%20Colonia%20Corona.JPG,146,"HERMANDAD LA ECONOMICS AND COMMUNITY DEV CORP,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.417300759,34.201026183,"(34.201026183, -118.417300759)"
2111005034,000124,TIERRA DEL SOL,7500 N ALABAMA AVE 1-119 CA 91303,1,CANOGA PARK,3,COMPLETED,NEW CONSTRUCTION,119,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$8125000.00,$15158179.00,$2103714.00,$25386893.00,http://lahd.lacity.org/mpphotos/000124/Photo/Website/CD%203%20-%20Tierra%20Del%20Sol%20-%20000124.jpg,169,"NEW ECONOMICS FOR WOMEN,",2003,NEW CAPITAL LLC,(818) 887-6920,Nov 28 2014  5:25AM,-118.59818804,34.208132348,"(34.208132348, -118.59818804)"
5422020031,000156,ALLESANDRO STREET APTS.,1934 N ALLESANDRO ST CA 90039,1,ECHO PARK,13,COMPLETED,NEW CONSTRUCTION,18,COMPLETED,100%,SPECIAL NEEDS / HIV/AIDS INDIVIDUALS/FAMILIES,$620900.00,$3037101.00,$0.00,$3658001.00,http://lahd.lacity.org/mpphotos/000156/Photo/Website/CD%2013%20-%20Allesandro%20St.%20Apts..jpg,29,"HOLLYWOOD COMMUNITY HOUSING CORP.,",2005,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,Nov 28 2014  5:25AM,-118.257908797,34.091064486,"(34.091064486, -118.257908797)"
5110027025,010113,BROADWAY VILLAGE II,5101 S BROADWAY 1-50 CA 90037,1,SOUTH PARK,9,COMPLETED,NEW CONSTRUCTION,50,COMPLETED,100%,FAMILY,$1987378.00,$10017311.00,$0.00,$12004689.00,http://lahd.lacity.org/mpphotos/010113/Photo/Website/CD_9_-_Broadway_Village_II_-_010113[1].png,53,"BEYOND SHELTER HOUSING,",2006,"WNC & ASSOCIATES, INC.",(213) 251-2111,Nov 28 2014  5:25AM,-118.278953558,33.996344207,"(33.996344207, -118.278953558)"
2654010001,010139,COLUMBUS TRANSITIONAL HSG & PENNY LANE,15256 W ACRE ST CA 91343,1,NORTH HILLS,6,COMPLETED,REHAB,4,COMPLETED,100%,SPECIAL NEEDS,$532500.00,$666519.00,$0.00,$1199019.00,http://lahd.lacity.org/mpphotos/010139/Photo/Website/CD%207%20-%20Columbus%20Transitional%2015257%20acre%20-%20010139.JPG,7,"NATIONAL FOUNDATION FOR ... (AKA PENNY LANE),",2003,PENNY LANE TRANSITIONAL HOUSING PROGRAM,(818) 892-3423,Nov 28 2014  5:25AM,-118.465337052,34.229852396,"(34.229852396, -118.465337052)"
2654009012,010139,COLUMBUS TRANSITIONAL HSG & PENNY LANE (SITE 2),15259 W GRESHAM ST CA 91343,2,NORTH HILLS,6,COMPLETED,REHAB,4,COMPLETED,100%,SPECIAL NEEDS,$532500.00,$666519.00,$0.00,$1199019.00,http://lahd.lacity.org/mpphotos/010139/Photo/Website%20Site2/Columbust%20Transition%20Site%202.png,7,"NATIONAL FOUNDATION FOR ... (AKA PENNY LANE),",2003,PENNY LANE TRANSITIONAL HOUSING PROGRAM,(818) 892-3423,Nov 28 2014  5:25AM,-118.465443613,34.231314173,"(34.231314173, -118.465443613)"
5148025025,010315,YANKEE HOTEL,501 E 7TH ST CA 90014,1,WHOLESALE DISTRICT,14,COMPLETED,REHAB,80,COMPLETED,100%,SPECIAL NEEDS,$2019320.00,$8432786.00,$0.00,$10452106.00,http://lahd.lacity.org/mpphotos/010315/Photo/Website/CD%209%20-%20The%20Yankee%20Hotel.jpg,75,"SRO HOUSING CORPORTATION,",2005,SRO HOUSING CORPORATION,(213) 229-9641,Nov 28 2014  5:25AM,-118.2471476,34.041155985,"(34.041155985, -118.2471476)"
5156018011,020093,ST. ANNE'S TRANSITIONAL HOUSING,155 N OCCIDENTAL BLVD CA 90026,1,TEMPLE-BEAUDRY,13,COMPLETED,NEW CONSTRUCTION,40,COMPLETED,100%,SPECIAL NEEDS / FOSTER YOUTH,$2000000.00,$8758249.00,$0.00,$10758249.00,http://lahd.lacity.org/mpphotos/020093/Photo/Website/CD_13_-_St._Anne's_Transitional%202.png,65,"ST. ANNE'S TRANSITIONAL HOUSING,",2005,ST. ANNE'S TRANSITIONAL HOUSING,(213) 381-2931,Nov 28 2014  5:25AM,-118.279930057,34.072379966,"(34.072379966, -118.279930057)"
2210027012,020206,SATICOY GARDENS,14649 W SATICOY ST CA 91405,1,VAN NUYS,6,COMPLETED,NEW CONSTRUCTION,30,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$2003000.00,$4126190.00,$1100000.00,$7229190.00,http://lahd.lacity.org/mpphotos/020206/Photo/Website/CD%206%20-%20Saticoy%20Gardens%20Apts..jpg,45,"LA FAMILY HOUSING CORP.,",2006,THE JOHN STEWART COMPANY,(213) 833-1860 x203,Nov 28 2014  5:25AM,-118.452451606,34.209235066,"(34.209235066, -118.452451606)"
