LOCATION TYPE,FACILITY TITLE,ADDRESS,PHONE,HOURS OPEN TO PUBLIC,HOURS CLOSED,SERVICE DESCRIPTION
NON-PROFIT FSC,EL CENTRO DEL PUEBLO,"1824 SUNSET BLVD.
LOS ANGELES, CA 90026
(34.077934463000474, -118.26015038199972)",(213) 483-6335,8AM-6PM MON-FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,OAKWOOD FAMILY RESOURCE CENTER,"3910 OAKWOOD AVE.
LOS ANGELES, CA 90004
(34.07770350400045, -118.2923686899997)",(323) 953-7356,"8:30AM-5PM MON, WED, THURS; 8:30AM-8PM TUES; 8:30AM-4:30PM FRI",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
CITY OWNED/RUN FSC,TOM BRADLEY FAMILYSOURCE CENTER,"5213 W. PICO BLVD.
LOS ANGELES, CA 90019
(34.048228287000484, -118.35199660499967)",(323) 692-0669,"9AM-9PM MON, THURS;  9AM-6PM TUES, WED, FRI; 4TH SAT OF THE MONTH 10AM-3PM",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,1736 FAMILY CRISIS CENTER,"2116 ARLINGTON AVE.
LOS ANGELES, CA 90018
(34.03746082000049, -118.3176759699997)",(323) 737-3900,9AM-5PM MON-FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,BARRIO ACTION YOUTH AND FAMILY CENTER,"4927 HUNTINGTON DR.
LOS ANGELES, CA 90032
(34.08715832600046, -118.1761937599997)",(323) 221-0779,"8AM-6PM MON&FRI; 8AM-8PM TUES,WED,THURS",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
CITY OWNED/RUN FSC,BRADLEY MILKEN FAMILYSOURCE CENTER,"1773 E. CENTURY BLVD.
LOS ANGELES, CA 90002
(33.94571763900046, -118.2410884949997)",(213) 473-3607,"9AM - 6:30PM MON&FRI; 9AM -8:15 TUES, WED, THURS",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,LATINO RESOURCE ORGANIZATION,"4804 S. CENTINELA AVE.
LOS ANGELES, CA 90066
(33.98951723400046, -118.4189736779997)",(310) 391-3457,"9AM-5PM MON, WED, FRI; 9AM-7PM TUES, THURS; 9AM-1PM SAT",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,NEW ECONOMICS FOR WOMEN,"21400 SATICOY ST.
CANOGA PARK, CA 91304
(34.20829294800046, -118.5976988159997)",(818) 887-3872,"9AM-8PM MON, WED; 9AM-7PM THURS; 8:30AM-5:30PM FRI",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,EL CENTRO DE AYUDA,"3467 WHITTIER BLVD.
LOS ANGELES, CA 90023
(34.026926681000475, -118.1989377269997)",(323) 265-9228,8AM-8PM MON-THURS; 8AM-5PM FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,YOUTH POLICY INSTITUTE,"1075 N. WESTERN AVE.
LOS ANGELES, CA 90029
(34.090350629000454, -118.30920270399969)",(323) 836-0055,10AM-7:30PM MON-THURS; 10AM-5PM FRI; 10AM-1PM 1st SAT of each month,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
