Date of event,Organization,Site Name,Location,Start Time,End Time,DACA,DAPA,Language,Notes,Free,Contact
01/27/2015,DACA 100% Task Force,Utah Elementary School,"255 Gabriel Garcia Marquez St
Los Angeles, CA 90033
(34.049250725000036, -118.22397268799995)",4:00 PM,8:00 PM,X,X,Spanish and English,"Free DACA Application Assistance Workshop including Pro Bono. General info on AB60 DL, DACA Expansion & DAPA.",Free / Open to the public,"Norma Castaneda
626-975-2730"
02/11/2015,DACA 100% Task Force,Venice High School,"13000 Venice Blvd
Los Angeles, CA 90066
(33.99907461300006, -118.44252713199995)",4:00 PM,7:00 PM,X,X,Spanish and English,"Free DACA Application Assistance Workshop including Pro Bono. General info on AB60 DL, DACA Expansion & DAPA.",Free / Open to the public,"Norma Castaneda
626-975-2730"
02/07/2015,DACA 100% Task Force,Arleta High School,"14200 Van Nuys Blvd
Arleta, CA 91331
(34.25099079700004, -118.44276488599996)",9:00 AM,11:00 AM,X,X,Spanish and English,"Free DACA Information Workshop. General info on AB60 DL, DACA Expansion & DAPA.",Free / Open to the public,"Norma Castaneda
626-975-2730"
02/28/2015,DACA 100% Task Force,Arleta High School,"14200 Van Nuys Blvd
Arleta, CA 91331
(34.25099079700004, -118.44276488599996)",10:00 AM,2:00 PM,X,X,Spanish and English,"Free DACA Application Assistance Workshop including Pro Bono. General info on AB60 DL, DACA Expansion & DAPA.",Free / Open to the public,"Norma Castaneda
626-975-2730"
02/07/2015,Long Beach Immigrant Rights Coalition,St.Luke's Episcopal Church,"525 E 7th St Long Beach
90813
(33.77538790600005, -118.19864898999998)",10:00 AM,2:00 PM,x,X,Spanish and English,"DACA and General Immigration Legal Clinic. Screeners and attorneys will be present. Info on AB60, Health4All, and DAPA will be available.",Free and open to the public,Alicia Morales (562)200-8284
,CHIRLA,,"2533 W 3rd Street
Los Angeles, CA 90057
(34.06538612700007, -118.27751691899999)",11:00 AM,12:00 PM,x,X,Spanish and English,"AB 60, DACA, DAPA Information Session",Free and open to the public,Miriam Mesa 213-353-1333 mmesa@chirla.org
,CHIRLA,,"2533 W 3rd Street
Los Angeles, CA 90057
(34.06538612700007, -118.27751691899999)",5:30 PM,6:30 PM,x,X,Spanish and English,"AB 60, DACA, DAPA Information Session",Free and open to the public,Miriam Mesa 213-353-1333 mmesa@chirla.org
,CHIRLA,,"2533 W 3rd Street
Los Angeles, CA 90057
(34.06538612700007, -118.27751691899999)",11:00 AM,12:00 PM,x,X,Spanish and English,"AB 60, DACA, DAPA Information Session",Free and open to the public,Miriam Mesa 213-353-1333 mmesa@chirla.org
,CHIRLA,,"2533 W 3rd Street
Los Angeles, CA 90057
(34.06538612700007, -118.27751691899999)",3:00 PM,4:00 PM,X,X,Spanish and English,"AB 60, DACA, DAPA Information Session",Free and open to the public,Miriam Mesa 213-353-1333 mmesa@chirla.org
01/29/2015,CARECEN,SEIU Local 721,"1545 Wilshire Dr
Los Angeles, CA 90017
(34.055216088000066, -118.26970790499996)",6:30 PM,8:30 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
