Date Name,Date Value,Total 311 Contacts,Total 311 Requests Using App/Web,% of 311 Requests by App/Web,311 Avg Call Wait Times (seconds),311 Avg. Call Wait Time Change YOY (seconds)
01/01/2013 12:00:00 AM,01/31/2013 12:00:00 AM,101138,0,0%,306,
02/01/2013 12:00:00 AM,02/28/2013 12:00:00 AM,87039,0,0%,354,
03/01/2013 12:00:00 AM,03/31/2013 12:00:00 AM,88848,89,0.1%,222,
04/01/2013 12:00:00 AM,04/30/2013 12:00:00 AM,90185,2525,2.8%,60,
05/01/2013 12:00:00 AM,05/31/2013 12:00:00 AM,95481,1910,2%,60,
06/01/2013 12:00:00 AM,06/30/2013 12:00:00 AM,99806,2296,2.3%,210,
07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,112257,3368,3%,222,
08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,103262,4544,4.4%,84,
09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,99630,4683,4.7%,96,
10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,98963,3563,3.6%,90,
11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,82809,3478,4.2%,72,
12/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,82283,3127,3.8%,36,
01/01/2014 12:00:00 AM,01/31/2014 12:00:00 AM,93478,3313,3.5%,70,-236
02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,84167,4667,5.5%,36,-318
03/01/2014 12:00:00 AM,03/31/2014 12:00:00 AM,94134,5594,5.9%,36,-186
04/01/2014 12:00:00 AM,04/30/2014 12:00:00 AM,99649,5715,5.7%,22,-38
