Date Name,Date Value,Building Permit Valuation,One Year Earlier,Absolute Change YOY,% Change YOY
Q1 FY 2010,09/30/2009 12:00:00 AM,$500000000.00,,,
Q2 FY 2010,12/31/2009 12:00:00 AM,$600000000.00,,,
Q3 FY 2010,03/31/2010 12:00:00 AM,$800000000.00,,,
Q4 FY 2010,06/30/2010 12:00:00 AM,$1100000000.00,,,
Q1 FY 2011,09/30/2010 12:00:00 AM,$700000000.00,$500000000.00,$200000000.00,40%
Q2 FY 2011,12/31/2010 12:00:00 AM,$700000000.00,$600000000.00,$100000000.00,17%
Q3 FY 2011,03/31/2011 12:00:00 AM,$900000000.00,$800000000.00,$100000000.00,13%
Q4 FY 2011,06/30/2011 12:00:00 AM,$1000000000.00,$1100000000.00,$-100000000.00,-9%
Q1 FY 2012,09/30/2011 12:00:00 AM,$600000000.00,$700000000.00,$-100000000.00,-14%
Q2 FY 2012,12/31/2011 12:00:00 AM,$900000000.00,$700000000.00,$200000000.00,29%
Q3 FY 2012,03/31/2012 12:00:00 AM,$1000000000.00,$900000000.00,$100000000.00,11%
Q4 FY 2012,06/30/2012 12:00:00 AM,$900000000.00,$1000000000.00,$-100000000.00,-10%
Q1 FY 2013,09/30/2012 12:00:00 AM,$900000000.00,$600000000.00,$300000000.00,50%
Q2 FY 2013,12/31/2012 12:00:00 AM,$900000000.00,$900000000.00,$0.00,0%
Q3 FY 2013,03/31/2013 12:00:00 AM,$800000000.00,$1000000000.00,$-200000000.00,-20%
Q4 FY 2013,06/30/2013 12:00:00 AM,$1200000000.00,$900000000.00,$300000000.00,33%
Q1 FY 2014,09/30/2013 12:00:00 AM,$1100000000.00,$900000000.00,$200000000.00,22%
Q2 FY 2014,12/31/2013 12:00:00 AM,$1100000000.00,$900000000.00,$200000000.00,22%
Q3 FY 2014,03/31/2014 12:00:00 AM,$1300000000.00,$800000000.00,$500000000.00,63%
