Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
1 st ST,AT,MC CADDEN PL,AUT,TUE,February 05 2013,TUE,364,763,0,0,1127
1 st ST,AT,ALAMEDA ST,AUTO,CR,January 16 2014,THU,6433,11669,0,0,18102
1 st ST,AT,MAIN ST,MIO,CR,March 27 2013,WED,9221,9811,0,0,19032
1 st ST,AT,SPRING ST,MIO,CR,March 19 2013,TUE,9365,9884,0,0,19249
1 st ST,AT,MAIN ST,MAN,CR,November 08 2011,TUE,11400,12497,,,23897
10 th AV,AT,48 th ST,AUTO,SR,January 29 2014,WED,0,0,285,358,643
10 th ST,AT,ALMA  ST,AUTO,SR,June 17 2013,MON,428,294,0,0,722
102 nd ST,AT,BROADWAY,MAN,SR,November 09 2011,WED,444,268,,,712
102 nd ST,AT,BROADWAY,AUTO,SR,December 09 2013,MON,579,326,0,0,905
103 rd ST,AT,PALOMA ST,AUTO,SR,January 24 2011,MON,3325,2817,,,6142
103 rd ST,AT,CLOVIS ST,AUTO,SR,January 24 2011,MON,3716,3496,,,7212
103 rd ST,AT,WEIGARD AV,AUTO,SR,January 25 2011,TUE,5887,3805,,,9692
103 rd ST,AT,LOU DILLON AV,AUTO,SR,January 25 2011,TUE,6457,4454,,,10911
103 rd ST,AT,COMPTON AV,AUT,THU,January 31 2013,THU,6165,6298,0,0,12463
103 rd ST,AT,BEACH ST,AUTO,SR,January 25 2011,TUE,7133,5360,,,12493
103 rd ST,AT,SUCCESS AV,MAN,SR,January 10 2013,THU,5786,7008,0,0,12794
103 rd ST,AT,FIRTH BL,AUTO,SR,October 17 2013,THU,6562,6400,0,0,12962
103 rd ST,AT,SUCCESS ST,AUTO,SR,January 25 2011,TUE,6557,9215,,,15772
103rd ST,AT,FIRTH BL,MAN,SR,May 19 2014,MON,3682,3614,0,0,7396
104 th ST,AT,CENTRAL AV,MAN,SR,February 01 2013,FRI,0,533,0,0,533
104 th ST,AT,DENVER AV,AUTO,SR,October 29 2013,TUE,283,281,0,0,564
104 th ST,AT,CENTRAL AV,MAN,WED,January 30 2013,WED,378,244,0,0,622
104 th ST,AT,WESTERN AV,MAN,SR,June 12 2013,WED,421,1711,0,0,2132
104 th ST,AT,WESTERN AV,MAN,SR,June 12 2013,WED,421,1711,0,0,2132
104 th ST,AT,WESTERN AV,AUT,SR,May 01 2013,WED,508,2163,0,0,2671
104 th ST,E/O,AVIATION BL,AUTO,WR,September 27 2011,TUES,1564,2044,,,3608
104 th ST,E/O,AVIATION BL,AUTO,WR,September 27 2011,TUES,1564,2044,,,3608
105 th ST,AT,COMPTON AV,AUTO,SR,June 11 2013,TUE,314,294,0,0,608
105 th ST,AT,COMPTON AV,AUTO,SR,June 11 2013,TUE,314,294,0,0,608
105 th ST,AT,CENTRAL AV,MAN,SR,January 30 2013,WED,378,244,0,0,622
105 th ST,AT,CENTRAL AV,MAN,SR,March 31 2011,THU,193,808,,,1001
105 th ST ,AT,CENTRAL AV,AUTO,SR,June 10 2011,FRI,884,3079,,,3963
11 th ST,AT,ALMA ST,AUTO,SR,June 12 2013,WED,412,250,0,0,662
11 th ST,AT,OXFORD AV,MAN,HW,January 14 2014,TUE,1673,1008,0,0,2681
11 th ST,AT,OXFORD AV,AUTO ,HW,November 25 2013,MON,2414,1357,0,0,3771
11 th ST,AT,OXFORD AV,AUTO,HW,February 22 2014,SAT,2152,1695,0,0,3847
111 th ST,AT,FIGUEROA ST,MAN,SR,January 04 2011,TUE,38,,,,38
112th ST,AT,WILMINGTON AV,AUTO,SR,May 12 2014,MON,909,777,0,0,1686
114 th ST,W/O ,CENTRAL AV   ,AUTO,SR,September 27 2011,TUE,403,558,,,961
114 thST,AT,CENTRAL AV,MAN,CR,January 07 2013,MON,240,263,0,0,503
118 th ST,AT,CENTRAL AV,AUTO,SR,October 23 2013,WED,1104,776,0,0,1880
118 th ST,AT,FIGUEROA ST,AUTO,CR,June 14 2011,TUE,3334,2622,,,5956
11th AV,AT,71st ST,AUTO,SR,May 19 2014,MON,0,0,1156,714,1870
12 th ST,AT,CLOVERDALE AV,MAN,HW,June 13 2013,THU,263,357,0,0,620
12 th ST,AT,ALMA ST,AUTO,SR,June 17 2013,MON,453,268,0,0,721
12 th ST,AT,LONGWOOD AV,MAN,CR,April 19 2011,TUE,442,374,,,816
13 th ST,AT,PACIFIC AV,MAN,SR,October 25 2012,THU,1347,2470,0,0,3817
130 th ST,AT,FIGUEROA ST,MAN,SR,July 09 2013,TUE,378,505,0,0,883
134 FWY OFF RAMP,AT,COLORADO BL,AUTO,CR,July 10 2013,WED,6305,0,0,0,6305
14 th ST,AT,UNION AV,MAN,CR,January 07 2013,MON,240,263,0,0,503
14 th ST,AT,PALOS VERDES ST,AUTO,SR,June 09 2011,THU,494,267,,,761
14 th ST,AT,UNION ST,AUTO,CR,November 02 2011,WED,,,468,1106,1574
15 th ST,E/O,LE GRANDE TER,AUTO,SR,June 13 2013,THU,71,76,0,0,147
157 th ST,AT,VERMONT AV,AUTO,SR,April 09 2014,WED,1277,1792,0,0,3069
168 th ST,AT,FIGUEROA ST,MAN,SR,June 18 2013,TUE,714,1191,0,0,1905
168 th ST,AT,FIGUEROA ST,AUT,SR,April 04 2013,THU,826,1774,0,0,2600
17 th ST,AT,WEST BL,MAN,HW,October 03 2013,THU,0,259,0,0,259
17 th ST,AT,4 th AV,AUTO,HW,September 10 2013,TUE,821,335,0,0,1156
17 th ST,AT,4 th AV,MAN,HW,September 26 2013,THU,827,383,0,0,1210
17 th ST,AT,3 rd AV,AUTO,HW,March 04 2014,TUE,954,432,0,0,1386
17 th ST,AT,PACIFIC AV,MAN,SR,November 01 2012,THU,1276,1755,0,0,3031
17th ST,AT,RIMPAU BL,AUTO,HW,May 20 2014,TUE,688,402,0,0,1090
18 th ST,E/O,CIMARRON ST,AUTO,HW,April 10 2014,THU,286,185,0,0,471
186 th ST,AT,CATALINA AV,AUTO,SR,October 09 2013,WED,808,1064,0,0,1872
186 th ST,E/O,WESTERN AV,AUTO,SR,October 08 2013,TUE,1371,527,0,0,1898
186 th ST,W/O,VERMONT AV,AUTO,SR,October 09 2013,WED,997,1122,0,0,2119
186 th ST,AT,WESTERN AV,MAN,SR,April 24 2013,WED,1920,613,0,0,2533
186 th ST,AT,NORMANDIE AV,AUTO,SR,October 08 2013,TUE,1643,1495,0,0,3138
186 th ST,AT,RAYMOND AV,AUTO,CR,January 05 2011,WED,2351,865,,,3216
186 th ST,AT,CATALINA AV,AUTO,CR,January 05 2011,WED,1446,2498,,,3944
186 th ST,AT,DALTON AV,AUTO ,SR,October 08 2013,TUE,1068,3437,0,0,4505
186 th ST,AT,WESTERN AV,AUTO,CR,August 30 2011,TUE,4431,3578,,,8009
1st ST,AT,ALAMEDA ST   ( early shift ),MAN,CR,March 27 2014,THU,6799,5619,0,0,12418
1st ST,AT,ALAMEDA ST   ( late shift ),MAN,CR,March 09 2014,WED,4912,9889,0,0,14801
1st ST ,BTWN,BROADWAY AND SPRING ST,AUTO,CR,April 24 2014,THU,11614,11514,0,0,23128
2 nd PL  overcross,E/O,FLOWER ST     ,AUTO,CR,August 30 2011,TUE,2815,3729,,,6544
2 nd ST,AT,BEACON ST,AUTO,SR,February 12 2014,WED,185,229,0,0,414
2 nd ST,AT,OXFORD AV,AUTO,HW,November 07 2013,THU,2239,3831,0,0,6070
2 nd ST,AT,ALAMEDA ST,AUTO,CR,March 11 2014,TUE,3336,5978,0,0,9314
2 nd ST,AT,CENTRAL AV,AUTO,CR,March 11 2014,TUE,4386,6401,0,0,10787
2 nd ST ,AT,MEYLER ST,AUT,SR,April 16 2013,TUE,878,649,0,0,1527
2 nd ST ,AT,HIGHLAND AV,MAN,HW,April 04 2013,THU,503,1032,0,0,6035
20 th ST,AT,HOOPER AV,AUTO,CR,August 30 2011,TUE,,,5013,2818,7831
21 st ST,AT,PACIFICA AV,MAN,SR,March 25 2014,TUE,529,244,0,0,773
21 st ST,AT,GAFFEY ST,AUTO,SR,June 08 2011,WED,339,689,,,1028
21 st ST,AT,3 rd AV,AUTO,SR,November 21 2011,MON,659,404,,,1063
214 th ST,AT,DENKER AV,AUTO,SR,April 08 2014,TUE,300,458,0,0,758
218 th ST,AT,HALLDALE AV,AUT,SR,April 03 2013,WED,360,478,0,0,838
218 th ST,AT,DENKER ST,AUT,SR,April 03 2013,WED,525,578,0,0,1103
22 nd ST,AT,UNION AV,MAN,SR,January 17 2013,THU,456,294,0,0,750
23 rd ST,AT,UNION AV,AUTO,SR,June 09 2011,THU,824,1519,,,2343
23 rd ST,AT,GRAND AV,AUTO,SR,January 06 2011,THU,3853,7871,,,11724
23 rd ST,AT,MAIN ST,AUTO,SR,September 29 2011,THU,3594,9204,,,12798
23 rd ST,AT,OAK ST,AUTO,SR,November 07 2011,MON,7255,7699,,,14954
23 rd ST,AT,ESTRELLA ST,AUTO,SR,September 29 2011,THU,10750,10408,,,21158
24 th ST,AT,WALKER AV,AUTO,SR,October 26 2011,WED,218,458,,,676
24 th ST,AT,NORMANDIE AV,MAN,SR,January 17 2013,THU,456,294,0,0,750
24 th ST,AT,ARLINGTON AV,MAN,HW,October 09 2013,WED,432,407,0,0,839
24 th ST,AT,WESTERN AV,MAN,HW,February 06 2014,THU,0,971,0,0,971
24 th ST,AT,ARLINGTON AV,AUTO,HW,August 29 2013,THU,707,742,0,0,1449
24 th ST,W/O,WESTERN AV,AUTO,CR,February 03 2014,MON,1629,1137,0,0,2766
24 th ST,AT,CABRILLO AV,MAN,CR,May 23 2011,MON,13322,17296,,,30618
24 th ST,AT,NORMANDIE AV,AUTO,HW,June 16 2011,THU,20589,12272,,,32861
240 th ST,AT,WESTERN AV,AUTO,SR,November 12 2013,TUE,1812,2087,0,0,3899
24th ST,AT,WALKER AV,AUTO,SR,May 21 2014,WED,638,486,0,0,1124
25 th ST,AT,GRIFFITH AV,MAN,CR,May 14 2013,TUE,357,385,0,0,742
25 th ST,E/O,WESTERN AV,AUTO,SR,October 26 2011,WED,,,471,353,824
25 th ST,AT,WHITES POINT DR,AUTO,SR,July 11 2011,MON,681,697,,,1378
25 th ST,AT,WHITE POINTS DR / MALL DRIVEWAY,MAN,SR,October 29 2013,TUE,8507,7922,0,0,16429
25 th ST,W/O,GAFFEY ST,MAN,CR,June 22 2011,WED,15176,10949,,,25888
253 rd ST,AT,FRAMPTON AV,AUTO,SR,July 11 2011,MON,424,432,,,856
257 th ST,AT,NORMANDIE AV,AUTO,SR,January 08 2014,WED,293,1824,0,0,2117
26 th ST,AT,PATTON AV,AUTO,SR,January 14 2014,TUE,551,564,0,0,1115
26th ST,AT,LELAND AV,AUTO ,SR,May 15 2014,THU,442,39,0,0,481
27 th ST,AT,BARBARA ST,AUT,SR,April 07 2013,SUN,432,289,0,0,721
27 th ST,AT,BARBARA ST,AUT,SR,April 06 2013,SAT,553,337,0,0,890
27 th ST,AT,PATTON AV,AUT,SR,January 14 2014,TUE,369,538,0,0,907
27 th ST,AT,BARBARA ST,AUT,SR,April 05 2013,FRI,615,445,0,0,1060
27th ST,AT,LELAND AV,AUTO,SR,May 15 2014,THU,944,787,0,0,1731
2nd ST,BTWN,HILL ST AND BROADWAY,AUTO,CR,May 01 2014,THU,6177,8084,0,0,14261
2nd ST ,BTWN,BROADWAY AND SPRING ST,AUTO,CR,May 01 2014,THU,5814,8335,0,0,14149
3 rd AV,AT,17 th ST,AUTO,HW,March 04 2014,TUE,0,0,1052,727,1779
3 rd ST,AT,COLUMBIA AV,AUTO,SR,February 12 2013,TUE,508,353,0,0,861
3 rd ST,AT,BERENDO ST,MAN,HW,December 11 2013,WED,0,0,693,435,1128
3 rd ST,AT,HILL ST,MAN,HW,June 29 2011,WED,783,362,,,1144
3 rd ST,AT,MAIN ST,MAN,CR,June 17 2011,FRI,552,623,,,1175
3 rd ST,AT ,LA JOLLA AV,MAN,CR,June 14 2011,TUE,858,400,,,1257
3 rd ST,AT,CARONDELET ST,AUTO,SR,February 12 2013,TUE,1069,618,0,0,1687
3 rd ST,AT,39 th ST,AUTO,SR,October 26 2011,WED,2128,2122,,,4250
3 rd ST,AT,COLUMBIA AV,AUTO,HW,October 06 2011,THU,3460,2751,,,6211
3 rd ST,AT,SPRING ST,MIO,CR,May 02 2013,THU,19726,0,0,0,19726
3 rd ST,AT,ALAMEDA ST,AUTO,CR,March 05 2014,WED,20494,0,0,0,20494
3 rd ST,AT,CENTRAL AV,AUTO,CR,March 05 2014,WED,21065,0,0,0,21065
3 rd ST,AT,FLOWER ST,MAN,CR,April 02 2013,TUE,18541,3870,0,0,22411
