Months,Date,Call Wait Times in Minutes
Jul-13,07/31/2013 12:00:00 AM,6.08
Aug-13,08/31/2013 12:00:00 AM,14.55
Sep-13,09/30/2013 12:00:00 AM,17.34
Oct-13,10/31/2013 12:00:00 AM,25.89
Nov-13,11/30/2013 12:00:00 AM,31.58
Dec-13,12/31/2013 12:00:00 AM,16.91
Jan-14,01/31/2014 12:00:00 AM,20.09
Feb-14,02/28/2014 12:00:00 AM,31.59
Mar-14,03/31/2014 12:00:00 AM,33.52
Apr-14,04/30/2014 12:00:00 AM,21.01
May-14,05/30/2014 12:00:00 AM,18.31
Jun-14,06/30/2014 12:00:00 AM,32.9
Jul-14,07/31/2014 12:00:00 AM,40.43
Aug-14,08/31/2014 12:00:00 AM,39.65
Sep-14,09/30/2014 12:00:00 AM,15.66
Oct-14,10/31/2014 12:00:00 AM,8.78
