 ENERGY RESOURCES,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
    Eligible Renewable (sub-catagories below),20%,0.19,0.2,0.14,0.08,0.06,0.06,0.06,0.03,0.03
     -- Biomass & waste,5%,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01
     -- Geothermal,0%,0,0.01,0.01,<1%,<1%,<1%,<1%,0.01,0.01
     -- Small hydroelectric,2%,0.06,0.07,0.06,0.05,0.06,0.04,0.05,0.01,0.01
     -- Solar,0%,0,0,<1%,<1%,<1%,<1%,<1%,<1%,<1%
     -- Wind,13%,0.1,0.08,0.05,0.02,0.01,0.01,0.01,<1%,<1%
    Coal,33%,0.41,0.39,0.41,0.44,0.45,0.48,0.51,0.51,0.51
    Large Hydroelectric,4%,0.03,0.03,0.04,0.07,0.07,0.06,0.05,0.08,0.08
    Natural Gas,21%,0.17,0.22,0.3,0.32,0.33,0.3,0.28999999999999998,0.26,0.26
    Nuclear,10%,0.11,0.11,0.11,0.09,0.09,0.1,0.09,0.12,0.12
    Other,0%,0,0,<1%,0,0,<1%,<1%,0,0
Unspecified sources of power,12%,0.09,0.05,,,,,,,
