LADWP Service Center,Street Address,Location 1,Residential CS Phone Number
Boyle Heights CSC,919 S. Soto Street #10,"Los Angeles, CA 90023
(34.02418193800048, -118.20195663999971)",1-800-342-5397
Central CSC,4619 S. Central Avenue,"Los Angeles, CA 90011
(34.00790120200048, -118.25903697699971)",1-800-342-5397
Crenshaw CSC,4030 Crenshaw Boulevard,"Los Angeles, CA 90008
(34.01097312100046, -118.34158773599972)",1-800-342-5397
JFB Lobby CSC,111 N. Hope Street,"Los Angeles, CA 90012
(34.059480762000476, -118.24204800599972)",1-800-342-5397
Hollywood CSC,6547-B Sunset Boulevard,"Los Angeles, CA 90028
(34.10072355400047, -118.32821815499972)",1-800-342-5397
Lincoln Heights CSC,2417 Daly Street,"Los Angeles, CA 90031
(34.07752122500045, -118.2131059239997)",1-800-342-5397
Slauson/Vermont CSC,5928 S. Vermont Avenue,"Los Angeles, CA 90044
(33.95386236800044, -118.2919460489997)",1-800-342-5397
Watts CSC,1686 E. 103rd Street,"Los Angeles, CA 90002
(33.94895251300045, -118.24697958699971)",1-800-342-5397
San Pedro CSC,535 W. 9th Street,"San Pedro, CA 90731
(33.73272331400045, -118.29229799399968)",1-800-342-5397
Wilmington CSC,931 N. Avalon Boulevard,"Wilmington, CA 90744
(33.78372064300049, -118.26266940199969)",1-800-342-5397
Van Nuys CSC,6550 Van Nuys Boulevard,"Van Nuys, CA 91401
(34.181153951000454, -118.4348272089997)",1-800-342-5397
Canoga Park CSC,7229 Winnetka Avenue,"Canoga Park, CA 91306
(34.208401481000465, -118.5759399529997)",1-800-342-5397
Mission Hills CSC,11100 Sepulveda Boulevard,"Mission Hills, CA 91345
(34.262123129000486, -118.46175755399969)",1-800-342-5397
West Los Angeles CSC,1394 S. Sepulveda Boulevard,"Los Angeles, CA 90025
(34.04518134900047, -118.45025632399972)",1-800-342-5397
Owens Valley / Bishop CSC,300 Mandich Street,"Bishop, CA 93514
(37.380663927000455, -118.42240918399972)",1-800-342-5397
,,,1-800-342-5397
