Quarter-Year,Installed Capacity from Solar Incentive Program in Quarter (kW)
Q1-2014,3508.7339999999999
Q4-2013,11041.451999999999
Q3-2013,7303.0590000000002
Q2-2013,7381.424
Q1-2013,7331.8180000000002
Q4-2012,3627.9596000000001
Q3-2012,6164.2169999999996
Q2-2012,3581.683
Q1-2012,8257.9802600000003
Q4-2011,3146.1047899999999
Q3-2011,3932.8265259999998
Q2-2011,3751.0837200000001
Q1-2011,3364.8989999999999
Q4-2010,3940.3443000000002
Q3-2010,2461.1889999999999
Q2-2010,1809.912
Q1-2010,765.62400000000002
Q1-2010,765.62400000000002
Q4-2009,1233.1949999999999
Q3-2009,841.51
Q2-2009,879.149
Q1-2009,1984.5160000000001
Q4-2008,1314.413
Q3-2008,520.47400000000005
Q2-2008,610.55700000000002
Q1-2008,621.52099999999996
Q4-2007,415.209
Q3-2007,430.78300000000002
Q2-2007,351.96499999999997
Q1-2007,323.57299999999998
Pre-2007,9795.3359999999993
