Month,Date (Month),Mainline (ft) replaced
March-13,03/31/2013 12:00:00 AM,8615
April-13,04/30/2013 12:00:00 AM,12629
May-13,05/31/2013 12:00:00 AM,9527
June-13,06/30/2013 12:00:00 AM,7770
July-13,07/31/2013 12:00:00 AM,11399
August-13,08/31/2013 12:00:00 AM,8168
September-13,09/30/2013 12:00:00 AM,10837
October-13,10/31/2013 12:00:00 AM,9590
November-13,11/30/2013 12:00:00 AM,6059
December-13,12/31/2013 12:00:00 AM,6210
January-14,01/31/2014 12:00:00 AM,8615
February-14,02/28/2014 12:00:00 AM,10244
