Month,Account, Market Value 
4/30/2014,Domestic Equity Large Cap,$5161202427.71
4/30/2014,Domestic Equity Small Cap,$1225574272.84
4/30/2014,International Equity Developed Markets,$3054433163.45
4/30/2014,International Equity Emerging Markets,$751947464.66
4/30/2014,Core Fixed Income,$2315220204.51
4/30/2014,TIPS,$791526891.77
4/30/2014,High Yield Bonds,$443385225.71
4/30/2014,Real Estate,$1746464720.78
4/30/2014,Commodity,$180381066.59
4/30/2014,Private Equity,$1402802441.63
4/30/2014,Cash ,$672115583.81
4/30/2014,Tax Reclaim,$372647.05
