Branch Name,Phone Number,Email,Council District,Location
Harbor City - Harbor Gateway,(310) 534-9520,harbor@lapl.org,15,"24000 S. Western
Harbor City, CA 90710
(33.806801, -118.307198)"
San Pedro Regional,(310) 548-7779,spedro@lapl.org,15,"931 S. Gaffey Street
San Pedro, CA 90731
(33.735802, -118.292702)"
Alma Reaves Woods - Watts,(323) 789-2850,wattsl@lapl.org,15,"10205 Compton Avenue
Los Angeles, CA 90002
(33.944, -118.246696)"
Wilmington,(310) 834-1082,wmngtn@lapl.org,15,"1300 N. Avalon Boulevard
Wilmington, CA 90744
(33.788898, -118.263)"
John C. Fremont,(323) 962-3521,jcfrmt@lapl.org,4,"6121 Melrose Avenue
Los Angeles, CA 90038
(34.083599, -118.333801)"
Angeles Mesa,(323) 292-4328,angmsa@lapl.org,8,"2700 W. 52nd Street
Los Angeles, CA 90043
(33.99485, -118.322899)"
Arroyo Seco Regional,(323) 255-0537,ayosco@lapl.org,1,"6145 N. Figueroa Street
Los Angeles, CA 90042
(34.113998, -118.185997)"
Ascot ,(323) 759-4817,ascott@lapl.org,9,"120 W. Florence Avenue
Los Angeles, CA 90003
(33.974548, -118.274696)"
Atwater Village ,(323) 664-1353,atwatr@lapl.org,13,"3379 Glendale Boulevard
Los Angeles, CA 90039
(34.1199, -118.259102)"
Baldwin Hills,(323) 733-1196,bldhls@lapl.org,10,"2906 S. La Brea Avenue
Los Angeles, CA 90016
(34.028149, -118.352852)"
Benjamin Franklin,(323) 263-6901,bnfrnk@lapl.org,14,"2200 E. 1st Street
Los Angeles, CA 90033
(34.044109, -118.21225)"
Donald Bruce Kaufman - Brentwood,(310) 575-8273,brntwd@lapl.org,11,"11820 San Vicente Boulevard
Los Angeles, CA 90049
(34.053001, -118.468002)"
Cahuenga ,(323) 664-6418,cahung@lapl.org,13,"4591 Santa Monica Boulevard
Los Angeles, CA 90029
(34.09095, -118.289001)"
Canoga Park ,(818) 887-0320,cngopk@lapl.org,3,"20939 Sherman Way
Canoga Park, CA 91303
(34.201199, -118.589996)"
Chatsworth,(818) 341-4276,ctswrt@lapl.org,12,"21052 Devonshire Street
Chatsworth, CA 91311
(34.25705, -118.5924)"
Chinatown,(213) 620-0925,cwtown@lapl.org,1,"639 N. Hill Street
Los Angeles, CA 90012
(34.060501, -118.240997)"
Cypress Park ,(323) 224-0039,cypprk@lapl.org,1,"1150 Cypress Avenue
Los Angeles, CA 90065
(34.094551, -118.227402)"
Will & Ariel Durant,(323) 876-2741,durant@lapl.org,4,"7140 W. Sunset Boulevard
Los Angeles, CA 90046
(34.097752, -118.345703)"
Eagle Rock ,(323) 258-8078,eaglrk@lapl.org,14,"5027 Caspar Avenue
Los Angeles, CA 90041
(34.137501, -118.213348)"
Echo Park ,(213) 250-7808,echopk@lapl.org,1,"1410 W. Temple Street
Los Angeles, CA 90026
(34.0672, -118.257301)"
Edendale ,(213) 207-3000,eden@lapl.org,13,"2011 W. Sunset Boulevard
Los Angeles, CA 90026
(34.0779, -118.262398)"
El Sereno ,(323) 225-9201,elsrno@lapl.org,14,"5226 S. Huntington Drive
Los Angeles, CA 90032
(34.089298, -118.1688)"
Encino - Tarzana,(818) 343-1983,enctar@lapl.org,3,"18231 Ventura Boulevard
Tarzana, CA 91356
(34.1665, -118.529999)"
Exposition Park - Dr. Mary McLeod Bethune Regional,(323) 290-3113,expopk@lapl.org,8,"3900 S. Western Ave
Los Angeles, CA 90062
(34.0144, -118.308617)"
Fairfax ,(323) 936-6191,fairfx@lapl.org,4,"161 S. Gardner Street
Los Angeles, CA 90036
(34.071751, -118.353401)"
