Date,Month,Total Library Visitors,Total Library Programs,Total Program Attendees,Total Volunteer Hours,Total Web Visits,Total eMedia Circulation,Total WiFi Sessions,Total Reservation PC Sessions,Total Cardholders
07/31/2013 12:00:00 AM,Jul-13,1279061,2138,51955,18876,2026211,171332,102743,233626,
08/31/2013 12:00:00 AM,Aug-13,1223571,1534,29875,14415,1991667,180508,133975,237780,
09/30/2013 12:00:00 AM,Sep-13,1282431,1556,27211,13282,1840740,171245,130248,211232,
10/31/2013 12:00:00 AM,Oct-13,1272628,1805,44336,14633,1826659,180297,132142,198666,
11/30/2013 12:00:00 AM,Nov-13,1055041,1535,28068,12905,1684896,159134,115380,189724,
12/31/2013 12:00:00 AM,Dec-13,997687,1312,22564,10798,1624957,178994,111224,189853,1138105
01/31/2014 12:00:00 AM,Jan-14,1092965,1567,23581,12634,1884707,203037,124704,204878,1111441
02/28/2014 12:00:00 AM,Feb-14,1382040,1777,30149,14010,1719801,191618,115649,187467,1112200
03/31/2014 12:00:00 AM,Mar-14,1074797,1937,34520,14222,1872711,209336,123734,198843,1098559
04/30/2014 12:00:00 AM,Apr-14,1458097,1856,31844,14925,1892885,195307,124598,208705,1113767
05/31/2014 12:00:00 AM,May-14,1203901,1788,25104,12614,1805172,240236,127051,198479,1128767
06/30/2014 12:00:00 AM,Jun-14,1261943,2214,47273,17264,1852979,211622,118378,193129,1141782
07/31/2014 12:00:00 AM,Jul-14,1255102,2232,50786,19161,2007823,231678,134943,212291,1148250
08/31/2014 12:00:00 AM,Aug-14,1306062,1593,25969,12093,1954802,205864,128653,208538,1163551
09/30/2014 12:00:00 AM,Sep-14,1327264,1826,26515,11272,1979410,204958,135488,200605,1172464
10/31/2014 12:00:00 AM,Oct-14,1376021,2087,35116,11248,1959677,219664,132229,206324,1180699
11/30/2014 12:00:00 AM,Nov-14,1035787,1591,25910,9855,1732749,292080,106408,170383,1182562
12/31/2014 12:00:00 AM,Dec-14,1082258,1630,21346,11715,1741088,309385,111224,179491,1184005
01/31/2015 12:00:00 AM,Jan-15,1141020,1689,24212,12483,1932694,337842,124704,183942,1185678
